run_accession	sample_accession	sample_title	library_name	library_strategy	library_source	library_selection	instrument_model	first_public	read_count	base_count
SRR27587565	SAMN39465953	35PRr3	35PRr3	AMPLICON	METAGENOMIC	PCR	Illumina MiSeq	2024-07-01	88436	53238472
SRR27587566	SAMN39465924	17Dr2	17Dr2	AMPLICON	METAGENOMIC	PCR	Illumina MiSeq	2024-07-01	133768	80528336
SRR27587568	SAMN39465999	Negative control – PCR	Neg Ctrl (PCR)	AMPLICON	METAGENOMIC	PCR	Illumina MiSeq	2024-07-01	2132	1283464
SRR27587569	SAMN39465998	9Sr1	9Sr1	AMPLICON	METAGENOMIC	PCR	Illumina MiSeq	2024-07-01	70405	42383810
SRR27587572	SAMN39465995	8PRr1	8PRr1	AMPLICON	METAGENOMIC	PCR	Illumina MiSeq	2024-07-01	143574	86431548
SRR27587574	SAMN39465994	8Dr1	8Dr1	AMPLICON	METAGENOMIC	PCR	Illumina MiSeq	2024-07-01	106407	64057014
SRR27587576	SAMN39465992	7PRr2	7PRr2	AMPLICON	METAGENOMIC	PCR	Illumina MiSeq	2024-07-01	110180	66328360
SRR27587578	SAMN39465990	6Sr1	6Sr1	AMPLICON	METAGENOMIC	PCR	Illumina MiSeq	2024-07-01	23844	14354088
SRR27587581	SAMN39465987	62Sr2	62Sr2	AMPLICON	METAGENOMIC	PCR	Illumina MiSeq	2024-07-01	160825	96816650
SRR27587585	SAMN39465984	61Dr1	61Dr1	AMPLICON	METAGENOMIC	PCR	Illumina MiSeq	2024-07-01	103369	62228138
SRR27587589	SAMN39465980	56Sr2	56Sr2	AMPLICON	METAGENOMIC	PCR	Illumina MiSeq	2024-07-01	91653	55175106
SRR27587590	SAMN39465979	55Sr1	55Sr1	AMPLICON	METAGENOMIC	PCR	Illumina MiSeq	2024-07-01	75812	45638824
SRR27587591	SAMN39465978	55PRr2	55PRr2	AMPLICON	METAGENOMIC	PCR	Illumina MiSeq	2024-07-01	105734	63651868
SRR27587592	SAMN39465977	54PRr2(2)	54PRr2(2)	AMPLICON	METAGENOMIC	PCR	Illumina MiSeq	2024-07-01	9	5418
SRR27587593	SAMN39465951	32PRr1	32PRr1	AMPLICON	METAGENOMIC	PCR	Illumina MiSeq	2024-07-01	40015	24089030
SRR27587597	SAMN39465947	2Sr1	2Sr1	AMPLICON	METAGENOMIC	PCR	Illumina MiSeq	2024-07-01	54217	32638634
SRR27587599	SAMN39465945	2Dr2	2Dr2	AMPLICON	METAGENOMIC	PCR	Illumina MiSeq	2024-07-01	81391	48997382
SRR27587602	SAMN39465943	28Sr1	28Sr1	AMPLICON	METAGENOMIC	PCR	Illumina MiSeq	2024-07-01	98995	59594990
SRR27587607	SAMN39465938	24Sr2	24Sr2	AMPLICON	METAGENOMIC	PCR	Illumina MiSeq	2024-07-01	115199	69349798
SRR27587613	SAMN39465933	21Sr3	21Sr3	AMPLICON	METAGENOMIC	PCR	Illumina MiSeq	2024-07-01	153636	92488872
SRR27587614	SAMN39465932	1Sr2	1Sr2	AMPLICON	METAGENOMIC	PCR	Illumina MiSeq	2024-07-01	132898	80004596
SRR27587615	SAMN39465931	1PRr2	1PRr2	AMPLICON	METAGENOMIC	PCR	Illumina MiSeq	2024-07-01	130821	78754242
SRR27587617	SAMN39465929	19.5Sr3	19.5Sr3	AMPLICON	METAGENOMIC	PCR	Illumina MiSeq	2024-07-01	149066	89737732
SRR27587618	SAMN39465928	19.5PRr2	19.5PRr2	AMPLICON	METAGENOMIC	PCR	Illumina MiSeq	2024-07-01	84742	51014684
SRR27587619	SAMN39465927	18Dr2	18Dr2	AMPLICON	METAGENOMIC	PCR	Illumina MiSeq	2024-07-01	144764	87147928
SRR27587621	SAMN39465925	17PRr3	17PRr3	AMPLICON	METAGENOMIC	PCR	Illumina MiSeq	2024-07-01	84061	50604722
SRR27587539	SAMN39465976	54Dr2	54Dr2	AMPLICON	METAGENOMIC	PCR	Illumina MiSeq	2024-07-01	2	1204
SRR27587544	SAMN39465972	51Sr1	51Sr1	AMPLICON	METAGENOMIC	PCR	Illumina MiSeq	2024-07-01	103335	62207670
SRR27587547	SAMN39465969	48PRr3	48PRr3	AMPLICON	METAGENOMIC	PCR	Illumina MiSeq	2024-07-01	70842	42646884
SRR27587548	SAMN39465968	45Sr3	45Sr3	AMPLICON	METAGENOMIC	PCR	Illumina MiSeq	2024-07-01	148879	89625158
SRR27587553	SAMN39465964	42PRr3	42PRr3	AMPLICON	METAGENOMIC	PCR	Illumina MiSeq	2024-07-01	80734	48601868
SRR27587558	SAMN39465959	3PRr2	3PRr2	AMPLICON	METAGENOMIC	PCR	Illumina MiSeq	2024-07-01	75299	45329998
SRR27587563	SAMN39465919	12Sr2	12Sr2	AMPLICON	METAGENOMIC	PCR	Illumina MiSeq	2024-07-01	102577	61751354
SRR27587570	SAMN39465997	8Sr2	8Sr2	AMPLICON	METAGENOMIC	PCR	Illumina MiSeq	2024-07-01	93582	56336364
SRR27587571	SAMN39465996	8PRr2	8PRr2	AMPLICON	METAGENOMIC	PCR	Illumina MiSeq	2024-07-01	150733	90741266
