pair_id	treated_sample	untreated_sample	treated_reads	untreated_reads	rarefaction_depth	treated_observed_asvs	untreated_observed_asvs	treated_expected_rarefied_richness	untreated_expected_rarefied_richness	rarefied_richness_difference_treated_minus_untreated	treated_shannon	untreated_shannon	shannon_difference_treated_minus_untreated
C1R1	C1R1T	C1R1UT	598641	361564	123897	674	788	649.683528349	709.401517612	-59.7179892628	4.59788538654	4.13178669796	0.46609868858
C1R2	C1R2T	C1R2UT	581451	258702	123897	673	661	643.947098563	612.795080288	31.1520182749	4.56725956349	4.03494210559	0.532317457903
C1R3	C1R3T	C1R3UT	685735	145660	123897	715	806	691.274846308	772.820775595	-81.5459292869	4.63160239819	3.45211800452	1.17948439367
C2R1	C2R1T	C2R1UT	195648	133769	123897	858	967	804.227862943	953.205717162	-148.977854219	4.37867659151	4.55233844513	-0.173661853614
C2R2	C2R2T	C2R2UT	254426	123897	123897	773	1181	708.267271222	1181	-472.732728778	4.4672838857	4.46216017126	0.00512371443629
C2R3	C2R3T	C2R3UT	294146	130139	123897	899	1235	815.153481653	1218.78064262	-403.627160963	4.55574632674	4.4618273016	0.0939190251341
C2S1	C2S1T	C2S1UT	438095	291917	123897	366	558	351.991402996	508.431912791	-156.440509795	3.84284028913	4.15759650183	-0.314756212705
C2S2	C2S2T	C2S2UT	331920	209306	123897	395	440	363.889324031	413.926706741	-50.03738271	3.82897571272	4.13302801609	-0.304052303373
C2S3	C2S3T	C2S3UT	589756	228774	123897	486	606	448.023105185	576.002718327	-127.979613141	4.04162289177	4.35537606196	-0.313753170191
