site	siteLabel	wkt
https://rubalkhali.science/kb/RAK_1000001	Site 1	POINT(45.166511388888885 19.149770555555556)
https://rubalkhali.science/kb/RAK_1000002	Site 2	POINT(45.2447675 19.203468333333333)
https://rubalkhali.science/kb/RAK_1000003	Site 3	POINT(45.384414166666666 19.301079444444444)
https://rubalkhali.science/kb/RAK_1000004	Site 4	POINT(45.55182694444444 19.379571666666667)
https://rubalkhali.science/kb/RAK_1000005	Site 5	POINT(45.659501388888884 19.407155277777775)
https://rubalkhali.science/kb/RAK_1000006	Site 6	POINT(45.8161425 19.405739166666667)
https://rubalkhali.science/kb/RAK_1000007	Site 7	POINT(45.953943611111114 19.407005277777778)
https://rubalkhali.science/kb/RAK_1000008	Site 8	POINT(46.110734722222226 19.393154166666665)
https://rubalkhali.science/kb/RAK_1000009	Site 9	POINT(46.30267361111111 19.411200277777777)
https://rubalkhali.science/kb/RAK_1000010	Site 10	POINT(46.460795277777784 19.420469722222222)
https://rubalkhali.science/kb/RAK_1000011	Site 11	POINT(46.6356325 19.44435222222222)
https://rubalkhali.science/kb/RAK_1000012	Site 12	POINT(46.83437333333334 19.47793361111111)
https://rubalkhali.science/kb/RAK_1000013	Site 13	POINT(47.053284444444444 19.52934611111111)
https://rubalkhali.science/kb/RAK_1000014	Site 14	POINT(47.2920225 19.581338055555555)
https://rubalkhali.science/kb/RAK_1000015	Site 15	POINT(47.47587194444445 19.613749722222224)
https://rubalkhali.science/kb/RAK_1000016	Site 16	POINT(47.62611861111111 19.644455833333332)
https://rubalkhali.science/kb/RAK_1000017	Site 17	POINT(47.82730555555556 19.676460000000002)
https://rubalkhali.science/kb/RAK_1000018	Site 18	POINT(48.046860555555554 19.732518055555555)
https://rubalkhali.science/kb/RAK_1000019	Site 19	POINT(48.24049472222222 19.81231916666667)
https://rubalkhali.science/kb/RAK_1000020	Site 20	POINT(48.42464444444444 19.869310833333333)
https://rubalkhali.science/kb/RAK_1000021	Site 21	POINT(48.48646388888889 19.9011325)
https://rubalkhali.science/kb/RAK_1000022	Site 22	POINT(48.63943555555556 19.97866972222222)
https://rubalkhali.science/kb/RAK_1000023	Site 23	POINT(48.773331388888884 20.049265555555557)
https://rubalkhali.science/kb/RAK_1000024	Site 24	POINT(48.89939527777778 20.09273861111111)
https://rubalkhali.science/kb/RAK_1000025	Site 25	POINT(48.95421972222223 20.100259722222223)
https://rubalkhali.science/kb/RAK_1000026	Site 26	POINT(49.07873861111111 20.148753888888887)
https://rubalkhali.science/kb/RAK_1000027	Site 27	POINT(49.1959834 20.2038574)
https://rubalkhali.science/kb/RAK_1000028	Site 28	POINT(49.37088472222222 20.24376861111111)
https://rubalkhali.science/kb/RAK_1000029	Site 29	POINT(49.5675445 20.2597976)
https://rubalkhali.science/kb/RAK_1000030	Site 30	POINT(49.68367333333333 20.269303055555554)
https://rubalkhali.science/kb/RAK_1000031	Site 31	POINT(49.891405 20.294623333333334)
https://rubalkhali.science/kb/RAK_1000032	Site 32	POINT(50.09302138888889 20.310684166666668)
https://rubalkhali.science/kb/RAK_1000033	Site 33	POINT(50.30307027777778 20.317507777777777)
https://rubalkhali.science/kb/RAK_1000034	Site 34	POINT(50.5153725 20.344394444444443)
https://rubalkhali.science/kb/RAK_1000035	Site 35	POINT(50.72999222222222 20.371795833333334)
https://rubalkhali.science/kb/RAK_1000036	Site 36	POINT(51.14483 20.42319)
https://rubalkhali.science/kb/RAK_1000037	Site 37	POINT(51.344883333333335 20.454150277777778)
https://rubalkhali.science/kb/RAK_1000038	Site 38	POINT(51.370224722222225 20.4610275)
https://rubalkhali.science/kb/RAK_1000039	Site 39	POINT(51.59742 20.51023)
https://rubalkhali.science/kb/RAK_1000040	Site 40	POINT(51.82559 20.54718)
https://rubalkhali.science/kb/RAK_1000041	Site 41	POINT(51.94610583333333 20.539777222222224)
https://rubalkhali.science/kb/RAK_1000042	Site 42	POINT(52.12403 20.55516)
https://rubalkhali.science/kb/RAK_1000043	Site 43	POINT(52.22413277777778 20.567575555555557)
https://rubalkhali.science/kb/RAK_1000044	Site 44	POINT(52.41036 20.56783)
https://rubalkhali.science/kb/RAK_1000045	Site 45	POINT(52.46776 20.56346)
https://rubalkhali.science/kb/RAK_1000046	Site 46	POINT(52.66920777777778 20.553746111111113)
https://rubalkhali.science/kb/RAK_1000047	Site 47	POINT(52.868785833333334 20.54181555555556)
https://rubalkhali.science/kb/RAK_1000048	Site 48	POINT(53.09404833333333 20.568648333333332)
https://rubalkhali.science/kb/RAK_1000049	Site 49	POINT(53.28794 20.644662222222223)
https://rubalkhali.science/kb/RAK_1000050	Site 50	POINT(53.4123 20.71385)
https://rubalkhali.science/kb/RAK_1000051	Site 51	POINT(53.487 20.7987)
https://rubalkhali.science/kb/RAK_1000052	Site 52	POINT(53.57835 20.82784)
https://rubalkhali.science/kb/RAK_1000053	Site 53	POINT(53.75788444444444 20.851514166666668)
https://rubalkhali.science/kb/RAK_1000054	Site 54	POINT(53.962204444444446 20.92017888888889)
https://rubalkhali.science/kb/RAK_1000055	Site 55	POINT(54.0024376 20.9022725)
https://rubalkhali.science/kb/RAK_1000056	Site 56	POINT(54.22385916666667 20.821580833333332)
https://rubalkhali.science/kb/RAK_1000057	Site 57	POINT(54.41764333333333 20.7349775)
https://rubalkhali.science/kb/RAK_1000058	Site 58	POINT(54.59327444444445 20.66540111111111)
https://rubalkhali.science/kb/RAK_1000059	Site 59	POINT(54.635868055555555 20.65626)
https://rubalkhali.science/kb/RAK_1000060	Site 60	POINT(54.732105555555556 20.706374444444442)
https://rubalkhali.science/kb/RAK_1000061	Site oill spill	POINT(45.72708 19.40536)
https://rubalkhali.science/kb/RAK_1000062	Site hot spring	POINT(50.96553 20.39723)
https://rubalkhali.science/kb/RAK_1000063	Site water well (location 1)	POINT(46.90146 19.50145)
https://rubalkhali.science/kb/RAK_1000064	Site Camel1	POINT(47.68826 19.65401)
https://rubalkhali.science/kb/RAK_1000065	Site plant gradient	POINT(47.95933 19.70915)
https://rubalkhali.science/kb/RAK_1000066	Site 19.5	POINT(48.24023722222222 19.81927138888889)
https://rubalkhali.science/kb/RAK_1000067	Site water well (location 2)	POINT(54.7996974 20.7158697)
https://rubalkhali.science/kb/RAK_1000068	Site road (location 1)	POINT(54.988932500000004 20.82577583333333)
https://rubalkhali.science/kb/RAK_1000069	Site road (location 2)	POINT(55.12609 20.93405111111111)
https://rubalkhali.science/kb/RAK_1000070	Site camground	POINT(55.159842777777776 21.031050555555556)
