Bacteria;Abditibacteriota;Abditibacteriia;Abditibacteriales;Abditibacteriaceae;Abditibacterium;NA
Bacteria;Acetothermia;Acetothermiia;KB1 group;NA;NA;NA
Bacteria;Acidobacteriota;Acidobacteriae;AMGG11;NA;NA;NA
Bacteria;Acidobacteriota;Acidobacteriae;Bryobacterales;Bryobacteraceae;Bryobacter;NA
Bacteria;Acidobacteriota;Acidobacteriae;Bryobacterales;Bryobacteraceae;NA;NA
Bacteria;Acidobacteriota;Acidobacteriae;Bryobacterales;Bryobacteraceae;Paludibaculum;NA
Bacteria;Acidobacteriota;Acidobacteriae;Elev-16S-1166;Incertae Sedis;WY65;NA
Bacteria;Acidobacteriota;Acidobacteriae;NA;NA;NA;NA
Bacteria;Acidobacteriota;Acidobacteriae;PAUC26f;NA;NA;NA
Bacteria;Acidobacteriota;Acidobacteriae;Solibacterales;Solibacteraceae;Candidatus Solibacter;NA
Bacteria;Acidobacteriota;Acidobacteriae;Subgroup 12;NA;NA;NA
Bacteria;Acidobacteriota;Acidobacteriae;Terriglobales;Acidobacteriaceae (Subgroup 1);Granulicella;NA
Bacteria;Acidobacteriota;Acidobacteriae;Terriglobales;Acidobacteriaceae (Subgroup 1);Silvibacterium;NA
Bacteria;Acidobacteriota;Acidobacteriae;Terriglobales;Acidobacteriaceae (Subgroup 1);Terracidiphilus;NA
Bacteria;Acidobacteriota;Acidobacteriae;Terriglobales;Koribacteraceae;Candidatus Koribacter;NA
Bacteria;Acidobacteriota;Acidobacteriae;Terriglobales;NA;NA;NA
Bacteria;Acidobacteriota;Aminicenantia;Aminicenantales;Aminicenantaceae;Aminicenans;NA
Bacteria;Acidobacteriota;AT-s3-28;NA;NA;NA;NA
Bacteria;Acidobacteriota;Blastocatellia;11-24;NA;NA;NA
Bacteria;Acidobacteriota;Blastocatellia;Blastocatellales;Blastocatellaceae;Aridibacter;NA
Bacteria;Acidobacteriota;Blastocatellia;Blastocatellales;Blastocatellaceae;Blastocatella;NA
Bacteria;Acidobacteriota;Blastocatellia;Blastocatellales;Blastocatellaceae;JGI 0001001-H03;NA
Bacteria;Acidobacteriota;Blastocatellia;Blastocatellales;Blastocatellaceae;NA;NA
Bacteria;Acidobacteriota;Blastocatellia;Blastocatellales;Blastocatellaceae;Stenotrophobacter;NA
Bacteria;Acidobacteriota;Blastocatellia;Blastocatellales;Blastocatellaceae;Stenotrophobacter;namibiensis
Bacteria;Acidobacteriota;Blastocatellia;Blastocatellales;Blastocatellaceae;Tellurimicrobium;NA
Bacteria;Acidobacteriota;Blastocatellia;DS-100;NA;NA;NA
Bacteria;Acidobacteriota;Blastocatellia;NA;NA;NA;NA
Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;Arenimicrobium;NA
Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;Brevitalea;NA
Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;NA;NA
Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;Pyrinomonas;methylaliphatogenes
Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;RB41;NA
Bacteria;Acidobacteriota;FFCH5909;NA;NA;NA;NA
Bacteria;Acidobacteriota;Holophagae;Subgroup 7;NA;NA;NA
Bacteria;Acidobacteriota;NA;NA;NA;NA;NA
Bacteria;Acidobacteriota;Subgroup 18;NA;NA;NA;NA
Bacteria;Acidobacteriota;Subgroup 21;NA;NA;NA;NA
Bacteria;Acidobacteriota;Subgroup 22;NA;NA;NA;NA
Bacteria;Acidobacteriota;Subgroup 25;NA;NA;NA;NA
Bacteria;Acidobacteriota;Subgroup 26;NA;NA;NA;NA
Bacteria;Acidobacteriota;Subgroup 5;NA;NA;NA;NA
Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;Subgroup 10;NA
Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;Thermoanaerobaculum;aquaticum
Bacteria;Acidobacteriota;Vicinamibacteria;Subgroup 17;NA;NA;NA
Bacteria;Acidobacteriota;Vicinamibacteria;Subgroup 9;NA;NA;NA
Bacteria;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;NA;NA;NA
Bacteria;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;Vicinamibacteraceae;Luteitalea;NA
Bacteria;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;Vicinamibacteraceae;NA;NA
Bacteria;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;Vicinamibacteraceae;Vicinamibacter;NA
Bacteria;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;Vicinamibacteraceae;Vicinamibacter;silvestris
Bacteria;Actinomycetota;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;Acidiferrimicrobium;NA
Bacteria;Actinomycetota;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;NA;NA
Bacteria;Actinomycetota;Acidimicrobiia;Actinomarinales;NA;NA;NA
Bacteria;Actinomycetota;Acidimicrobiia;Microtrichales;Iamiaceae;Aquihabitans;NA
Bacteria;Actinomycetota;Acidimicrobiia;Microtrichales;Iamiaceae;Iamia;majanohamensis
Bacteria;Actinomycetota;Acidimicrobiia;Microtrichales;Iamiaceae;Iamia;NA
Bacteria;Actinomycetota;Acidimicrobiia;Microtrichales;Ilumatobacteraceae;CL500-29 marine group;NA
Bacteria;Actinomycetota;Acidimicrobiia;Microtrichales;Ilumatobacteraceae;Desertimonas;flava
Bacteria;Actinomycetota;Acidimicrobiia;Microtrichales;Ilumatobacteraceae;Desertimonas;NA
Bacteria;Actinomycetota;Acidimicrobiia;Microtrichales;Ilumatobacteraceae;Ilumatobacter;NA
Bacteria;Actinomycetota;Acidimicrobiia;Microtrichales;Ilumatobacteraceae;NA;NA
Bacteria;Actinomycetota;Acidimicrobiia;Microtrichales;Microtrichaceae;IMCC26207;NA
Bacteria;Actinomycetota;Acidimicrobiia;Microtrichales;Microtrichaceae;NA;NA
Bacteria;Actinomycetota;Acidimicrobiia;Microtrichales;Microtrichaceae;Sva0996 marine group;NA
Bacteria;Actinomycetota;Acidimicrobiia;Microtrichales;NA;NA;NA
Bacteria;Actinomycetota;Acidimicrobiia;NA;NA;NA;NA
Bacteria;Actinomycetota;Actinobacteria;0319-7L14;NA;NA;NA
Bacteria;Actinomycetota;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;massiliensis
Bacteria;Actinomycetota;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;NA
Bacteria;Actinomycetota;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;naeslundii
Bacteria;Actinomycetota;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;oris
Bacteria;Actinomycetota;Actinobacteria;Actinomycetales;Actinomycetaceae;NA;NA
Bacteria;Actinomycetota;Actinobacteria;Actinomycetales;Actinomycetaceae;Schaalia;NA
Bacteria;Actinomycetota;Actinobacteria;Actinomycetales;Actinomycetaceae;Schaalia;odontolytica
Bacteria;Actinomycetota;Actinobacteria;Actinomycetales;Actinomycetaceae;Winkia;neuii
