Feature ID	Taxon	Unnamed Column 1
1d54bf40dee53634c0d1a17532d500ad	Bacteria;Bacillota;Bacilli;Bacillales;Bacillaceae;Metabacillus;NA	1
40fd627b5b4efd8392e48ce668a36600	Bacteria;Dadabacteria;Dadabacteriia;Dadabacteriales;Incertae Sedis;CSP1-2;NA	0.51
26936ac2ee5ddace3958fb0cad5d6c19	Bacteria;Actinomycetota;Actinobacteria;Kitasatosporales;Streptomycetaceae;Streptomyces;NA	0.73
2522c203c142ed3e415704d3834a3401	Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Comamonadaceae;NA;NA	1
1cc7e5a05cf232d0e5d30035b3ab61bc	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;enterica	1
486162adac1731b1bb42b27fb13bfa69	Bacteria;Pseudomonadota;Gammaproteobacteria;Thiohalorhabdales;Thiohalorhabdaceae;Thiohalorhabdus;NA	1
527e2c69c086b8f63a53a5979ae32e71	Bacteria;Bacillota;Bacilli;Bacillales;Planococcaceae;Lysinibacillus;NA	1
c8771559dc27c2ae80c329c066ae9ea6	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Beijerinckiaceae;Microvirga;NA	1
a7e5a44e036d206feb917110f78511e7	Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Oxalobacteraceae;Noviherbaspirillum;NA	0.99
a9cbcd29c9d7dccddf3d45be6a9623fb	Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;Flavisolibacter;NA	0.98
3a8cd6a6ba6dc9810ca4639d2ba35191	Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;luteola	0.53
285017f12239ee6cf082185b5309bb1e	Bacteria;Bacillota;Bacilli;Bacillales;Planococcaceae;Lysinibacillus;massiliensis	0.55
502b4282a35690972019cfc1935d1ad0	Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Cytophagaceae;Cytophaga;NA	1
1ee788b8ac8e6c5b08fe8bb693c751f2	Bacteria;Bacillota;Bacilli;Bacillales;Bacillaceae;Ectobacillus;NA	0.99
b9f639e49e0a951714746359e0893de6	Bacteria;Deinococcota;Deinococci;Deinococcales;Deinococcaceae;Deinococcus;NA	1
fa8eb9007a1a99b7bfa4a9e9e2b590f0	Bacteria;Chloroflexota;Chloroflexia;Kallotenuales;AKIW781;NA;NA	0.99
bb12590daf0e0306dbabdff3ab8af3bd	Bacteria;Actinomycetota;Rubrobacteria;Rubrobacterales;Rubrobacteriaceae;Rubrobacter;NA	1
0a7e16245692201ebab78fb4d1040fe7	Bacteria;Planctomycetota;Planctomycetes;Gemmatales;Gemmataceae;NA;NA	1
9128b036fd1a1ff9379c63a589a28522	Bacteria;Chloroflexota;Chloroflexia;NA;NA;NA;NA	0.59
74601bffd8a10a29ffbf1cd232673ef4	Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;NA;NA	1
471beaf22499da9a0779492186cd6a19	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Beijerinckiaceae;Microvirga;NA	0.99
318f34e6c60838b88118e96634fb84c7	Bacteria;Bacillota;Bacilli;Bacillales;Planococcaceae;Lysinibacillus;massiliensis	0.86
410eb6d3b24280578954154b52277f3f	Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;NA;NA	1
60a53287d9af126289e9f95353e06eb4	Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingoaurantiacus;NA	0.95
478171bf63468fbfd3d64becae9ad5dd	Bacteria;Chloroflexota;Chloroflexia;Chloroflexales;Herpetosiphonaceae;Herpetosiphon;NA	0.63
4fcc8cd7460d8cb86306ebfe3a149896	Bacteria;Actinomycetota;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;NA;NA	0.92
0def5d01974bc7322693d79b2c7e124c	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Beijerinckiaceae;Microvirga;NA	1
db63b045b72c7ca20ad9b2893aec001d	Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;Flavisolibacter;NA	1
d38c6921609c2bd6c0a50c6e8c8a6c7e	Bacteria;Actinomycetota;Actinobacteria;Frankiales;Geodermatophilaceae;Geodermatophilus;NA	0.76
713cf6a2cda2efc43368327fc9c912ce	Bacteria;Bacillota;Bacilli;Bacillales;Bacillaceae;Ectobacillus;NA	1
df54ad9e4c8640f8308ff61277ac7bf9	Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Oxalobacteraceae;Noviherbaspirillum;NA	0.8
0c457766cb8f9280f31e57ac199585d7	Bacteria;Actinomycetota;Actinobacteria;Micrococcales;Micrococcaceae;Arthrobacter;NA	0.82
37a406639dc421fa6566bb1fd4ee9616	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Beijerinckiaceae;Microvirga;NA	1
ed3ea14dab4a10fc07f6d108221434b6	Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Hymenobacteraceae;Adhaeribacter;NA	1
85dcd71c56cda387dc5c2f7f776097d9	Bacteria;Actinomycetota;Actinobacteria;Propionibacteriales;Nocardioidaceae;Nocardioides;NA	1
02a40570076d9acb87e41d41a2744fcd	Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Hymenobacteraceae;Pontibacter;NA	0.63
60fafcae934af01a535891dff3b888da	Bacteria;Actinomycetota;Actinobacteria;Micrococcales;Micrococcaceae;Arthrobacter;NA	0.74
2f4f48936382914a62f7fbd54c108840	Bacteria;Bacillota;Bacilli;Bacillales;Bacillaceae;Bacillus;mannanilyticus	0.62
baae8dee74a053c8abc04b82091777cf	Bacteria;Actinomycetota;Actinobacteria;Kitasatosporales;Streptomycetaceae;NA;NA	1
