section	estimand	estimate	interval_low	interval_high	interval_label	uncertainty_type	method	independent_unit	n_units	source
Geography	Quadratic transect partial R2	0.401609501	0.3248454024	0.4783735996	95% confidence interval	sampling uncertainty	delete-one-site jackknife with t critical value	sampling site	60	analysis/v3/spatial_turnover_rescue/results/spatial_model_results.tsv
Geography	Aitchison distance-decay slope, Surface, per 100 km	1.350932334	0.9054878724	1.796376795	95% confidence interval	sampling uncertainty	delete-one-site jackknife with t critical value	sampling site	60	analysis/v3/distance_decay_turnover/distance_decay_slopes.tsv
Geography	Aitchison distance-decay slope, Deep, per 100 km	1.510361214	1.092035909	1.92868652	95% confidence interval	sampling uncertainty	delete-one-site jackknife with t critical value	sampling site	60	analysis/v3/distance_decay_turnover/distance_decay_slopes.tsv
Geography	Aitchison distance-decay slope, Rhizosphere, per 100 km	1.180072518	0.6984888061	1.661656231	95% confidence interval	sampling uncertainty	delete-one-site jackknife with t critical value	sampling site	60	analysis/v3/distance_decay_turnover/distance_decay_slopes.tsv
Geography	Replacement share of Sorensen dissimilarity, Surface	0.7146807136	0.6361699263	0.7931915009	95% confidence interval	sampling uncertainty	delete-one-site jackknife with t critical value	sampling site	60	analysis/v3/distance_decay_turnover/turnover_nestedness_components.tsv
Geography	Replacement share of Sorensen dissimilarity, Deep	0.6915422342	0.6072085734	0.775875895	95% confidence interval	sampling uncertainty	delete-one-site jackknife with t critical value	sampling site	60	analysis/v3/distance_decay_turnover/turnover_nestedness_components.tsv
Geography	Replacement share of Sorensen dissimilarity, Rhizosphere	0.7468375116	0.6760005625	0.8176744608	95% confidence interval	sampling uncertainty	delete-one-site jackknife with t critical value	sampling site	60	analysis/v3/distance_decay_turnover/turnover_nestedness_components.tsv
Soil position	Standardized compositional displacement, Deep-Surface	0.3311512088	0.3058484787	0.403621576	95% percentile bootstrap interval	sampling uncertainty	paired whole-site bootstrap	sampling site	60	analysis/v3/compartment_composition/compartment_location_results.tsv
Soil position	Standardized compositional displacement, Rhizosphere-Surface	0.4327815104	0.3861416813	0.5088602911	95% percentile bootstrap interval	sampling uncertainty	paired whole-site bootstrap	sampling site	60	analysis/v3/compartment_composition/compartment_location_results.tsv
Soil position	Standardized compositional displacement, Rhizosphere-Deep	0.4780294799	0.4225544862	0.5556173038	95% percentile bootstrap interval	sampling uncertainty	paired whole-site bootstrap	sampling site	60	analysis/v3/compartment_composition/compartment_location_results.tsv
Soil position	Mean paired Shannon difference, Deep-Surface	0.0753573674044963	-0.0889714413593969	0.2347023542257329	95% percentile bootstrap interval	sampling uncertainty	paired whole-site bootstrap	sampling site	60	analysis/v3/results/paired_compartment_effects.tsv
Soil position	Mean paired Shannon difference, Rhizosphere-Surface	-0.1303594568956347	-0.3212559163501875	0.0787879866301285	95% percentile bootstrap interval	sampling uncertainty	paired whole-site bootstrap	sampling site	60	analysis/v3/results/paired_compartment_effects.tsv
Soil position	Mean paired Shannon difference, Rhizosphere-Deep	-0.205716824300131	-0.3980921164222863	-0.0011887830765719	95% percentile bootstrap interval	sampling uncertainty	paired whole-site bootstrap	sampling site	60	analysis/v3/results/paired_compartment_effects.tsv
Soil position	Mean paired normalized-evenness difference, Deep-Surface	0.0125020393576	0.000840015234862	0.0250789072457	95% percentile bootstrap interval	sampling uncertainty	paired whole-site bootstrap	sampling site	60	analysis/v3/evenness_decomposition/paired_contrasts.tsv
Soil position	Mean paired normalized-evenness difference, Rhizosphere-Surface	-0.0314781207286	-0.044773208831	-0.0186339580723	95% percentile bootstrap interval	sampling uncertainty	paired whole-site bootstrap	sampling site	60	analysis/v3/evenness_decomposition/paired_contrasts.tsv
Soil position	Mean paired normalized-evenness difference, Rhizosphere-Deep	-0.0439801600863	-0.0571716799501	-0.0313135563675	95% percentile bootstrap interval	sampling uncertainty	paired whole-site bootstrap	sampling site	60	analysis/v3/evenness_decomposition/paired_contrasts.tsv
Climate	Spearman rho, temperature vs Shannon diversity	-0.7106615913	-0.8328242804	-0.5201526456	95% percentile bootstrap interval	sampling uncertainty	paired whole-site bootstrap	sampling site	60	analysis/v3/environment_associations/climate_alpha_correlations.tsv
Climate	Spearman rho, temperature vs Expected richness at 25,000 reads	-0.7946872659	-0.886615487	-0.63924576	95% percentile bootstrap interval	sampling uncertainty	paired whole-site bootstrap	sampling site	60	analysis/v3/environment_associations/climate_alpha_correlations.tsv
Climate	Spearman rho, temperature vs Normalized evenness	-0.5838728503	-0.7528543991	-0.358723205	95% percentile bootstrap interval	sampling uncertainty	paired whole-site bootstrap	sampling site	60	analysis/v3/environment_associations/climate_alpha_correlations.tsv
Climate	Spearman rho, long-term monthly rain vs Shannon diversity	-0.4704558405	-0.6706682331	-0.2112886556	95% percentile bootstrap interval	sampling uncertainty	paired whole-site bootstrap	sampling site	60	analysis/v3/environment_associations/climate_alpha_correlations.tsv
