cohort	read	file	n_reads	starts_CCTAC	matches_bakt_341f	starts_GACTAC	matches_bakt_785r	starts_GGACTAC	matches_apprill_806rb
Trips1-4	R1	M-25-0324_10Dr1_UDP0043-UDP0043_L002_R1_001.fastq.gz	10000	9895	9170	0	0	0	0
Trips1-4	R1	M-25-0325_10Dr2_UDP0044-UDP0044_L002_R1_001.fastq.gz	10000	9888	9208	0	0	0	0
Trips1-4	R1	M-25-0326_10PRr2_UDP0047-UDP0047_L002_R1_001.fastq.gz	10000	9923	9423	0	0	0	0
Trip5	R1	M-25-8128_V32PRr1_xGen-10nt-UDI-Index-Pair-91-xGen-10nt-UDI-Index-Pair-91_L001_R1_001.fastq.gz	10000	9921	9777	0	0	0	0
Trip5	R1	M-25-8129_V26Sr2_xGen-10nt-UDI-Index-Pair-90-xGen-10nt-UDI-Index-Pair-90_L001_R1_001.fastq.gz	10000	9929	9783	0	0	0	0
Trip5	R1	M-25-8130_V14Sr1_xGen-10nt-UDI-Index-Pair-88-xGen-10nt-UDI-Index-Pair-88_L001_R1_001.fastq.gz	10000	9791	9530	0	0	0	0
Trips1-4	R2	M-25-0324_10Dr1_UDP0043-UDP0043_L002_R2_001.fastq.gz	10000	1	0	9408	9249	3	3
Trips1-4	R2	M-25-0325_10Dr2_UDP0044-UDP0044_L002_R2_001.fastq.gz	10000	0	0	9015	8830	3	3
Trips1-4	R2	M-25-0326_10PRr2_UDP0047-UDP0047_L002_R2_001.fastq.gz	10000	0	0	9394	9211	1	1
Trip5	R2	M-25-8128_V32PRr1_xGen-10nt-UDI-Index-Pair-91-xGen-10nt-UDI-Index-Pair-91_L001_R2_001.fastq.gz	10000	0	0	9767	9403	3	3
Trip5	R2	M-25-8129_V26Sr2_xGen-10nt-UDI-Index-Pair-90-xGen-10nt-UDI-Index-Pair-90_L001_R2_001.fastq.gz	10000	0	0	9468	9197	0	0
Trip5	R2	M-25-8130_V14Sr1_xGen-10nt-UDI-Index-Pair-88-xGen-10nt-UDI-Index-Pair-88_L001_R2_001.fastq.gz	10000	0	0	9641	9167	1	1
