sampleID	trip	replicate	compartment	type	control	file_R1	file_R2
e0323_Ctrl_1_Trip1	1	1	neg	control	yes	/ibex/scratch/projects/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0323_Ctrl-1-Trip1_UDP0371-UDP0371_L002_R1_001.fastq.gz	/ibex/scratch/projects/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0323_Ctrl-1-Trip1_UDP0371-UDP0371_L002_R2_001.fastq.gz
e0553_Ctrl_2	1	2	pos	control	yes	/ibex/scratch/projects/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0553_Ctrl-2_UDP0372-UDP0372_L002_R1_001.fastq.gz	/ibex/scratch/projects/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0553_Ctrl-2_UDP0372-UDP0372_L002_R2_001.fastq.gz
e0554_Ctrl_3	1	3	pos	control	yes	/ibex/scratch/projects/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0554_Ctrl-3_UDP0373-UDP0373_L002_R1_001.fastq.gz	/ibex/scratch/projects/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0554_Ctrl-3_UDP0373-UDP0373_L002_R2_001.fastq.gz
e0555_PCR_Ctrl_Trip1	1	1	PCR	control	yes	/ibex/scratch/projects/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0555_PCR-Ctrl-Trip1_UDP0374-UDP0374_L002_R1_001.fastq.gz	/ibex/scratch/projects/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0555_PCR-Ctrl-Trip1_UDP0374-UDP0374_L002_R2_001.fastq.gz
e0870_Neg_Ctrl_1_Trip2	2	1	neg	control	yes	/ibex/scratch/projects/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0870_Neg-Ctrl-1-Trip2_SU0335-SU0335_L002_R1_001.fastq.gz	/ibex/scratch/projects/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0870_Neg-Ctrl-1-Trip2_SU0335-SU0335_L002_R2_001.fastq.gz
e0871_Neg_Ctrl_2_Trip2	2	2	neg	control	yes	/ibex/scratch/projects/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0871_Neg-Ctrl-2-Trip2_SU0347-SU0347_L002_R1_001.fastq.gz	/ibex/scratch/projects/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0871_Neg-Ctrl-2-Trip2_SU0347-SU0347_L002_R2_001.fastq.gz
e0872_TMC1	2	1	pos	control	yes	/ibex/scratch/projects/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0872_TMC1_SU0359-SU0359_L002_R1_001.fastq.gz	/ibex/scratch/projects/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0872_TMC1_SU0359-SU0359_L002_R2_001.fastq.gz
e0874_Positive	2	2	pos	control	yes	/ibex/scratch/projects/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0874_Positive_SU0300-SU0300_L002_R1_001.fastq.gz	/ibex/scratch/projects/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0874_Positive_SU0300-SU0300_L002_R2_001.fastq.gz
e0875_NTC_2	2	2	neg	control	yes	/ibex/scratch/projects/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0875_NTC-2_SU0312-SU0312_L002_R1_001.fastq.gz	/ibex/scratch/projects/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0875_NTC-2_SU0312-SU0312_L002_R2_001.fastq.gz
e0929_Extraction_Ctrl_Pro_Trip1	1	1	ext	control	yes	/ibex/scratch/projects/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0929_Extraction-Ctrl-Pro-Trip1_UDP0384-UDP0384_L002_R1_001.fastq.gz	/ibex/scratch/projects/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0929_Extraction-Ctrl-Pro-Trip1_UDP0384-UDP0384_L002_R2_001.fastq.gz
