sample	compartment	annotated_genome_fraction_of_coverm_total
11Dr3	Deep	0.3578615199538112
11PRr3	Rhizosphere	0.3503651184581069
14Dr3	Deep	0.32713326457728764
14PRr2	Rhizosphere	0.4878348513163873
14Sr2	Surface	0.32959938878920536
15PRr2	Rhizosphere	0.33850715388780583
17PRr2	Rhizosphere	0.4347774883575466
18PRr2	Rhizosphere	0.7088829261748829
19PRr2	Rhizosphere	0.3528851511168962
1Dr2	Deep	0.12641125775412188
1PRr1	Rhizosphere	0.2924258991715918
1Sr3	Surface	0.18693066422494944
23PRr2	Rhizosphere	0.05898037706480206
24PRr2	Rhizosphere	0.38948504427884895
25PRr2	Rhizosphere	0.39322874265241
27PRr1	Rhizosphere	0.21057720872270158
2Dr1	Deep	0.11578195823460001
2PRr2	Rhizosphere	0.21704869744355762
2Sr3	Surface	0.1568577527194668
30PRr3	Rhizosphere	0.36954118047050366
31PRr3	Rhizosphere	0.35360947376557694
34PRr1	Rhizosphere	0.33226904969988225
36PRr1	Rhizosphere	0.29621020961455613
37PRr2	Rhizosphere	0.3448689631493913
38PRr2	Rhizosphere	0.41231697795138667
39PRr3	Rhizosphere	0.3791865354103382
3PRr3	Rhizosphere	0.34145881841676295
41PRr2	Rhizosphere	0.2766662687859792
42PRr2	Rhizosphere	0.4102618000978971
43PRr3	Rhizosphere	0.2410833056947345
44Dr2	Deep	0.28092970327785427
45PRr2	Rhizosphere	0.32903726894113505
46PRr3	Rhizosphere	0.22911423458365074
47PRr2	Rhizosphere	0.23560352353271027
48Dr2	Deep	0.29274240087346337
48PRr2	Rhizosphere	0.22264472706517832
48Sr2	Surface	0.24338502200690335
49Dr2	Deep	0.24682514549198262
49PRr1	Rhizosphere	0.3496984065010652
4Dr2	Deep	0.2573919075718464
4PRr1	Rhizosphere	0.38417091342412363
4Sr3	Surface	0.3163225053333682
50Dr1	Deep	0.37971208186249783
50PRr2	Rhizosphere	0.304541909070165
51Dr1	Deep	0.3078990185323879
51Sr1	Surface	0.1942929940820484
55Dr2	Deep	0.2226121730992715
55Sr3	Surface	0.23119768562647194
5Sr2	Surface	0.19161258023452005
62PRr2	Rhizosphere	0.15576121355678646
64Dr3	Deep	0.2691130773191176
64PRr2	Rhizosphere	0.2371765298394201
64Sr2	Surface	0.19827757372755644
6Dr1	Deep	0.1328338406223987
6PRr2	Rhizosphere	0.3022465018155544
7PRr2	Rhizosphere	0.34624131694911153
9Dr3	Deep	0.28372535640264185
9Sr2	Surface	0.22306262652978956
F10PRr1	Rhizosphere	0.36836546671022463
F12Dr1	Deep	0.16752564842836298
F12PRr3	Rhizosphere	0.3744819433974994
F13Dr1	Deep	0.30784409609624064
F13PRr1	Rhizosphere	0.4663596312647277
F14PRr2	Rhizosphere	0.44214446668709856
F15Dr3	Deep	0.25691575880671874
F15Sr2	Surface	0.28525604444999564
F16Dr2	Deep	0.2819062863110105
F17PRr3	Rhizosphere	0.3574867143736899
F19PRr1	Rhizosphere	0.39666595653201336
F1Dr1	Deep	0.12529855657121886
F1PRr3	Rhizosphere	0.27321610987626654
F1Sr1	Surface	0.18283207473817825
F21Dr3	Deep	0.20610175758019822
F21PRr1	Rhizosphere	0.3591089923352365
F21Sr2	Surface	0.3775902704660087
F22PRr2	Rhizosphere	0.28005624357900955
F23PRr1	Rhizosphere	0.29680228425397925
F24PRr1	Rhizosphere	0.24618513966218333
F25Dr2	Deep	0.239798851265685
F25PRr3	Rhizosphere	0.36708614964410846
F25Sr1	Surface	0.34801703871071
F26Dr2	Deep	0.21238436091633559
F26PRr1	Rhizosphere	0.261152891088765
F27Dr1	Deep	0.24599922393338558
F27PRr2	Rhizosphere	0.4569745891196049
F27Sr1	Surface	0.36992549184900975
F28Dr1	Deep	0.2973336445451949
F28PRr2	Rhizosphere	0.40233702921189307
F2Dr1	Deep	0.16234686924459618
F2PRr3	Rhizosphere	0.20009485224100515
F2Sr2	Surface	0.19923947372704742
F31Dr2	Deep	0.4730295107565532
F32PRr1	Rhizosphere	0.4698128630694194
F33PRr1	Rhizosphere	0.2868999686140499
F34PRr2	Rhizosphere	0.2923159585750076
F35Dr1	Deep	0.24615924498771735
F35PRr1	Rhizosphere	0.39863558361667345
F36Dr3	Deep	0.16291916388007555
F36PRr2	Rhizosphere	0.40750483525958814
F36Sr1	Surface	0.29585144143572145
F37Dr2	Deep	0.3570529798591638
F37PRr2	Rhizosphere	0.37660597838817633
F37Sr1	Surface	0.3186728682602871
F38Dr3	Deep	0.28185371221045447
F38PRr1	Rhizosphere	0.3608759320966125
F38Sr1	Surface	0.31255432526033244
F39PRr2	Rhizosphere	0.45041644885377524
F39Sr1	Surface	0.32149397528304263
F3PRr1	Rhizosphere	0.16125718632849234
F41Dr3	Deep	0.49456944101793715
F41PRr1	Rhizosphere	0.2895587236062493
F42PRr2	Rhizosphere	0.37824254673129026
F43PRr2	Rhizosphere	0.2686839720308187
F45Dr3	Deep	0.2622891989672049
F45Sr3	Surface	0.19718436930900074
F46Dr2	Deep	0.12474400310715879
F47Dr3	Deep	0.01036872339587301
F48Dr2	Deep	0.27270758774512277
F48Sr2	Surface	0.35609249553450145
F49Dr1	Deep	0.5277646563779551
F49PRr3	Rhizosphere	0.23265990699430494
