sampleID	forwardReads	reverseReads	run
e0323_Ctrl_1_Trip1	/ibex/scratch/projects/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0323_Ctrl-1-Trip1_UDP0371-UDP0371_L002_R1_001.fastq.gz	/ibex/scratch/projects/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0323_Ctrl-1-Trip1_UDP0371-UDP0371_L002_R2_001.fastq.gz	A
e0324_10Dr1	/ibex/scratch/projects/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0324_10Dr1_UDP0043-UDP0043_L002_R1_001.fastq.gz	/ibex/scratch/projects/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0324_10Dr1_UDP0043-UDP0043_L002_R2_001.fastq.gz	A
e0325_10Dr2	/ibex/scratch/projects/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0325_10Dr2_UDP0044-UDP0044_L002_R1_001.fastq.gz	/ibex/scratch/projects/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0325_10Dr2_UDP0044-UDP0044_L002_R2_001.fastq.gz	A
e0326_10PRr2	/ibex/scratch/projects/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0326_10PRr2_UDP0047-UDP0047_L002_R1_001.fastq.gz	/ibex/scratch/projects/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0326_10PRr2_UDP0047-UDP0047_L002_R2_001.fastq.gz	A
e0327_10Sr2	/ibex/scratch/projects/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0327_10Sr2_UDP0045-UDP0045_L002_R1_001.fastq.gz	/ibex/scratch/projects/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0327_10Sr2_UDP0045-UDP0045_L002_R2_001.fastq.gz	A
e0328_10Sr3	/ibex/scratch/projects/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0328_10Sr3_UDP0046-UDP0046_L002_R1_001.fastq.gz	/ibex/scratch/projects/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0328_10Sr3_UDP0046-UDP0046_L002_R2_001.fastq.gz	A
e0329_11Dr3	/ibex/scratch/projects/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0329_11Dr3_UDP0050-UDP0050_L002_R1_001.fastq.gz	/ibex/scratch/projects/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0329_11Dr3_UDP0050-UDP0050_L002_R2_001.fastq.gz	A
e0330_11PRr3	/ibex/scratch/projects/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0330_11PRr3_UDP0054-UDP0054_L002_R1_001.fastq.gz	/ibex/scratch/projects/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0330_11PRr3_UDP0054-UDP0054_L002_R2_001.fastq.gz	A
e0331_11Sr2	/ibex/scratch/projects/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0331_11Sr2_UDP0052-UDP0052_L002_R1_001.fastq.gz	/ibex/scratch/projects/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0331_11Sr2_UDP0052-UDP0052_L002_R2_001.fastq.gz	A
e0332_12PRr1	/ibex/scratch/projects/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0332_12PRr1_UDP0059-UDP0059_L002_R1_001.fastq.gz	/ibex/scratch/projects/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0332_12PRr1_UDP0059-UDP0059_L002_R2_001.fastq.gz	A
e0333_12PRr3	/ibex/scratch/projects/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0333_12PRr3_UDP0060-UDP0060_L002_R1_001.fastq.gz	/ibex/scratch/projects/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0333_12PRr3_UDP0060-UDP0060_L002_R2_001.fastq.gz	A
e0334_12Sr1	/ibex/scratch/projects/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0334_12Sr1_UDP0057-UDP0057_L002_R1_001.fastq.gz	/ibex/scratch/projects/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0334_12Sr1_UDP0057-UDP0057_L002_R2_001.fastq.gz	A
e0335_12Sr3	/ibex/scratch/projects/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0335_12Sr3_UDP0058-UDP0058_L002_R1_001.fastq.gz	/ibex/scratch/projects/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0335_12Sr3_UDP0058-UDP0058_L002_R2_001.fastq.gz	A
e0336_13Dr1	/ibex/scratch/projects/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0336_13Dr1_UDP0061-UDP0061_L002_R1_001.fastq.gz	/ibex/scratch/projects/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0336_13Dr1_UDP0061-UDP0061_L002_R2_001.fastq.gz	A
e0337_13Dr3	/ibex/scratch/projects/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0337_13Dr3_UDP0062-UDP0062_L002_R1_001.fastq.gz	/ibex/scratch/projects/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0337_13Dr3_UDP0062-UDP0062_L002_R2_001.fastq.gz	A
e0338_13Sr2	/ibex/scratch/projects/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0338_13Sr2_UDP0063-UDP0063_L002_R1_001.fastq.gz	/ibex/scratch/projects/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0338_13Sr2_UDP0063-UDP0063_L002_R2_001.fastq.gz	A
e0339_14Dr1	/ibex/scratch/projects/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0339_14Dr1_UDP0065-UDP0065_L002_R1_001.fastq.gz	/ibex/scratch/projects/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0339_14Dr1_UDP0065-UDP0065_L002_R2_001.fastq.gz	A
e0340_14Dr3	/ibex/scratch/projects/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0340_14Dr3_UDP0066-UDP0066_L002_R1_001.fastq.gz	/ibex/scratch/projects/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0340_14Dr3_UDP0066-UDP0066_L002_R2_001.fastq.gz	A
e0341_14PRr1	/ibex/scratch/projects/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0341_14PRr1_UDP0069-UDP0069_L002_R1_001.fastq.gz	/ibex/scratch/projects/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0341_14PRr1_UDP0069-UDP0069_L002_R2_001.fastq.gz	A
e0342_14PRr2	/ibex/scratch/projects/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0342_14PRr2_UDP0070-UDP0070_L002_R1_001.fastq.gz	/ibex/scratch/projects/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0342_14PRr2_UDP0070-UDP0070_L002_R2_001.fastq.gz	A
e0343_14Sr2	/ibex/scratch/projects/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0343_14Sr2_UDP0068-UDP0068_L002_R1_001.fastq.gz	/ibex/scratch/projects/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0343_14Sr2_UDP0068-UDP0068_L002_R2_001.fastq.gz	A
e0344_15Dr1	/ibex/scratch/projects/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0344_15Dr1_UDP0071-UDP0071_L002_R1_001.fastq.gz	/ibex/scratch/projects/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0344_15Dr1_UDP0071-UDP0071_L002_R2_001.fastq.gz	A
e0345_15Dr3	/ibex/scratch/projects/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0345_15Dr3_UDP0072-UDP0072_L002_R1_001.fastq.gz	/ibex/scratch/projects/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0345_15Dr3_UDP0072-UDP0072_L002_R2_001.fastq.gz	A
e0346_15PRr1	/ibex/scratch/projects/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0346_15PRr1_UDP0075-UDP0075_L002_R1_001.fastq.gz	/ibex/scratch/projects/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0346_15PRr1_UDP0075-UDP0075_L002_R2_001.fastq.gz	A
e0347_15PRr2	/ibex/scratch/projects/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0347_15PRr2_UDP0076-UDP0076_L002_R1_001.fastq.gz	/ibex/scratch/projects/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0347_15PRr2_UDP0076-UDP0076_L002_R2_001.fastq.gz	A
e0348_15PRr3	/ibex/scratch/projects/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0348_15PRr3_UDP0077-UDP0077_L002_R1_001.fastq.gz	/ibex/scratch/projects/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0348_15PRr3_UDP0077-UDP0077_L002_R2_001.fastq.gz	A
e0349_15Sr1	/ibex/scratch/projects/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0349_15Sr1_UDP0073-UDP0073_L002_R1_001.fastq.gz	/ibex/scratch/projects/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0349_15Sr1_UDP0073-UDP0073_L002_R2_001.fastq.gz	A
e0350_15Sr3	/ibex/scratch/projects/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0350_15Sr3_UDP0074-UDP0074_L002_R1_001.fastq.gz	/ibex/scratch/projects/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0350_15Sr3_UDP0074-UDP0074_L002_R2_001.fastq.gz	A
e0351_16Dr1	/ibex/scratch/projects/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0351_16Dr1_UDP0078-UDP0078_L002_R1_001.fastq.gz	/ibex/scratch/projects/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0351_16Dr1_UDP0078-UDP0078_L002_R2_001.fastq.gz	A
