soil_position	soil_position_label	n_analysis_units	nuisance_rank	endpoint	cluster_definition	n_clusters	estimate_per_mm_at_kernel_peak	standard_error	t	p_two_sided	ci_low	ci_high
Surface	surface	196	73	richness_hurlbert_25000	site	60	176.35502077602186	84.59610985050645	2.084670572768259	0.03709921359002202	10.549692236835114	342.1603493152086
Surface	surface	196	73	richness_hurlbert_25000	campaign_rain_grid	74	176.35502077602186	53.716838842085274	3.283049125330395	0.0010269076876115446	71.07195128219246	281.63809026985126
Surface	surface	196	73	shannon	site	60	0.09304080403589367	0.07819106647400992	1.1899160381297482	0.23407939415210222	-0.06021087016594305	0.24629247823773037
Surface	surface	196	73	shannon	campaign_rain_grid	74	0.09304080403589367	0.07082882703386893	1.3136008025574588	0.18898057850959182	-0.04578114601770637	0.2318627540894937
Surface	surface	196	73	evenness_h_over_log_hurlbert	site	60	-0.0006665795297226221	0.009334821448732204	-0.07140784999301221	0.9430731621696875	-0.018962493371349753	0.017629334311904506
Surface	surface	196	73	evenness_h_over_log_hurlbert	campaign_rain_grid	74	-0.0006665795297226221	0.008827563798776103	-0.07551115403040645	0.939808023242271	-0.017968286646553366	0.016635127587108126
Deep	shallow-subsurface	203	73	richness_hurlbert_25000	site	60	228.0181827863753	66.85584173841072	3.410594749200082	0.0006482135755162082	96.98314082298057	359.05322474977004
Deep	shallow-subsurface	203	73	richness_hurlbert_25000	campaign_rain_grid	76	228.0181827863753	100.01621439662742	2.2798121700761365	0.02261883089958156	31.990004698949093	424.0463608738015
Deep	shallow-subsurface	203	73	shannon	site	60	0.3036919668555912	0.14066455454617827	2.1589800489212316	0.030851714793592982	0.027994506043711842	0.5793894276674705
Deep	shallow-subsurface	203	73	shannon	campaign_rain_grid	76	0.3036919668555912	0.0926024975190912	3.2795224210122536	0.0010398294725141007	0.12219440683971272	0.48518952687146966
Deep	shallow-subsurface	203	73	evenness_h_over_log_hurlbert	site	60	0.02511354943664428	0.008501304951577212	2.9540817062426474	0.0031360096500390074	0.008451297909960916	0.04177580096332764
Deep	shallow-subsurface	203	73	evenness_h_over_log_hurlbert	campaign_rain_grid	76	0.02511354943664428	0.00888447306292769	2.8266785501816405	0.004703351520484436	0.007700302211689745	0.04252679666159881
Rhizosphere	root-adjacent	218	72	richness_hurlbert_25000	site	60	136.77352745806454	80.64404494832502	1.6960152178094003	0.0898829981501238	-21.28589620828177	294.83295112441084
Rhizosphere	root-adjacent	218	72	richness_hurlbert_25000	campaign_rain_grid	79	136.77352745806454	52.02929986153761	2.6287789346013026	0.00856920465726709	34.797973588616	238.74908132751307
Rhizosphere	root-adjacent	218	72	shannon	site	60	0.11543359266641737	0.11860657799083785	0.9732478132480512	0.3304301526056236	-0.11703102852516586	0.34789821385800057
Rhizosphere	root-adjacent	218	72	shannon	campaign_rain_grid	79	0.11543359266641737	0.06203766740639591	1.8607016912843581	0.06278631489110627	-0.006158001134992999	0.23702518646782772
Rhizosphere	root-adjacent	218	72	evenness_h_over_log_hurlbert	site	60	0.005571043646079882	0.008118245091096196	0.6862374298344361	0.49256339821620565	-0.010340424350137753	0.021482511642297517
Rhizosphere	root-adjacent	218	72	evenness_h_over_log_hurlbert	campaign_rain_grid	79	0.005571043646079882	0.00783854390051275	0.7107243024709549	0.4772550968285477	-0.009792220090161223	0.020934307382320987
