Site	Biome_Feature	Mastersheet_Time	XRF_Measurement_ID	XRF_Timestamp	Time_Discrepancy_min	Status
2	sand dune	08:05	5828	2025-10-12 07:06:48	1	SHORT
2	sand dune	08:05	5829	2025-10-12 07:07:02	2	SHORT
2	sand dune	08:05	5830	2025-10-12 07:07:50	2	COMPLETE
3	sand dune	08:38	5831	2025-10-12 07:39:19	-1	SHORT
3	sand dune	08:38	5832	2025-10-12 07:39:55	-1	COMPLETE
4	saline pan	09:20	5833	2025-10-12 08:22:56	-2	COMPLETE
4	saline pan	09:20	5834	2025-10-12 08:25:23	-5	SHORT
4	saline pan	09:20	5835	2025-10-12 08:26:04	-6	COMPLETE
5	saline pan	10:00	5836	2025-10-12 09:04:18	-4	SHORT
5	saline pan	10:00	5837	2025-10-12 09:04:39	-4	SHORT
5	saline pan	10:00	5838	2025-10-12 09:05:18	-5	COMPLETE
6	saline pan	10:50	5839	2025-10-12 09:50:09	0	COMPLETE
7	sand dune	11:18	5840	2025-10-12 10:16:23	2	SHORT
7	sand dune	11:18	5841	2025-10-12 10:16:52	1	COMPLETE
8	sand dune	11:55	5842	2025-10-12 10:56:06	-1	SHORT
8	sand dune	11:55	5843	2025-10-12 10:57:02	-2	SHORT
8	sand dune	11:55	5844	2025-10-12 10:57:44	-2	SHORT
8	sand dune	11:55	5845	2025-10-12 10:58:21	-3	COMPLETE
9	sand dune	12:33	5846	2025-10-12 11:34:52	-2	COMPLETE
10	sand dune	12:58	5847	2025-10-12 11:58:58	-1	COMPLETE
10	sand dune	12:58	5848	2025-10-12 12:00:29	-2	COMPLETE
11	sand dune	13:30	5849	2025-10-12 12:36:05	-6	SHORT
11	sand dune	13:30	5850	2025-10-12 12:36:28	-6	SHORT
11	sand dune	13:30	5851	2025-10-12 12:37:04	-7	SHORT
11	sand dune	13:30	5852	2025-10-12 12:37:25	-7	SHORT
11	sand dune	13:30	5853	2025-10-12 12:38:05	-8	COMPLETE
12	sand dune	13:57	5854	2025-10-12 13:03:34	-6	COMPLETE
13	sand dune	15:25	5855	2025-10-12 14:31:39	-6	COMPLETE
14	sand dune	15:51	5856	2025-10-12 14:56:48	-6	SHORT
14	sand dune	15:51	5857	2025-10-12 14:58:00	-7	COMPLETE
15	sand dune	16:22	5858	2025-10-12 15:24:36	-2	SHORT
15	sand dune	16:22	5859	2025-10-12 15:25:24	-3	COMPLETE
16	sand dune	16:42	5860	2025-10-12 15:49:16	-7	COMPLETE
17	sand dune	07:05	5861	2025-10-13 06:03:24	2	SHORT
17	sand dune	07:05	5862	2025-10-13 06:03:51	1	SHORT
17	sand dune	07:05	5863	2025-10-13 06:04:29	1	SHORT
17	sand dune	07:05	5864	2025-10-13 06:04:50	0	COMPLETE
18	sand dune	07:42	5865	2025-10-13 06:43:12	-1	COMPLETE
19	sand dune	08:15	5866	2025-10-13 07:16:08	-1	SHORT
19	sand dune	08:15	5867	2025-10-13 07:16:27	-1	SHORT
19	sand dune	08:15	5868	2025-10-13 07:17:06	-2	COMPLETE
20	dune slack	09:04	5869	2025-10-13 08:00:42	4	COMPLETE
21	oilspill	09:30	5870	2025-10-13 08:25:37	5	COMPLETE
22	saline pan	10:10	5871	2025-10-13 09:12:45	-2	COMPLETE
