element	positive_detection_fraction	pc1_loading
Ca	1.0	0.4127261913675472
Mg	1.0	0.406111927766429
Na	0.9682758620689655	0.370473001271347
S	0.8758620689655172	0.35397891484367444
Cl	0.8731034482758621	0.33790617860328764
Fe	1.0	0.2835095079537927
Ti	0.9862068965517241	0.2810543589946612
K	0.9986206896551724	0.17015340341159588
Al	1.0	0.15783758514730792
P	0.7958620689655173	-0.013470577621300689
Si	1.0	-0.27309843733104044
