Trip	Site	Type	elemental_pc1	elemental_pc1_global_sensitivity	shannon	sequencing_depth	Latitude	Longitude	log_sequencing_depth
1	1	Deep	2.148104340969962	2.0492341767545055	6.655827416668735	207774.0	19.14977055555556	45.166511388888885	12.244211042421227
1	1	Rhizosphere	1.9209168453799863	1.8995055105934173	6.763495886085533	421548.0	19.14977055555556	45.166511388888885	12.951691301150166
1	1	Surface	-1.959368261140494	-1.4313194982458721	6.167398689022062	995003.0	19.14977055555556	45.166511388888885	13.810502036233151
1	2	Deep	-1.010666892114196	-0.5851514843439166	6.985541559159983	1473044.0	19.203468333333333	45.2447675	14.202842244876296
1	2	Rhizosphere	-0.4936462950642177	-0.19891162298987344	5.139292246660462	233931.0	19.203468333333333	45.2447675	12.362785753817375
1	2	Surface	-1.9297700350591944	-1.3975159968098971	6.115056938782858	685205.0	19.203468333333333	45.2447675	13.437474801961189
1	3	Deep	-1.8256128136332312	-1.3300144519343469	6.5951686349882515	617780.0	19.301079444444444	45.384414166666666	13.333889304704282
1	3	Rhizosphere	-2.9662293117052836	-2.2870697233723503	4.98236384868539	540125.0	19.301079444444444	45.384414166666666	13.199557724655802
1	3	Surface	-2.4678592627167077	-1.8660773274759195	5.829635881951919	94096.0	19.301079444444444	45.384414166666666	11.452081444087579
1	4	Deep	-0.7111097371498051	-0.41011954262415307	6.207069793069375	1121924.0	19.379571666666667	45.55182694444444	13.930556517910771
1	4	Rhizosphere	-3.143265325678815	-2.4545501517434234	6.411839152720911	2868220.0	19.379571666666667	45.55182694444444	14.869202534915601
1	4	Surface	-2.1650797273003595	-1.6247654587060723	6.332888782654392	641748.0	19.379571666666667	45.55182694444444	13.371952540492982
1	5	Deep	3.007391567151259	2.764806750899103	5.7833386086643825	167754.0	19.407155277777772	45.65950138888888	12.030259860649045
1	5	Surface	-0.20675011774745225	0.06836308465887135	5.790822002809446	1012808.0	19.407155277777772	45.65950138888888	13.82823821658849
1	6	Deep	0.5684276591573623	0.6816587351358123	6.384605330622573	978991.0	19.405739166666667	45.8161425	13.794278749875582
1	6	Rhizosphere	-1.3987360985758759	-0.9940082217362837	5.479554431493815	868883.0	19.405739166666667	45.8161425	13.67496490857098
1	6	Surface	-3.1322761774484422	-2.418925259855293	5.8918277515774955	572689.0	19.405739166666667	45.8161425	13.258099837080557
1	7	Deep	0.22835001665126473	0.4263422368923684	6.392795668024388	539326.0	19.407005277777778	45.95394361111112	13.198077344971056
1	7	Rhizosphere	-1.677560404653035	-1.25665302183023	5.307778352015222	14554.0	19.407005277777778	45.95394361111112	9.585689856179723
1	7	Surface	0.5636535058760093	0.7224286999958949	4.255206468029547	201903.0	19.407005277777778	45.95394361111112	12.215547615892692
1	8	Rhizosphere	-2.178868047388594	-1.5812031483548434	5.838476733709411	763061.0	19.393154166666665	46.11073472222223	13.545094565156676
1	8	Surface	-2.722310398515943	-2.103418635871824	6.104140472266392	197699.0	19.393154166666665	46.11073472222223	12.194506009158708
1	9	Deep	-0.0703814031985373	0.2017521770945219	6.538513011802939	572622.0	19.411200277777777	46.30267361111111	13.257982838495758
1	9	Rhizosphere	-1.0965921254525024	-0.7609134980220269	5.797722828460501	481950.0	19.411200277777777	46.30267361111111	13.085597728113997
1	9	Surface	-0.30004174707100856	-0.007627286341326913	6.1873630024817174	778496.0	19.411200277777777	46.30267361111111	13.565120416684218
1	10	Deep	-0.8060237199033837	-0.4363712206141	6.659232384545959	503679.0	19.420469722222222	46.46079527777778	13.12969642477112
1	10	Rhizosphere	-1.7129692918237136	-1.223545137884281	6.088738319696741	742124.0	19.420469722222222	46.46079527777778	13.517272971572977
1	10	Surface	-0.6985677099444842	-0.40156376039792163	6.457927307136321	2683084.0	19.420469722222222	46.46079527777778	14.802477809860086
1	11	Deep	0.15031660027657603	0.4232237047116162	5.8891003692377595	639497.0	19.44435222222222	46.6356325	13.368438772552828
1	11	Rhizosphere	-0.8666310621310042	-0.4294699827230882	5.557777131587343	1544550.0	19.44435222222222	46.6356325	14.250243811190561
1	11	Surface	-0.5413500644758301	-0.21247562142132195	5.678883274313884	125604.0	19.44435222222222	46.6356325	11.740897341141078
1	12	Deep	-2.3611124824460212	-1.668409525116033	6.082672525658333	735313.0	19.47793361111111	46.83437333333334	13.508052897850739
1	12	Rhizosphere	-3.377143228368803	-2.6855638625397242	6.132785609988525	354670.0	19.47793361111111	46.83437333333334	12.77894587818609
