pcoa_target_fraction	pcoa_retained_fraction	pcoa_axes	n_observations	n_sites	pseudo_f	p	partial_r2	residual_df	permutations
0.8	0.8000459413452449	38	621	60	1.9205652256246082	0.056	0.0034547475768325502	554	999
0.95	0.9503860145613672	115	621	60	1.8364817651404288	0.044	0.003303996454691875	554	999
