neighbours_k	n_sites	mean_degree	residual_moran_i	permutation_p	null_mean	null_p95
3	60	3.333333333	0.1104372473	0.001	-0.01645466335	0.02306649778
4	60	4.4	0.1012953456	0.001	-0.0164488119	0.01617466117
5	60	5.566666667	0.06448623869	0.002	-0.01742577427	0.01052546461
6	60	6.566666667	0.05253095312	0.001	-0.01712136534	0.009855534871
8	60	8.9	0.0070601729	0.047	-0.01630188172	0.006624986229
10	60	10.9	-0.009745767396	0.241	-0.01755891768	0.003026577384
