pathway	description	n_sites	spearman_rho	p_value	q_global_200	supported_q_lt_0_05
PWY-3781	aerobic respiration I (cytochrome c)	60	-0.310641845	0.01570507895	0.03533641983	True
PWY-7111	pyruvate fermentation to isobutanol (engineered)	60	-0.01211447624	0.9268031734	0.9409169273	False
PWY-5101	L-isoleucine biosynthesis II	60	-0.03828841345	0.7714732156	0.8163737731	False
ILEUSYN-PWY	L-isoleucine biosynthesis I (from threonine)	60	-0.05429285913	0.6803334923	0.7394929265	False
VALSYN-PWY	L-valine biosynthesis	60	-0.05429285913	0.6803334923	0.7394929265	False
BRANCHED-CHAIN-AA-SYN-PWY	superpathway of branched amino acid biosynthesis	60	0.09258127258	0.4817073864	0.5667145723	False
PWY-5973	cis-vaccenate biosynthesis	60	0.6102250625	2.263141831e-07	3.233059759e-06	True
PWY-7663	gondoate biosynthesis (anaerobic)	60	0.6158377327	1.630029117e-07	2.963689303e-06	True
FASYN-ELONG-PWY	fatty acid elongation -- saturated	60	0.6109474854	2.170316419e-07	3.233059759e-06	True
TCA	TCA cycle I (prokaryotic)	60	0.04773548208	0.7172131762	0.7749307836	False
PWY-6969	TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)	60	-0.144595721	0.2703410152	0.3580675698	False
PWY-5103	L-isoleucine biosynthesis III	60	0.1777716032	0.1741789186	0.2569511751	False
PWY-7094	fatty acid salvage	60	-0.482689636	9.389597531e-05	0.0005365484303	True
PWY-5667	CDP-diacylglycerol biosynthesis I	60	0.4540705752	0.0002683392103	0.00124808935	True
PWY0-1319	CDP-diacylglycerol biosynthesis II	60	0.4540705752	0.0002683392103	0.00124808935	True
FAO-PWY	fatty acid &beta;-oxidation I	60	-0.4848569047	8.638638696e-05	0.0005235538604	True
NONOXIPENT-PWY	pentose phosphate pathway (non-oxidative branch)	60	0.3259794387	0.01102980896	0.02828156144	True
PWY-7208	superpathway of pyrimidine nucleobases salvage	60	0.351931092	0.005824188268	0.01688170513	True
PWY-7229	superpathway of adenosine nucleotides de novo biosynthesis I	60	0.386440678	0.002289780385	0.008326474126	True
PHOSLIPSYN-PWY	superpathway of phospholipid biosynthesis I (bacteria)	60	0.08513475966	0.5177907954	0.5986020757	False
PWY-3001	superpathway of L-isoleucine biosynthesis I	60	0.4885801612	7.476235609e-05	0.0004672647256	True
PWY-5695	urate biosynthesis/inosine 5'-phosphate degradation	60	-0.1963878855	0.1326067284	0.206285892	False
PWY-2942	L-lysine biosynthesis III	60	0.2883023062	0.0254917845	0.05366691473	False
REDCITCYC	TCA cycle VIII (helicobacter)	60	-0.2909141428	0.02413184969	0.05189645096	False
PWY-7219	adenosine ribonucleotides de novo biosynthesis	60	0.2786885246	0.03106655895	0.06151793852	False
SER-GLYSYN-PWY	superpathway of L-serine and glycine biosynthesis I	60	0.2157265907	0.09784032834	0.1686902213	False
PWY-6126	superpathway of adenosine nucleotides de novo biosynthesis II	60	0.3641567102	0.004232004112	0.01317647177	True
PWY-7220	adenosine deoxyribonucleotides de novo biosynthesis II	60	0.4799110864	0.0001044013125	0.000549480592	True
PWY-7222	guanosine deoxyribonucleotides de novo biosynthesis II	60	0.4799110864	0.0001044013125	0.000549480592	True
P105-PWY	TCA cycle IV (2-oxoglutarate decarboxylase)	60	-0.1757154765	0.1792946826	0.2614709457	False
PWY0-162	superpathway of pyrimidine ribonucleotides de novo biosynthesis	60	0.3331480967	0.009294359137	0.0247849577	True
PWY-6122	5-aminoimidazole ribonucleotide biosynthesis II	60	0.2097804946	0.1076760024	0.1779768635	False
PWY-6277	superpathway of 5-aminoimidazole ribonucleotide biosynthesis	60	0.2097804946	0.1076760024	0.1779768635	False
PWY-6121	5-aminoimidazole ribonucleotide biosynthesis I	60	0.2824117811	0.02879732375	0.05817641163	False
PWY-5686	UMP biosynthesis	60	0.3137538205	0.01463889812	0.03404394911	True
PWY4FS-7	phosphatidylglycerol biosynthesis I (plastidic)	60	-0.00772436788	0.953290702	0.9580811075	False
