group	n_profiles	mean_weighted_nsti	median_weighted_nsti	minimum_weighted_nsti	maximum_weighted_nsti
all	1227	0.1774020834	0.1648089041	0.005325	0.7818885388
position:Deep	381	0.2140784215	0.2011225836	0.005325	0.7818885388
position:Rhizosphere	474	0.1521454593	0.1339849888	0.03326001122	0.6439269962
position:Surface	372	0.1720202419	0.1680541356	0.02519263101	0.5265431583
campaign:1	315	0.1853215073	0.173193589	0.04493172661	0.7818885388
campaign:2	24	0.1827583499	0.1611884352	0.07880350271	0.3931893877
campaign:3	478	0.1885238521	0.178730852	0.005325	0.6439269962
campaign:4	177	0.216397386	0.2119781825	0.02537889179	0.5626602195
campaign:5	233	0.1137044742	0.1134799102	0.03326001122	0.2311171364
