control_profile	rank	feature_id	reads	share_of_profile	taxon
EB18	1	5bec75550fa53809565d897af76fe314	8840	0.0180	NA; NA
EB18	2	342796ebfc27139dd8adadc352135dc1	5368	0.0109	NA; NA
EB18	3	5dc316248dba3e45f86fb1f06a6e50b9	4401	0.0090	Actinokineospora; fastidiosa
EB18	4	a0611b1c000ba1d3e5a3ce0bfeed9254	4243	0.0086	Nitrolancea; hollandica
EB18	5	57aefa5d0a0056772a9e3e71c4ddec1b	3363	0.0068	Limosilactobacillus; NA
EB1	1	bc7ea8767a19877ad75a19f21a2c63cd	2630	0.0188	Ammoniphilus; NA
EB1	2	fc4743503a3c862e2252c1ee6a6a88d0	1962	0.0140	Streptomyces; NA
EB1	3	43614b89ffa03660be346656fde57738	1318	0.0094	NA; NA
EB1	4	471beaf22499da9a0779492186cd6a19	1107	0.0079	Microvirga; NA
EB1	5	2f4f48936382914a62f7fbd54c108840	960	0.0068	Bacillus; mannanilyticus
EB2	1	5bec75550fa53809565d897af76fe314	10284	0.0153	NA; NA
EB2	2	a0611b1c000ba1d3e5a3ce0bfeed9254	7771	0.0116	Nitrolancea; hollandica
EB2	3	342796ebfc27139dd8adadc352135dc1	7528	0.0112	NA; NA
EB2	4	5dc316248dba3e45f86fb1f06a6e50b9	5389	0.0080	Actinokineospora; fastidiosa
EB2	5	57aefa5d0a0056772a9e3e71c4ddec1b	5380	0.0080	Limosilactobacillus; NA
EB3	1	cf2a13de6d0313e60fed3de3dee74900	1105	0.0291	Streptomyces; NA
EB3	2	127dac29b55e5f503527597755473936	1054	0.0278	Chelativorans; NA
EB3	3	12f95733640a41ed6873c7ebf4088acd	742	0.0195	Acetobacteraceae; Roseicella
EB3	4	d2e85f22706b76564a71dcb05fa06187	661	0.0174	NA; NA
EB3	5	98cc3be340d1bd0ae09b20545ccbf45f	659	0.0174	NA; NA
EB4	1	cf2a13de6d0313e60fed3de3dee74900	1930	0.1110	Streptomyces; NA
EB4	2	0e592b30ce079c66e21bee88f9e3c696	593	0.0341	Pseudolysinimonas; NA
EB4	3	1a9f5471b4f1a6ed717207c4699de35f	515	0.0296	NA; NA
EB4	4	4074c80f5007c0522a1884eb6748167f	416	0.0239	Steroidobacter; NA
EB4	5	1b0d24d8cb317b9ecedd44291ba3051f	407	0.0234	Polyangiales; Polyangiaceae
EB5	1	5bec75550fa53809565d897af76fe314	6983	0.0237	NA; NA
EB5	2	342796ebfc27139dd8adadc352135dc1	3731	0.0127	NA; NA
EB5	3	f2498d6f9a80f8edbd73769914d8a38a	1757	0.0060	Bacillus; halotolerans
EB5	4	285017f12239ee6cf082185b5309bb1e	1730	0.0059	Lysinibacillus; massiliensis
EB5	5	57aefa5d0a0056772a9e3e71c4ddec1b	1706	0.0058	Limosilactobacillus; NA
EB6	1	5287cb256d8364275bd0b664444544ff	1414	0.1270	NA; NA
EB6	2	7e9cd0c8817b45ec9f83a238385b4875	437	0.0393	Aeromonas; aquatica
EB6	3	cf2a13de6d0313e60fed3de3dee74900	412	0.0370	Streptomyces; NA
EB6	4	dfc5a4192b3b046789d164cafd80e290	361	0.0324	Aeromonas; aquatica
EB6	5	873bcc0d9655c61977c2fd531cbc22d2	316	0.0284	Aeromonas; aquatica
EB7	1	cf2a13de6d0313e60fed3de3dee74900	572	0.0340	Streptomyces; NA
EB7	2	5979ab69bb1ee7cdbfb9217dc81f82f6	480	0.0285	Streptomycetaceae; Streptomyces
EB7	3	8bfb0b4ef0b00f939251356613dd7929	448	0.0266	Aeromonas; aquatica
EB7	4	482eb872969701616b6f278c9521972d	383	0.0228	Thermomonosporaceae; Thermomonospora
EB7	5	9d37b2caee8ebe5f4655e338dec68ed7	370	0.0220	NA; NA
EB8	1	5bec75550fa53809565d897af76fe314	4878	0.0204	NA; NA
EB8	2	a0611b1c000ba1d3e5a3ce0bfeed9254	2794	0.0117	Nitrolancea; hollandica
EB8	3	342796ebfc27139dd8adadc352135dc1	2424	0.0102	NA; NA
EB8	4	1b8f8cc60c3dd0cbae120893b3206a7b	1804	0.0076	Herbihabitans; NA
EB8	5	5dc316248dba3e45f86fb1f06a6e50b9	1785	0.0075	Actinokineospora; fastidiosa
EB9	1	5bec75550fa53809565d897af76fe314	17051	0.0236	NA; NA
EB9	2	342796ebfc27139dd8adadc352135dc1	8927	0.0124	NA; NA
EB9	3	1b8f8cc60c3dd0cbae120893b3206a7b	6124	0.0085	Herbihabitans; NA
EB9	4	4db0c6a6ffa290600e9660a07537b75e	4107	0.0057	NA; NA
EB9	5	a0611b1c000ba1d3e5a3ce0bfeed9254	3990	0.0055	Nitrolancea; hollandica
Negative1	1	f37780920772c11a598a72fef9db8421	601	0.0968	Aeromonas; aquatica
Negative1	2	e4d745b90ea6fb2b3560fe1cd40c42fc	596	0.0960	Aeromonas; aquatica
Negative1	3	d5876e2eeada9324885e7b87db29d2b1	536	0.0864	Aeromonas; aquatica
Negative1	4	6e5ff3439d59e913149f5be87d039b6d	405	0.0653	Aeromonas; aquatica
Negative1	5	405610ce3fc28d13b2bd439cc9444420	329	0.0530	Aeromonas; aquatica
Negative2	1	d594b56e0721b2fc0250f8e8a1d2b2d8	3519	0.0447	Bradyrhizobium; elkanii
Negative2	2	5b0f1dc09e38b59118be54531e07e7e4	3164	0.0402	Hyphomicrobiales; Amb-16S-1323
Negative2	3	8aee125404b6d41897f4e3d917868399	2919	0.0371	Acidobacteriae; Terriglobales
Negative2	4	6e7604ec6f61c2fee0d97a8d8b3d057d	2894	0.0368	Bradyrhizobium; elkanii
Negative2	5	7f7c25e6adc6a3262ec4c966ba9bf36b	2672	0.0340	NA; NA
Negative4	1	1e3e5dc0b50e87a2da59f0d7f50d82c5	1381	0.1463	Aeromonas; aquatica
Negative4	2	57aefa5d0a0056772a9e3e71c4ddec1b	269	0.0285	Limosilactobacillus; NA
Negative4	3	cf2a13de6d0313e60fed3de3dee74900	244	0.0259	Streptomyces; NA
Negative4	4	6c091fd20a71cccc8704c9ec2d62b245	235	0.0249	Domibacillus; NA
Negative4	5	0ae43866f22a323dc10ec1cd034372c7	225	0.0238	NA; NA
Negative5	1	19848b4cc78dd547fbc51068b4b9c011	619	0.1094	Aeromonas; aquatica
Negative5	2	5120154a2e110a03470462117710de9b	419	0.0741	Ammoniphilus; NA
Negative5	3	8e1dd131bdad4b28e107dea6fb0d0d94	357	0.0631	Streptomycetaceae; Streptomyces
Negative5	4	984a34718565ea51b7e483e056ff4afb	354	0.0626	NA; NA
Negative5	5	b2c70ddd61a70df20079c49fb754baa8	335	0.0592	Oxalophagus; oxalicus
Negative6	1	bc7ea8767a19877ad75a19f21a2c63cd	2021	0.0184	Ammoniphilus; NA
Negative6	2	fc4743503a3c862e2252c1ee6a6a88d0	1752	0.0160	Streptomyces; NA
Negative6	3	2f4f48936382914a62f7fbd54c108840	1408	0.0128	Bacillus; mannanilyticus
Negative6	4	095c38511d8349e450e3bf7d2a1fe28c	1277	0.0117	FCPS473; NA
Negative6	5	94f0ff883ad8373fd4e82f24eebb5c08	856	0.0078	Kribbella; NA
Negative7	1	342796ebfc27139dd8adadc352135dc1	3369	0.0215	NA; NA
Negative7	2	6c091fd20a71cccc8704c9ec2d62b245	1786	0.0114	Domibacillus; NA
Negative7	3	365fa2ed12b2f33c3686717d3e92c1cd	1399	0.0089	Domibacillus; NA
Negative7	4	bc7ea8767a19877ad75a19f21a2c63cd	1374	0.0088	Ammoniphilus; NA
Negative7	5	5120154a2e110a03470462117710de9b	1192	0.0076	Ammoniphilus; NA
