Taxon String	Rank	Name	Mapped ID	Is RAK	Is Inherited
Archaea;Aenigmarchaeota;Aenigmarchaeia;Aenigmarchaeales;NA;NA;NA	Kingdom	Archaea	2157	False	False
Archaea;Aenigmarchaeota;Aenigmarchaeia;Aenigmarchaeales;NA;NA;NA	Phylum	Aenigmarchaeota	RAK_CTX_49dec538b5ccb99c06e40d16	True	False
Archaea;Aenigmarchaeota;Aenigmarchaeia;Aenigmarchaeales;NA;NA;NA	Class	Aenigmarchaeia	RAK_CTX_b4be644b111585e25e44dadc	True	False
Archaea;Aenigmarchaeota;Aenigmarchaeia;Aenigmarchaeales;NA;NA;NA	Order	Aenigmarchaeales	RAK_CTX_d3577f8a94258373793e789c	True	False
Archaea;Aenigmarchaeota;Aenigmarchaeia;Aenigmarchaeales;NA;NA;NA	Family	NA	RAK_CTX_d16d895f61b1f7db4dde39af	True	False
Archaea;Aenigmarchaeota;Aenigmarchaeia;Aenigmarchaeales;NA;NA;NA	Genus	NA	RAK_CTX_22c8d07cac8a37f51753e431	True	False
Archaea;Aenigmarchaeota;Aenigmarchaeia;Aenigmarchaeales;NA;NA;NA	Species	NA	RAK_CTX_bfa298bb87f8401844c36229	True	False
Archaea;Aenigmarchaeota;Deep Sea Euryarchaeotic Group(DSEG);NA;NA;NA;NA	Kingdom	Archaea	2157	False	False
Archaea;Aenigmarchaeota;Deep Sea Euryarchaeotic Group(DSEG);NA;NA;NA;NA	Phylum	Aenigmarchaeota	RAK_CTX_49dec538b5ccb99c06e40d16	True	False
Archaea;Aenigmarchaeota;Deep Sea Euryarchaeotic Group(DSEG);NA;NA;NA;NA	Class	Deep Sea Euryarchaeotic Group(DSEG)	RAK_CTX_a7169753dc6bce8e7855b928	True	False
Archaea;Aenigmarchaeota;Deep Sea Euryarchaeotic Group(DSEG);NA;NA;NA;NA	Order	NA	RAK_CTX_e12ed2d20eadaa37f4898f61	True	False
Archaea;Aenigmarchaeota;Deep Sea Euryarchaeotic Group(DSEG);NA;NA;NA;NA	Family	NA	RAK_CTX_0c1dc2904d8f10c4bf2dfb58	True	False
Archaea;Aenigmarchaeota;Deep Sea Euryarchaeotic Group(DSEG);NA;NA;NA;NA	Genus	NA	RAK_CTX_9ad588bedfdd377a5028d3dc	True	False
Archaea;Aenigmarchaeota;Deep Sea Euryarchaeotic Group(DSEG);NA;NA;NA;NA	Species	NA	RAK_CTX_801c444c23db64b8403e1a51	True	False
Archaea;Aenigmarchaeota;NA;NA;NA;NA;NA	Kingdom	Archaea	2157	False	False
Archaea;Aenigmarchaeota;NA;NA;NA;NA;NA	Phylum	Aenigmarchaeota	RAK_CTX_49dec538b5ccb99c06e40d16	True	False
Archaea;Aenigmarchaeota;NA;NA;NA;NA;NA	Class	NA	RAK_CTX_08416bebc080e88ee074b655	True	False
Archaea;Aenigmarchaeota;NA;NA;NA;NA;NA	Order	NA	RAK_CTX_bfa5dacead68ba826b62f303	True	False
Archaea;Aenigmarchaeota;NA;NA;NA;NA;NA	Family	NA	RAK_CTX_9de254a2a629fcd71104beac	True	False
Archaea;Aenigmarchaeota;NA;NA;NA;NA;NA	Genus	NA	RAK_CTX_4855721fde4f041e1d0b3dc9	True	False
Archaea;Aenigmarchaeota;NA;NA;NA;NA;NA	Species	NA	RAK_CTX_2c6f7298823bb5e8a63b5ddd	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloadaptaceae;Haladaptatus;NA	Kingdom	Archaea	2157	False	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloadaptaceae;Haladaptatus;NA	Phylum	Halobacteriota	3100166	False	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloadaptaceae;Haladaptatus;NA	Class	Halobacteria	RAK_CTX_924f7c090f1adced1b5bb75d	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloadaptaceae;Haladaptatus;NA	Order	Halobacterales	RAK_CTX_2175f3a6503249ead100b935	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloadaptaceae;Haladaptatus;NA	Family	Haloadaptaceae	RAK_CTX_f54401e3a6d1ad627f52add3	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloadaptaceae;Haladaptatus;NA	Genus	Haladaptatus	RAK_CTX_4b67198509bd2c8ef49dc6dc	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloadaptaceae;Haladaptatus;NA	Species	NA	RAK_CTX_c0a7a7cb9f4f85d90fe6c073	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloadaptaceae;Haladaptatus;paucihalophilus	Kingdom	Archaea	2157	False	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloadaptaceae;Haladaptatus;paucihalophilus	Phylum	Halobacteriota	3100166	False	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloadaptaceae;Haladaptatus;paucihalophilus	Class	Halobacteria	RAK_CTX_924f7c090f1adced1b5bb75d	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloadaptaceae;Haladaptatus;paucihalophilus	Order	Halobacterales	RAK_CTX_2175f3a6503249ead100b935	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloadaptaceae;Haladaptatus;paucihalophilus	Family	Haloadaptaceae	RAK_CTX_f54401e3a6d1ad627f52add3	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloadaptaceae;Haladaptatus;paucihalophilus	Genus	Haladaptatus	RAK_CTX_4b67198509bd2c8ef49dc6dc	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Haloadaptaceae;Haladaptatus;paucihalophilus	Species	paucihalophilus	RAK_CTX_87b513fe19cb7e5e85031834	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Halobacteriaceae;Halarchaeum;NA	Kingdom	Archaea	2157	False	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Halobacteriaceae;Halarchaeum;NA	Phylum	Halobacteriota	3100166	False	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Halobacteriaceae;Halarchaeum;NA	Class	Halobacteria	RAK_CTX_924f7c090f1adced1b5bb75d	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Halobacteriaceae;Halarchaeum;NA	Order	Halobacterales	RAK_CTX_2175f3a6503249ead100b935	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Halobacteriaceae;Halarchaeum;NA	Family	Halobacteriaceae	RAK_CTX_d2de8eea0fe8d05d994445a6	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Halobacteriaceae;Halarchaeum;NA	Genus	Halarchaeum	RAK_CTX_8d657a6df35dfdf9e09cf0db	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Halobacteriaceae;Halarchaeum;NA	Species	NA	RAK_CTX_23ce5c0bb60508aca0487698	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Halobacteriaceae;Halobacterium;NA	Kingdom	Archaea	2157	False	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Halobacteriaceae;Halobacterium;NA	Phylum	Halobacteriota	3100166	False	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Halobacteriaceae;Halobacterium;NA	Class	Halobacteria	RAK_CTX_924f7c090f1adced1b5bb75d	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Halobacteriaceae;Halobacterium;NA	Order	Halobacterales	RAK_CTX_2175f3a6503249ead100b935	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Halobacteriaceae;Halobacterium;NA	Family	Halobacteriaceae	RAK_CTX_d2de8eea0fe8d05d994445a6	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Halobacteriaceae;Halobacterium;NA	Genus	Halobacterium	RAK_CTX_58cf6801af77f7ed7a73ac6b	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Halobacteriaceae;Halobacterium;NA	Species	NA	RAK_CTX_b2209673d820104fa313e93f	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Halobacteriaceae;NA;NA	Kingdom	Archaea	2157	False	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Halobacteriaceae;NA;NA	Phylum	Halobacteriota	3100166	False	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Halobacteriaceae;NA;NA	Class	Halobacteria	RAK_CTX_924f7c090f1adced1b5bb75d	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Halobacteriaceae;NA;NA	Order	Halobacterales	RAK_CTX_2175f3a6503249ead100b935	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Halobacteriaceae;NA;NA	Family	Halobacteriaceae	RAK_CTX_d2de8eea0fe8d05d994445a6	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Halobacteriaceae;NA;NA	Genus	NA	RAK_CTX_e614a4e8f230bc2a2a98c1b6	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Halobacteriaceae;NA;NA	Species	NA	RAK_CTX_9021db653d25f109cbcd71c4	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Halobacteriaceae;Salarchaeum;japonicum	Kingdom	Archaea	2157	False	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Halobacteriaceae;Salarchaeum;japonicum	Phylum	Halobacteriota	3100166	False	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Halobacteriaceae;Salarchaeum;japonicum	Class	Halobacteria	RAK_CTX_924f7c090f1adced1b5bb75d	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Halobacteriaceae;Salarchaeum;japonicum	Order	Halobacterales	RAK_CTX_2175f3a6503249ead100b935	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Halobacteriaceae;Salarchaeum;japonicum	Family	Halobacteriaceae	RAK_CTX_d2de8eea0fe8d05d994445a6	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Halobacteriaceae;Salarchaeum;japonicum	Genus	Salarchaeum	RAK_CTX_7e5975b113fc7be2683c99ed	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Halobacteriaceae;Salarchaeum;japonicum	Species	japonicum	RAK_CTX_9efc9efa739373941bf020c6	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Halococcaceae;Halococcus;NA	Kingdom	Archaea	2157	False	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Halococcaceae;Halococcus;NA	Phylum	Halobacteriota	3100166	False	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Halococcaceae;Halococcus;NA	Class	Halobacteria	RAK_CTX_924f7c090f1adced1b5bb75d	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Halococcaceae;Halococcus;NA	Order	Halobacterales	RAK_CTX_2175f3a6503249ead100b935	True	False
Archaea;Halobacteriota;Halobacteria;Halobacterales;Halococcaceae;Halococcus;NA	Family	Halococcaceae	RAK_CTX_66d021b161fc07e440a3cfcb	True	False
