claim	metric	canonical_value	control_adjusted_value	absolute_change	canonical_verdict	control_adjusted_verdict	verdict_stable
broad geographic composition structure	partial_r2	0.401609501	0.397825174	0.00378432696	broad_geographic_structure_supported	broad_geographic_structure_supported	true
broad geographic composition structure	permutation_p	0.001	0.001	0	broad_geographic_structure_supported	broad_geographic_structure_supported	true
leakage-free geographic prediction	group_level_equal_weight_skill	-0.00153427232	-0.00153427232	0	joint_campaign_block_not_supported_site_block_sensitivity_supported	joint_campaign_block_not_supported_site_block_sensitivity_supported	true
leakage-free geographic prediction	group_level_pooled_skill	-0.0003587259156	-0.0003587259156	0	joint_campaign_block_not_supported_site_block_sensitivity_supported	joint_campaign_block_not_supported_site_block_sensitivity_supported	true
leakage-free geographic prediction	site_level_block_skill	0.2525898686	0.2472540593	0.005335809289	joint_campaign_block_not_supported_site_block_sensitivity_supported	joint_campaign_block_not_supported_site_block_sensitivity_supported	true
paired compartment composition	omnibus_pseudo_f	17.27965989	17.30355751	0.02389762368	compartment_composition_supported	compartment_composition_supported	true
paired compartment composition	omnibus_permutation_p	0.001	0.001	0	compartment_composition_supported	compartment_composition_supported	true
paired compartment composition	Deep-Surface_standardized_displacement	0.3311512088	0.3311196369	3.15718682e-05	supported	supported	true
paired compartment composition	Rhizosphere-Surface_standardized_displacement	0.4327815104	0.4326811409	0.0001003695368	supported	supported	true
paired compartment composition	Rhizosphere-Deep_standardized_displacement	0.4780294799	0.4782804104	0.0002509304787	supported	supported	true
paired Shannon distribution	Rhizosphere-Surface_mean_difference	-0.1303594569	-0.1240470549	0.006312401986	paired_distribution_shift_uncertain_magnitude	paired_distribution_shift_uncertain_magnitude	true
paired Shannon distribution	Rhizosphere-Surface_q	0.02563310349	0.03053933051	0.004906227015	paired_distribution_shift_uncertain_magnitude	paired_distribution_shift_uncertain_magnitude	true
paired Shannon distribution	Rhizosphere-Deep_mean_difference	-0.2057168243	-0.2009554076	0.004761416736	paired_distribution_shift_uncertain_magnitude	paired_distribution_shift_uncertain_magnitude	true
paired Shannon distribution	Rhizosphere-Deep_q	0.02563310349	0.03053933051	0.004906227015	paired_distribution_shift_uncertain_magnitude	paired_distribution_shift_uncertain_magnitude	true
campaign-by-position depth sensitivity	unadjusted_wald_p	0.008305651349	0.007524523531	0.0007811278175	compartment_wording_retained_with_interaction_dependence	compartment_wording_retained_with_interaction_dependence	true
campaign-by-position depth sensitivity	depth_adjusted_wald_p	0.1747576298	0.2270116197	0.05225398991	compartment_wording_retained_with_interaction_dependence	compartment_wording_retained_with_interaction_dependence	true
depth-adjusted root-adjacent contrast	Rhizosphere-Deep_estimate	-0.2734766384	-0.2676922253	0.005784413058	supported	supported	true
post-hoc normalized evenness	Rhizosphere-Surface_mean_difference	-0.03147812073	-0.03074763298	0.0007304877454	post_hoc_evenness_decomposition_supported	post_hoc_evenness_decomposition_supported	true
post-hoc normalized evenness	Rhizosphere-Deep_mean_difference	-0.04398016009	-0.0434247537	0.0005554063876	post_hoc_evenness_decomposition_supported	post_hoc_evenness_decomposition_supported	true
antecedent rainfall family	tests_with_q_global_below_0.05	0	0	0	not_supported	not_supported	true
laboratory-XRF conditional composition association	partial_r2	0.003583057171	0.003573290586	9.766584738e-06	bounded_elemental_axis_association	bounded_elemental_axis_association	true
laboratory-XRF conditional composition association	permutation_p	0.01	0.01	0	bounded_elemental_axis_association	bounded_elemental_axis_association	true
ASV-resolution geographic sensitivity	minimum_partial_r2	0.3462326528	0.3466074161	0.0003747633472	asv_resolution_consistent_with_genus_primary	asv_resolution_consistent_with_genus_primary	true
ASV-resolution geographic sensitivity	maximum_partial_r2	0.3736821179	0.3738023496	0.0001202316972	asv_resolution_consistent_with_genus_primary	asv_resolution_consistent_with_genus_primary	true
paired distance-decay slopes	omnibus_p	0.0053	0.0077	0.0024	compartment_slopes_differ	compartment_slopes_differ	true
