site	latitude	longitude	x_km	y_km	transect_km
1	19.14977056	45.16651139	-506.1115304	-110.3369038	-517.7178161
2	19.20346833	45.2447675	-497.9331301	-104.3993257	-508.601156
3	19.30107944	45.38441417	-483.3389173	-93.60607472	-492.2969033
4	19.37957167	45.55182694	-465.8429199	-84.92687574	-473.520626
5	19.40715528	45.65950139	-454.5900644	-81.87684552	-461.9018782
6	19.40573917	45.8161425	-438.2197939	-82.03343059	-445.8293645
7	19.40700528	45.95394361	-423.8184566	-81.89343162	-431.6397836
8	19.39315417	46.11073472	-407.4325098	-83.42500438	-415.8003027
9	19.41120028	46.30267361	-387.3733343	-81.42957369	-395.7107504
10	19.42046972	46.46079528	-370.8483336	-80.40461414	-379.2725562
11	19.44435222	46.6356325	-352.5764214	-77.76383059	-360.8242371
12	19.47793361	46.83437333	-331.8063873	-74.05060209	-339.7251328
13	19.52934611	47.05328444	-308.9283952	-68.36571632	-316.1965033
14	19.58133806	47.2920225	-283.978326	-62.61675905	-290.6183269
15	19.61374972	47.47587194	-264.7645632	-59.03287142	-271.073248
16	19.64445583	47.62611861	-249.0625641	-55.63757389	-255.0162042
17	19.67646	47.82730556	-228.0368915	-52.09874517	-233.6971823
18	19.73251806	48.04686056	-205.0916077	-45.90018173	-210.0095507
19	19.81370961	48.24044322	-184.860644	-36.92250667	-188.4893933
20	19.86931083	48.42464444	-165.6101176	-30.77445712	-168.4448291
21	19.9011325	48.48646389	-159.1494827	-27.25580815	-161.4547433
22	19.97866972	48.63943556	-143.162699	-18.68220734	-144.181918
23	20.04926556	48.77333139	-129.169495	-10.87614367	-129.008546
24	20.09273861	48.89939528	-115.9947929	-6.069154024	-115.1821155
25	20.10025972	48.95421972	-110.2651924	-5.237514684	-109.3965555
26	20.14875389	49.07873861	-97.25195545	0.1246793006	-95.62861051
27	20.2038574	49.1959834	-84.99892109	6.217694938	-82.47630032
28	20.24376861	49.37088472	-66.72030991	10.6308372	-63.70113915
29	20.2597976	49.5675445	-46.16776309	12.40322661	-43.16663877
30	20.26930306	49.68367333	-34.03135517	13.45428286	-31.04008344
31	20.29462333	49.891405	-12.32170588	16.25404725	-9.181887324
32	20.31068417	50.09302139	8.748847133	18.02995784	11.86272886
33	20.31750778	50.30307028	30.700665	18.78447181	33.58954434
34	20.34439444	50.5153725	52.88797453	21.75743809	55.94883459
35	20.37179583	50.72999222	75.31748167	24.78731927	78.55661989
36	20.42319	51.14483	118.6714046	30.47017785	122.2237697
37	20.45415028	51.34488333	139.5786056	33.89357961	143.4054133
38	20.4610275	51.37022472	142.2269869	34.65402158	146.1476077
39	20.51023	51.59742	165.9707419	40.09453881	170.4835934
40	20.54718	51.82559	189.8163633	44.18024811	194.6749641
41	20.53977722	51.94610583	202.4112485	43.36169336	206.9146237
42	20.55516	52.12403	221.0057715	45.06262863	225.5104191
43	20.56757556	52.22413278	231.4673262	46.43546627	236.0478339
44	20.56783	52.41036	250.9295861	46.46360121	255.1948189
45	20.56346	52.46776	256.9283531	45.98039283	261.0075307
46	20.55374611	52.66920778	277.9812849	44.90628928	281.5198373
47	20.54181556	52.86878583	298.8388155	43.58708003	301.7956702
48	20.56864833	53.09404833	322.3805795	46.5540876	325.4860432
49	20.64466222	53.28794	342.6438362	54.95924735	346.9345123
50	20.71385	53.4123	355.640468	62.60961669	361.0995833
51	20.7987	53.487	363.4472257	71.99182059	370.4731391
52	20.83967708	53.66811722	382.375449	76.5228206	389.9085155
53	20.85151417	53.75788444	391.7568541	77.83169426	399.3720026
54	20.92017889	53.96220444	413.1099565	85.42422725	421.7455418
55	20.9022725	54.0024376	417.3146486	83.44424621	425.5232533
56	20.82158083	54.22385917	440.4550038	74.52184586	446.6704889
57	20.7349775	54.41764333	460.7070259	64.94576888	464.8588197
58	20.66540111	54.59327444	479.0619059	57.25242925	481.5214344
59	20.65626	54.63586806	483.5132848	56.24166003	485.7169022
60	20.70637444	54.73210556	493.5708866	61.78301461	496.6102363
