term	estimate	std_error	z	p	ci_low	ci_high	interaction_wald_p
Intercept	5.442655992791445	0.1287746409554863	42.264967329031926	0.0	5.190262334396615	5.695049651186275	0.008305651348651431
C(Trip)[T.2]	0.168565954970418	0.2580445551624675	0.653243603083534	0.5135992441317159	-0.33719207955467756	0.6743239894955136	0.008305651348651431
C(Trip)[T.3]	0.06333845758748288	0.15435183039597128	0.410351191981304	0.6815483445388737	-0.23918557093645562	0.36586248611142136	0.008305651348651431
C(Trip)[T.4]	0.3056027785972267	0.1527714925032937	2.000391392331511	0.04545801713412497	0.006176155426340146	0.6050294017681133	0.008305651348651431
C(Trip)[T.5]	0.7728564260414954	0.13456564976449384	5.7433410933183	9.282647469135343e-09	0.5091125989468567	1.0366002531361342	0.008305651348651431
C(Type, Treatment(reference='Surface'))[T.Deep]	0.3753266473100711	0.10887257988663712	3.4473937119968827	0.0005660230727894198	0.16194031182830246	0.5887129827918397	0.008305651348651431
C(Type, Treatment(reference='Surface'))[T.Rhizosphere]	-0.08460617749809146	0.13139906223949166	-0.6438872245822108	0.5196485666749215	-0.3421436070898321	0.17293125209364918	0.008305651348651431
C(Trip)[T.2]:C(Type, Treatment(reference='Surface'))[T.Deep]	-1.470091964905887	0.5743666859666058	-2.559500752436327	0.010482262893271846	-2.5958299833200615	-0.34435394649171247	0.008305651348651431
C(Trip)[T.3]:C(Type, Treatment(reference='Surface'))[T.Deep]	-0.17978258967269994	0.15380675048545953	-1.1688862101647228	0.2424494801182725	-0.4812382812033391	0.12167310185793923	0.008305651348651431
C(Trip)[T.4]:C(Type, Treatment(reference='Surface'))[T.Deep]	-0.5717918719792938	0.18746876061885687	-3.05006482195615	0.002287919798404143	-0.9392238910186141	-0.20435985293997355	0.008305651348651431
C(Trip)[T.5]:C(Type, Treatment(reference='Surface'))[T.Deep]	-0.35319848838062085	0.1757689940332728	-2.0094470604625574	0.04448974365559491	-0.6976993862846712	-0.008697590476570483	0.008305651348651431
C(Trip)[T.2]:C(Type, Treatment(reference='Surface'))[T.Rhizosphere]	-0.37899565867834134	0.2332926321380238	-1.6245504849639432	0.10425837492483751	-0.8362408155274195	0.07824949817073684	0.008305651348651431
C(Trip)[T.3]:C(Type, Treatment(reference='Surface'))[T.Rhizosphere]	-0.17305763666228022	0.16690761483523894	-1.0368468618589524	0.2998072318920094	-0.5001905504848317	0.15407527716027133	0.008305651348651431
C(Trip)[T.4]:C(Type, Treatment(reference='Surface'))[T.Rhizosphere]	-0.3009527669841958	0.21259102393566265	-1.4156419279267147	0.15688036889938037	-0.7176235173345872	0.11571798336619554	0.008305651348651431
C(Trip)[T.5]:C(Type, Treatment(reference='Surface'))[T.Rhizosphere]	-0.16162031043580646	0.19847602295520775	-0.8143064740484098	0.41546940182890657	-0.5506261672227587	0.22738554635114575	0.008305651348651431
