Trip	Site	Type	shannon	richness_rare	sequencing_depth	n_profiles	analysis_cohort
1	1	Deep	6.655827416668735	1636.6252012622272	207774.0	2	core_sites_1_60
1	1	Rhizosphere	6.763495886085533	2175.8681657015263	421548.0	2	core_sites_1_60
1	1	Surface	6.167398689022062	1597.146182607771	995003.0	3	core_sites_1_60
1	2	Deep	6.985541559159983	4260.57106853274	1473044.0	3	core_sites_1_60
1	2	Rhizosphere	5.139292246660462	1526.1426490161202	233931.0	2	core_sites_1_60
1	2	Surface	6.115056938782858	3029.0630703109573	685205.0	2	core_sites_1_60
1	3	Deep	6.5951686349882515	2250.5092743109158	617780.0	2	core_sites_1_60
1	3	Rhizosphere	4.98236384868539	1534.1038859525845	540125.0	3	core_sites_1_60
1	3	Surface	5.829635881951919	994.0671489879768	94096.0	2	core_sites_1_60
1	4	Deep	6.207069793069375	2382.2280587056075	1121924.0	3	core_sites_1_60
1	4	Rhizosphere	6.411839152720911	2527.413274161319	2868220.0	3	core_sites_1_60
1	4	Surface	6.332888782654392	1938.928910225052	641748.0	1	core_sites_1_60
1	5	Deep	5.7833386086643825	1127.0297403832903	167754.0	2	core_sites_1_60
1	5	Surface	5.790822002809446	1952.600717071325	1012808.0	3	core_sites_1_60
1	6	Deep	6.384605330622573	3183.993258088441	978991.0	2	core_sites_1_60
1	6	Rhizosphere	5.479554431493815	2006.25759725415	868883.0	2	core_sites_1_60
1	6	Surface	5.8918277515774955	1310.0169320036812	572689.0	2	core_sites_1_60
1	7	Deep	6.392795668024388	1609.0409174389688	539326.0	2	core_sites_1_60
1	7	Rhizosphere	5.307778352015222		14554.0	1	core_sites_1_60
1	7	Surface	4.255206468029547	879.7013378045528	201903.0	2	core_sites_1_60
1	8	Rhizosphere	5.838476733709411	1172.2924061301867	763061.0	3	core_sites_1_60
1	8	Surface	6.104140472266392	1262.2719397023895	197699.0	2	core_sites_1_60
1	9	Deep	6.538513011802939	1753.318858356448	572622.0	2	core_sites_1_60
1	9	Rhizosphere	5.797722828460501	1007.9952969046202	481950.0	2	core_sites_1_60
1	9	Surface	6.1873630024817174	1803.7905299763831	778496.0	3	core_sites_1_60
1	10	Deep	6.659232384545959	2134.779773951885	503679.0	1	core_sites_1_60
1	10	Rhizosphere	6.088738319696741	1217.5171095420296	742124.0	2	core_sites_1_60
1	10	Surface	6.457927307136321	2428.6078904286474	2683084.0	2	core_sites_1_60
1	11	Deep	5.8891003692377595	1076.5812141743154	639497.0	2	core_sites_1_60
1	11	Rhizosphere	5.557777131587343	2121.7977398440607	1544550.0	3	core_sites_1_60
1	11	Surface	5.678883274313884	917.4636125265656	125604.0	1	core_sites_1_60
1	12	Deep	6.082672525658333	1498.9080963181436	735313.0	2	core_sites_1_60
1	12	Rhizosphere	6.132785609988525	1366.3147321501385	354670.0	2	core_sites_1_60
1	12	Surface	5.376889020849663	1291.8831899834213	482363.0	3	core_sites_1_60
1	13	Deep	6.3704847123033295	2166.8265591015506	2325640.0	2	core_sites_1_60
1	13	Surface	5.654056548523213	1328.196790252568	357173.0	1	core_sites_1_60
1	14	Deep	5.704791388152043	1622.4730090281791	1939892.0	3	core_sites_1_60
1	14	Rhizosphere	4.729813389510372	597.4488873590617	988383.0	2	core_sites_1_60
1	14	Surface	5.893253635686056	1832.7602210913344	1079644.0	1	core_sites_1_60
1	15	Deep	7.111274816365418	3124.510357096978	2124910.0	2	core_sites_1_60
1	15	Rhizosphere	5.913226367989616	1416.46689150619	2035943.0	3	core_sites_1_60
1	15	Surface	6.132545490784553	1442.2986922242528	971961.0	2	core_sites_1_60
1	16	Deep	6.293553105758303	1512.4035477561151	537091.0	2	core_sites_1_60
1	16	Rhizosphere	5.227667755987622	1528.9444904223376	1708227.0	3	core_sites_1_60
1	16	Surface	4.805189136725123	804.7028303664246	214146.0	1	core_sites_1_60
1	17	Deep	6.631193603619146	1777.8051738126535	377750.0	3	core_sites_1_60
1	17	Rhizosphere	5.552827488096427	876.6623294606682	254784.0	2	core_sites_1_60
1	17	Surface	5.880762123406311	1408.565488616048	730670.0	3	core_sites_1_60
1	18	Deep	5.753251893919978	932.4780642566368	299805.0	1	core_sites_1_60
1	18	Rhizosphere	4.318526546129159	715.2116420265198	1255244.0	2	core_sites_1_60
1	18	Surface	5.245220086020158	487.5603930167889	230212.0	2	core_sites_1_60
1	19	Deep	5.551485243515163	964.2620454588297	187793.0	2	core_sites_1_60
1	19	Surface	4.590575059146284	1034.061360970041	896382.0	2	core_sites_1_60
1	20	Deep	5.628468686636971	1360.1556215762125	821711.0	2	core_sites_1_60
1	20	Rhizosphere	5.802532037088589	1849.2704888086687	834875.0	2	core_sites_1_60
1	20	Surface	4.268529229879459	749.1284352798424	881277.0	2	core_sites_1_60
1	21	Deep	6.127781067748957	1728.727804738846	355097.0	1	core_sites_1_60
1	21	Surface	6.172198280167663	1682.081153702061	866584.0	3	core_sites_1_60
1	22	Deep	6.251087328516189	1643.370074496009	1315676.0	3	core_sites_1_60
1	22	Rhizosphere	5.74794086041552	1182.8608362023351	655515.0	2	core_sites_1_60
1	22	Surface	5.681170915388341	563.4540709488454	334183.0	2	core_sites_1_60
1	23	Deep	5.843015289357189	1427.1225285620235	314175.0	2	core_sites_1_60
1	23	Rhizosphere	5.02694032621065	724.5443706613164	286415.0	3	core_sites_1_60
1	23	Surface	5.53005955739967	1312.7679948601588	1541881.0	3	core_sites_1_60
1	24	Deep	6.239503249277968	1624.7757609452538	999400.0	2	core_sites_1_60
1	24	Surface	5.044126433359441	610.5599346975857	145880.0	2	core_sites_1_60
1	25	Deep	6.343256602433424	2248.4269287788284	1297728.0	2	core_sites_1_60
1	25	Rhizosphere	5.265009395124739	1102.612836170705	375595.0	1	core_sites_1_60
1	25	Surface	6.131820444375833	1596.7501400331544	1194673.0	2	core_sites_1_60
1	26	Deep	6.012921566765936	1698.554280725808	1519920.0	3	core_sites_1_60
1	26	Rhizosphere	5.283848047538211	856.4579107842674	349279.0	2	core_sites_1_60
1	26	Surface	5.78370740820102	1446.743034070237	1535430.0	3	core_sites_1_60
1	27	Deep	6.571049931995515	2309.7013706980174	1485853.0	3	core_sites_1_60
1	27	Rhizosphere	5.324722824326862	1541.6715125846401	867136.0	2	core_sites_1_60
1	27	Surface	5.79496183444069	1910.1144899023298	1399384.0	2	core_sites_1_60
1	28	Deep	6.248907394424037	1224.0547944849068	460857.0	2	core_sites_1_60
1	28	Rhizosphere	6.073338013807822	1797.8130737419915	566434.0	2	core_sites_1_60
1	28	Surface	5.820506225113047	1538.9620568813073	1722363.0	3	core_sites_1_60
1	29	Deep	6.353082982965905	1475.566819693655	1169069.0	3	core_sites_1_60
1	29	Rhizosphere	6.216200982349513	1437.6660468996467	974827.0	3	core_sites_1_60
1	29	Surface	5.558463843818879	759.6399617491878	831757.0	2	core_sites_1_60
1	30	Deep	6.172157290523014	1051.4789941599647	139558.0	1	core_sites_1_60
1	30	Rhizosphere	6.153294213713623	1921.5523717464066	1125663.0	2	core_sites_1_60
1	30	Surface	5.684746431776925	1339.0152148409081	1334299.0	3	core_sites_1_60
1	31	Deep	6.0195819534267	857.8730645908449	462115.0	1	core_sites_1_60
1	31	Rhizosphere	5.1082510764087505	856.1593546627095	527866.0	2	core_sites_1_60
1	31	Surface	5.982303714390145	1306.2672449893985	561260.0	2	core_sites_1_60
1	32	Rhizosphere	5.926404801357702	1104.0843235012692	1128643.0	3	core_sites_1_60
1	33	Deep	5.826290634478485	1505.9847112303712	1360920.0	3	core_sites_1_60
1	33	Rhizosphere	5.356929192538623	1463.6314846719386	725381.0	2	core_sites_1_60
1	33	Surface	6.078781204513758	950.0132484085204	411842.0	2	core_sites_1_60
1	34	Deep	5.2189920310867155	1327.6903467798024	975320.0	2	core_sites_1_60
1	34	Rhizosphere	5.498057749006544	1089.4217572791435	710477.0	2	core_sites_1_60
1	34	Surface	6.38675798988514	1845.2226614996082	1259584.0	2	core_sites_1_60
1	35	Deep	6.288225718704065	1876.817057085585	2113803.0	2	core_sites_1_60
1	35	Rhizosphere	5.243250234383668	263.91438694813235	218183.0	2	core_sites_1_60
1	35	Surface	6.183931539149187	1696.946387415399	1257956.0	2	core_sites_1_60
1	36	Deep	5.822798588718195	1023.1323226286222	892955.0	2	core_sites_1_60
1	36	Surface	5.319509169857951	1110.031297012562	181631.0	3	core_sites_1_60
1	37	Deep	6.438586561922435	1789.9186517323355	568081.0	2	core_sites_1_60
1	37	Rhizosphere	5.590505002756235	1246.7652199530576	906397.0	2	core_sites_1_60
1	37	Surface	6.35379911013621	1662.9591390463825	542644.0	2	core_sites_1_60
1	38	Deep	6.451015379810903	1877.6125640879948	615794.0	2	core_sites_1_60
1	38	Rhizosphere	5.111158038454016	1663.409526270903	639094.0	2	core_sites_1_60
1	38	Surface	6.612538871122726	2094.012956289927	776630.0	2	core_sites_1_60
1	39	Deep	4.236273073912697	1234.578915225885	250047.0	2	core_sites_1_60
1	39	Rhizosphere	5.246925145049544	929.0501548107455	950659.0	3	core_sites_1_60
1	39	Surface	5.854214328168118	900.1926786578451	132265.0	1	core_sites_1_60
1	40	Deep	5.866352574523278	1392.8329148774158	561862.0	2	core_sites_1_60
1	40	Rhizosphere	5.676667236187773	1070.9707291785237	606965.0	2	core_sites_1_60
1	41	Deep	2.515991427976635		24318.0	1	core_sites_1_60
1	41	Rhizosphere	5.797500418919494	995.4092137418162	330261.0	1	core_sites_1_60
1	42	Deep	6.481842446038048	1396.861235306331	148967.0	1	core_sites_1_60
1	42	Rhizosphere	5.572948570055044	995.4514429658673	617197.0	2	core_sites_1_60
1	42	Surface	5.778808833682283	1381.834878077374	713122.0	3	core_sites_1_60
1	43	Deep	6.4327421528003494	2024.162169915441	637091.0	2	core_sites_1_60
1	43	Rhizosphere	6.424623084712568	1714.0069434847398	301967.0	1	core_sites_1_60
1	43	Surface	5.761487936954504	743.7881701397769	303582.0	2	core_sites_1_60
1	44	Deep	6.261705428379263	2269.2598836410834	737956.0	1	core_sites_1_60
1	44	Rhizosphere	5.610178623136055	641.0891059958948	284076.0	2	core_sites_1_60
1	45	Deep	5.966492896615606	1191.7968038039166	788222.0	2	core_sites_1_60
1	45	Rhizosphere	5.4863804982152296	1029.0924084611363	258006.0	1	core_sites_1_60
1	45	Surface	6.127026216817883	1478.1753576463889	512753.0	1	core_sites_1_60
1	46	Deep	5.055741797306747	417.1887898231782	129263.0	1	core_sites_1_60
1	46	Rhizosphere	4.055009165820923		2046.0	1	core_sites_1_60
1	46	Surface	5.148081164849797	348.86023350645235	107990.0	1	core_sites_1_60
1	47	Deep	6.407685172457798	1453.289107834876	309777.0	2	core_sites_1_60
1	47	Rhizosphere	5.124237546974011		21560.0	1	core_sites_1_60
1	47	Surface	6.76689901457821	2269.286725563836	382238.0	1	core_sites_1_60
1	48	Deep	5.7632927140028745	1066.6676884877236	175317.0	1	core_sites_1_60
1	48	Surface	5.589313506088121	999.3341612055386	300759.0	1	core_sites_1_60
1	49	Deep	5.480517931532357	834.6929550123816	191915.0	1	core_sites_1_60
1	49	Rhizosphere	5.900392269910602	718.4084377387509	109413.0	1	core_sites_1_60
1	49	Surface	5.291425508085974	546.2256833378541	99105.0	2	core_sites_1_60
1	50	Deep	5.914031399272205	878.421178026758	133535.0	2	core_sites_1_60
1	50	Rhizosphere	6.043761744056281	1391.9511748366108	1041074.0	2	core_sites_1_60
1	50	Surface	5.888705784985729	1403.6820939817862	371615.0	3	core_sites_1_60
1	51	Deep	5.732459912460639	1325.8637972408947	1966762.0	2	core_sites_1_60
1	51	Rhizosphere	4.151150836492533	398.687925451963	333425.0	1	core_sites_1_60
1	51	Surface	5.543079820325588	736.1298684634135	159042.0	1	core_sites_1_60
1	52	Deep	4.655282501768799	557.4605550257522	405299.0	1	core_sites_1_60
1	53	Deep	4.35630075818349	855.8946772372909	549806.0	2	core_sites_1_60
1	53	Rhizosphere	5.299588697275191	980.2799390705219	520660.0	2	core_sites_1_60
1	53	Surface	1.5121167518413738	89.93356757282815	67648.0	1	core_sites_1_60
1	54	Deep	5.521023602192509	963.9189639822639	810402.0	2	core_sites_1_60
1	54	Rhizosphere	4.3400902353945705	440.6520389342681	269995.0	3	core_sites_1_60
1	54	Surface	3.9892811127559367	324.1786443457825	72253.0	3	core_sites_1_60
1	55	Deep	3.834518734875747	255.87694967509185	106266.0	1	core_sites_1_60
1	55	Rhizosphere	3.5405173186515437	167.86015026953586	135815.0	2	core_sites_1_60
1	55	Surface	2.9067507705359756	180.52354435163764	62858.0	2	core_sites_1_60
1	56	Deep	4.324703993059115	207.9953360721939	55377.0	2	core_sites_1_60
1	56	Surface	4.783581585736284	1238.2147097782208	276604.0	2	core_sites_1_60
1	57	Deep	5.188134154240806	321.9572829073328	31250.0	1	core_sites_1_60
1	57	Rhizosphere	4.8078594159009	593.6056619283953	676039.0	2	core_sites_1_60
1	57	Surface	3.88909466118054	115.89376765468654	94954.0	1	core_sites_1_60
1	58	Rhizosphere	5.162432508762434	633.0283223136506	197756.0	1	core_sites_1_60
1	58	Surface	4.311824922500376		17728.0	2	core_sites_1_60
1	59	Rhizosphere	3.690052725539084		8737.0	1	core_sites_1_60
1	60	Deep	4.5929080842769565	264.4163320149264	414664.0	2	core_sites_1_60
1	60	Surface	4.642253451079344	419.1767935408388	142260.0	1	core_sites_1_60
1	61	Surface	3.7826356829896586		8125.0	1	trip1_only_nonrevisited
1	62	Rhizosphere	4.49635087216499	489.9201096199018	116619.0	1	trip1_only_nonrevisited
1	62	Surface	4.03381711432521		7769.0	1	trip1_only_nonrevisited
1	63	Rhizosphere	3.440031042897097		8574.0	1	trip1_only_nonrevisited
1	64	Deep	5.90997772944636	1010.4212120399832	104449.0	1	trip1_only_nonrevisited
1	64	Rhizosphere	3.2325419204181647		24428.0	2	trip1_only_nonrevisited
1	64	Surface	6.319424450244367	1909.9544930970258	617380.0	3	trip1_only_nonrevisited
2	1	Deep	3.586140005587671		1485.0	1	core_sites_1_60
2	1	Rhizosphere	6.279561440931878	1754.9053753936114	470193.0	1	core_sites_1_60
2	2	Deep	4.798986593452173		12566.0	1	core_sites_1_60
2	2	Rhizosphere	5.052510760899326	1986.529696569262	665671.0	2	core_sites_1_60
2	3	Deep	4.859830363832357		6881.0	1	core_sites_1_60
2	4	Rhizosphere	5.978007521513599	2339.5629090356606	545420.0	1	core_sites_1_60
2	4	Surface	6.491502375118535	1677.3479147724586	226775.0	1	core_sites_1_60
2	5	Rhizosphere	6.624019206265058	2628.42970723288	301075.0	1	core_sites_1_60
2	5	Surface	6.519086541948259	2299.9778521749554	3455581.0	3	core_sites_1_60
