genus	prevalence_surface	prevalence_deep	prevalence_rhizosphere	mean_relative_abundance	passes_common_prevalence	abundance_rank_among_eligible	selected_primary	selected_sensitivity_pool
1959-1	0.05294117647	0.07058823529	0.06470588235	1.357610496e-05	false		false	false
A07HB70	0	0.005882352941	0.005882352941	1.584928411e-07	false		false	false
ADurb.Bin063-1	0.05294117647	0.06470588235	0.05882352941	7.578942801e-06	false		false	false
ADurb.Bin118	0	0.02352941176	0.01764705882	4.328168755e-08	false		false	false
AK92	0.02352941176	0.01764705882	0.05882352941	1.257847831e-05	false		false	false
AKYG587	0.3764705882	0.3647058824	0.3411764706	0.000217572302	true	249	false	false
Abditibacterium	0.7411764706	0.7	0.8	0.0007795026437	true	144	false	false
Abiotrophia	0.1647058824	0.1647058824	0.03529411765	2.831638557e-05	false		false	false
Ac37b	0.005882352941	0	0	4.949444518e-08	false		false	false
Acetanaerobacterium	0	0	0.01764705882	2.871581643e-07	false		false	false
Acetivibrio	0.01176470588	0.005882352941	0.005882352941	5.519418655e-06	false		false	false
Acetoanaerobium	0.01764705882	0.01764705882	0	1.122767291e-06	false		false	false
Acetonema	0	0	0.005882352941	3.403994646e-09	false		false	false
Acholeplasma	0	0	0.01176470588	1.472529336e-07	false		false	false
Achromobacter	0.01176470588	0.005882352941	0.01764705882	2.847011485e-06	false		false	false
Acidibacter	0.8705882353	0.8588235294	0.7647058824	0.001409854404	true	94	false	true
Acidicaldus	0.01764705882	0.03529411765	0.02352941176	6.428115379e-06	false		false	false
Acidiferrimicrobium	0.9470588235	0.9470588235	0.9058823529	0.0132796313	true	22	true	true
Acidimangrovimonas	0.005882352941	0.005882352941	0.03529411765	1.224082725e-06	false		false	false
Acidiphilium	0	0.005882352941	0	1.085171886e-07	false		false	false
Aciditerrimonas	0.01764705882	0.04117647059	0.04705882353	1.520504294e-06	false		false	false
Acidothermus	0.2529411765	0.2294117647	0.2	0.0001743777223	true	265	false	false
Acidovorax	0.03529411765	0.05294117647	0.04117647059	9.338573197e-06	false		false	false
Acinetobacter	0.2352941176	0.2470588235	0.2941176471	0.0005723469405	true	168	false	false
Acrocarpospora	0.01176470588	0.02352941176	0.005882352941	0.0001362635455	false		false	false
Actibacterium	0.005882352941	0.005882352941	0.005882352941	5.270781208e-07	false		false	false
Actinoallomurus	0.01176470588	0.02352941176	0.04117647059	5.239633301e-06	false		false	false
Actinoalloteichus	0.07058823529	0.04705882353	0.09411764706	1.038462404e-05	false		false	false
