campaign	site	compartment	sequencing_replicates	aggregate_library_size	passes_read_qc	in_exact_matched_cohort
1	1	Surface	3	753708	true	true
1	2	Surface	2	515712	true	true
1	3	Surface	2	67563	true	true
1	4	Surface	1	487601	true	true
1	5	Surface	3	659299	true	false
1	6	Surface	2	467899	true	true
1	7	Surface	2	144954	true	true
1	8	Surface	2	121866	true	false
1	9	Surface	3	489665	true	true
1	10	Surface	2	1743657	true	true
1	11	Surface	1	88665	true	true
1	12	Surface	3	331694	true	true
1	13	Surface	1	269435	true	false
1	14	Surface	1	915394	true	true
1	15	Surface	2	676707	true	true
1	16	Surface	1	189167	true	true
1	17	Surface	3	517492	true	true
1	18	Surface	2	154618	true	true
1	19	Surface	2	764118	true	false
1	20	Surface	2	779355	true	true
1	21	Surface	3	568912	true	false
1	22	Surface	2	226798	true	true
1	23	Surface	3	1040555	true	true
1	24	Surface	2	119153	true	false
1	25	Surface	2	716444	true	true
1	26	Surface	3	1014123	true	true
1	27	Surface	2	1068349	true	true
1	28	Surface	3	1154822	true	true
1	29	Surface	2	476363	true	true
1	30	Surface	3	891423	true	true
1	31	Surface	2	362760	true	true
1	33	Surface	2	246913	true	true
1	34	Surface	2	815899	true	true
1	35	Surface	2	862652	true	true
1	36	Surface	3	115190	true	false
1	37	Surface	2	359884	true	true
1	38	Surface	2	464412	true	true
1	39	Surface	1	81741	true	true
1	42	Surface	3	470211	true	true
1	43	Surface	2	196540	true	true
1	45	Surface	1	228070	true	true
1	46	Surface	1	71075	true	false
1	47	Surface	1	198697	true	true
1	48	Surface	1	156656	true	false
1	49	Surface	2	66134	true	true
1	50	Surface	3	202677	true	true
1	51	Surface	1	123302	true	true
1	53	Surface	1	37379	true	true
1	54	Surface	3	42269	true	true
1	55	Surface	2	46611	true	true
1	56	Surface	2	215151	true	false
1	57	Surface	1	68732	true	true
1	58	Surface	2	13774	true	false
1	60	Surface	1	83226	true	false
2	4	Surface	1	149619	true	false
2	5	Surface	3	2205322	true	false
2	6	Surface	1	282912	true	true
2	8	Surface	1	319464	true	true
3	1	Surface	3	375054	true	true
3	2	Surface	3	161936	true	true
3	3	Surface	3	879033	true	true
3	4	Surface	3	174810	true	true
3	5	Surface	3	267936	true	true
3	6	Surface	3	1122378	true	true
3	7	Surface	3	701204	true	true
3	8	Surface	3	1151631	true	true
3	9	Surface	3	667185	true	true
3	10	Surface	3	879897	true	true
3	11	Surface	3	1620238	true	true
3	12	Surface	2	449293	true	true
3	13	Surface	3	1204270	true	true
3	14	Surface	3	501251	true	true
3	15	Surface	3	329658	true	true
3	16	Surface	3	522137	true	true
3	17	Surface	3	923836	true	true
3	18	Surface	3	1768291	true	true
3	19	Surface	3	1376307	true	true
3	20	Surface	3	810536	true	true
3	21	Surface	3	589317	true	true
3	22	Surface	3	518571	true	true
3	23	Surface	3	719369	true	true
3	24	Surface	3	485286	true	true
3	25	Surface	3	758903	true	true
3	26	Surface	2	400959	true	true
3	27	Surface	3	519289	true	true
3	28	Surface	3	1417779	true	true
3	29	Surface	3	618682	true	true
3	30	Surface	3	674140	true	true
3	31	Surface	4	592273	true	true
3	32	Surface	3	1153415	true	true
3	33	Surface	3	1116326	true	true
3	34	Surface	4	1403580	true	true
3	35	Surface	3	1380993	true	true
3	36	Surface	2	772855	true	true
3	37	Surface	3	1188637	true	true
3	38	Surface	3	1047836	true	true
3	39	Surface	3	843100	true	true
3	40	Surface	3	474131	true	true
3	42	Surface	3	2773056	true	true
3	43	Surface	3	1121055	true	true
3	44	Surface	3	1058198	true	true
3	45	Surface	3	740113	true	true
3	46	Surface	1	50309	true	false
3	47	Surface	1	36281	true	true
3	48	Surface	3	471863	true	true
3	49	Surface	3	800958	true	true
3	50	Surface	2	365762	true	true
3	51	Surface	2	359859	true	true
3	52	Surface	4	285593	true	false
3	53	Surface	1	124482	true	true
3	55	Surface	2	266278	true	false
3	56	Surface	4	202936	true	false
3	57	Surface	2	189498	true	true
3	58	Surface	4	505830	true	true
3	59	Surface	4	152423	true	true
3	60	Surface	4	92546	true	false
4	1	Surface	1	192743	true	true
4	2	Surface	1	332544	true	false
4	3	Surface	1	248241	true	true
4	4	Surface	1	280385	true	true
4	5	Surface	1	70649	true	true
4	6	Surface	1	448587	true	true
4	7	Surface	1	285887	true	true
4	8	Surface	1	267779	true	true
4	9	Surface	1	342340	true	true
4	10	Surface	1	278199	true	true
4	11	Surface	1	256170	true	true
4	12	Surface	1	514664	true	true
4	13	Surface	1	215723	true	true
4	14	Surface	1	168502	true	true
4	15	Surface	1	303171	true	true
4	16	Surface	1	321618	true	true
4	17	Surface	1	264447	true	true
4	18	Surface	1	184377	true	true
4	19	Surface	1	299343	true	true
4	20	Surface	1	288233	true	true
4	21	Surface	1	252290	true	true
4	22	Surface	1	225835	true	true
4	23	Surface	1	320228	true	true
4	24	Surface	1	287746	true	true
4	25	Surface	1	499279	true	true
4	26	Surface	1	297075	true	true
4	27	Surface	1	266269	true	true
4	28	Surface	1	276082	true	true
4	29	Surface	1	276182	true	true
4	30	Surface	1	237846	true	true
4	31	Surface	1	286177	true	true
4	32	Surface	1	306495	true	true
4	33	Surface	1	154305	true	true
4	34	Surface	1	391273	true	false
4	35	Surface	1	380091	true	true
4	36	Surface	1	294531	true	true
4	37	Surface	1	226771	true	true
4	38	Surface	1	286793	true	true
4	39	Surface	1	264533	true	true
4	40	Surface	1	278176	true	false
4	41	Surface	1	271960	true	true
4	42	Surface	1	303669	true	true
4	43	Surface	1	237753	true	true
4	44	Surface	1	316525	true	true
4	45	Surface	1	295455	true	true
4	46	Surface	1	37888	true	true
4	47	Surface	1	298608	true	true
4	48	Surface	1	347132	true	true
4	49	Surface	1	93494	true	true
4	50	Surface	1	262950	true	true
4	51	Surface	1	26355	true	true
4	52	Surface	1	27399	true	true
4	53	Surface	1	44735	true	false
4	54	Surface	1	14669	true	true
4	55	Surface	1	79433	true	true
4	56	Surface	1	13144	true	true
