alpha	scope	observed_edges	observed_density	null_replicates	null_mean_edges	null_median_edges	null_q95_edges	null_to_observed_edge_ratio	observed_convergence_warnings	null_convergence_warnings	passes_global_selection_rule	selected_alpha
0.05	Surface	1406	0.4449367089	25	1481.12	1475	1513.4	1.053428165	0	0	false	false
0.05	Deep	1382	0.4373417722	25	1490.28	1492	1527	1.078350217	0	0	false	false
0.05	Rhizosphere	1345	0.4256329114	25	1501.96	1503	1533.6	1.116698885	0	0	false	false
0.05	ALL_COMPARTMENTS	4133		25	4473.36			1.082351803	0	0	false	false
0.075	Surface	1123	0.3553797468	25	967.84	962	1004	0.8618343722	0	0	false	false
0.075	Deep	1090	0.3449367089	25	969.2	973	1005.8	0.8891743119	1	0	false	false
0.075	Rhizosphere	1064	0.3367088608	25	984.68	984	1013.2	0.9254511278	0	0	false	false
0.075	ALL_COMPARTMENTS	3277		25	2921.72			0.8915837656	1	0	false	false
0.1	Surface	938	0.296835443	25	587.48	588	615.8	0.6263113006	1	0	false	false
0.1	Deep	920	0.2911392405	25	585.08	582	614.8	0.6359565217	0	0	false	false
0.1	Rhizosphere	896	0.2835443038	25	600.48	597	634.4	0.6701785714	0	0	false	false
0.1	ALL_COMPARTMENTS	2754		25	1773.04			0.643805374	1	0	false	false
0.125	Surface	795	0.2515822785	25	328.52	327	355.8	0.4132327044	0	0	false	false
0.125	Deep	811	0.2566455696	25	322.24	323	353.8	0.3973366215	0	0	false	false
0.125	Rhizosphere	792	0.2506329114	25	337.12	335	360.6	0.4256565657	0	0	false	false
0.125	ALL_COMPARTMENTS	2398		25	987.88			0.4119599666	0	0	false	false
0.15	Surface	678	0.214556962	25	164.56	163	185.4	0.2427138643	0	0	false	false
0.15	Deep	727	0.2300632911	25	162.24	164	182.6	0.2231636864	0	0	false	false
0.15	Rhizosphere	708	0.2240506329	25	169.52	169	188.4	0.2394350282	0	0	false	false
0.15	ALL_COMPARTMENTS	2113		25	496.32			0.2348887837	0	0	false	false
0.175	Surface	617	0.1952531646	25	76.12	78	91.4	0.1233711507	0	0	false	false
0.175	Deep	650	0.2056962025	25	73.2	71	90	0.1126153846	0	0	false	false
0.175	Rhizosphere	661	0.2091772152	25	78.96	81	87.8	0.1194553707	0	0	false	false
0.175	ALL_COMPARTMENTS	1928		25	228.28			0.1184024896	0	0	false	false
0.2	Surface	560	0.1772151899	25	30.44	31	38	0.05435714286	0	0	false	true
0.2	Deep	579	0.1832278481	25	30.44	30	38.8	0.05257340242	0	0	false	true
0.2	Rhizosphere	614	0.1943037975	25	33.32	32	44.2	0.05426710098	0	0	false	true
0.2	ALL_COMPARTMENTS	1753		25	94.2			0.0537364518	0	0	true	true
0.25	Surface	461	0.1458860759	25	3.76	3	6.8	0.008156182213	0	0	false	false
0.25	Deep	479	0.1515822785	25	3.24	3	7.4	0.006764091858	0	0	false	false
0.25	Rhizosphere	516	0.1632911392	25	4.28	4	6.8	0.008294573643	0	0	false	false
0.25	ALL_COMPARTMENTS	1456		25	11.28			0.007747252747	0	0	true	false
0.3	Surface	352	0.1113924051	25	0.44	0	1.8	0.00125	0	0	false	false
0.3	Deep	380	0.1202531646	25	0.12	0	1	0.0003157894737	0	0	false	false
0.3	Rhizosphere	429	0.1357594937	25	0.36	0	1	0.0008391608392	0	0	false	false
0.3	ALL_COMPARTMENTS	1161		25	0.92			0.0007924203273	0	0	true	false
