requested_taxa	taxa	alpha_multiplier	alpha	compartment	observed_edges	observed_density	null_replicates	null_mean_edges	null_to_observed_edge_ratio
50	50	0.8	0.16	Surface	341	0.2783673469	30	47.36666667	0.1389051808
50	50	0.8	0.16	Deep	346	0.2824489796	30	47.1	0.1361271676
50	50	0.8	0.16	Rhizosphere	321	0.2620408163	30	51.3	0.1598130841
50	50	1	0.2	Surface	300	0.2448979592	30	13.66666667	0.04555555556
50	50	1	0.2	Deep	295	0.2408163265	30	11.33333333	0.0384180791
50	50	1	0.2	Rhizosphere	288	0.2351020408	30	12.56666667	0.04363425926
50	50	1.25	0.25	Surface	241	0.1967346939	30	1.9	0.007883817427
50	50	1.25	0.25	Deep	235	0.1918367347	30	1.4	0.005957446809
50	50	1.25	0.25	Rhizosphere	241	0.1967346939	30	2	0.008298755187
80	80	0.8	0.16	Surface	654	0.2069620253	30	126.3333333	0.1931702345
80	80	0.8	0.16	Deep	697	0.2205696203	30	117.2	0.1681492109
80	80	0.8	0.16	Rhizosphere	695	0.2199367089	30	126.0333333	0.1813429257
80	80	1	0.2	Surface	560	0.1772151899	30	31.36666667	0.05601190476
80	80	1	0.2	Deep	579	0.1832278481	30	31.13333333	0.05377086931
80	80	1	0.2	Rhizosphere	614	0.1943037975	30	31.33333333	0.05103148751
80	80	1.25	0.25	Surface	461	0.1458860759	30	3.966666667	0.008604483008
80	80	1.25	0.25	Deep	479	0.1515822785	30	4.533333333	0.009464161447
80	80	1.25	0.25	Rhizosphere	516	0.1632911392	30	3.633333333	0.007041343669
100	100	0.8	0.16	Surface	920	0.1858585859	30	192.8	0.2095652174
100	100	0.8	0.16	Deep	936	0.1890909091	30	182	0.1944444444
100	100	0.8	0.16	Rhizosphere	983	0.1985858586	30	189.9	0.1931841302
100	100	1	0.2	Surface	775	0.1565656566	30	52.6	0.06787096774
100	100	1	0.2	Deep	811	0.1638383838	30	45.7	0.05635018496
100	100	1	0.2	Rhizosphere	832	0.1680808081	30	47.16666667	0.05669070513
100	100	1.25	0.25	Surface	627	0.1266666667	30	5.9	0.009409888357
100	100	1.25	0.25	Deep	670	0.1353535354	30	5.333333333	0.007960199005
100	100	1.25	0.25	Rhizosphere	684	0.1381818182	30	6	0.008771929825
