compartment	taxon_a	taxon_b	partial_correlation	absolute_partial_correlation	full_data_selected	bootstrap_selection_probability	bootstrap_sign_consistency_with_full	null_selection_probability	stable_edge
Surface	Domibacillus	Massilia	0.2189045467	0.2189045467	true	0.99	1	0.01	true
Surface	Domibacillus	Microvirga	0	0	false	0.5	0	0.01	false
Surface	Domibacillus	Bacillus	0	0	false	0.52	0	0.01	false
Surface	Domibacillus	Flavisolibacter	0.01384063074	0.01384063074	true	0.455	1	0	false
Surface	Domibacillus	Herpetosiphon	-0	0	false	0.12	0.9583333333	0	false
Surface	Domibacillus	Noviherbaspirillum	0	0	false	0.005	1	0.01	false
Surface	Domibacillus	Streptomyces	0	0	false	0.17	0	0	false
Surface	Domibacillus	Paenibacillus	0	0	false	0.1	0	0	false
Surface	Domibacillus	Nocardioides	0.06798675251	0.06798675251	true	0.525	1	0.03	false
Surface	Domibacillus	Rubrobacter	0	0	false	0.015	0.3333333333	0.01	false
Surface	Domibacillus	Lysinibacillus	0.2692545533	0.2692545533	true	1	1	0.01	true
Surface	Domibacillus	Deinococcus	0	0	false	0.005	0	0.01	false
Surface	Domibacillus	Rubellimicrobium	0	0	false	0.005	0	0	false
Surface	Domibacillus	Ammoniphilus	0	0	false	0	0	0	false
Surface	Domibacillus	Geodermatophilus	-0	0	false	0.035	1	0.01	false
Surface	Domibacillus	Ramlibacter	0	0	false	0.005	0	0	false
Surface	Domibacillus	Nibribacter	0.08124488097	0.08124488097	true	0.835	1	0.01	true
Surface	Domibacillus	Ectobacillus	0.02374261741	0.02374261741	true	0.54	1	0.03	false
Surface	Domibacillus	Neobacillus	0.02223767387	0.02223767387	true	0.58	1	0.02	false
Surface	Domibacillus	Planococcus	0	0	false	0.31	0	0	false
Surface	Domibacillus	Acidiferrimicrobium	-0	0	false	0.05	1	0.02	false
Surface	Domibacillus	Adhaeribacter	0	0	false	0.215	0	0	false
Surface	Domibacillus	Bradyrhizobium	0	0	false	0.055	0	0.01	false
Surface	Domibacillus	Solirubrobacter	-0	0	false	0.065	1	0	false
Surface	Domibacillus	Metabacillus	0.04471080562	0.04471080562	true	0.605	1	0	false
Surface	Domibacillus	Ellin6055	-0	0	false	0.045	1	0.03	false
Surface	Domibacillus	Symbiobacterium	0	0	false	0.01	0.5	0	false
Surface	Domibacillus	Halomonas	-0	0	false	0.04	1	0.01	false
Surface	Domibacillus	Sphingoaurantiacus	-0	0	false	0.01	0.5	0.03	false
Surface	Domibacillus	Arthrobacter	0.08913578558	0.08913578558	true	0.855	1	0.01	true
Surface	Domibacillus	Pontibacter	-0	0	false	0.135	1	0	false
Surface	Domibacillus	Blastococcus	-0	0	false	0	0	0.01	false
Surface	Domibacillus	Tumebacillus	-0	0	false	0	0	0	false
Surface	Domibacillus	Roseomonas	-0	0	false	0.015	0.3333333333	0.02	false
Surface	Domibacillus	Nitrolancea	0	0	false	0	0	0.02	false
Surface	Domibacillus	CSP1-2	0	0	false	0	0	0.02	false
Surface	Domibacillus	Chthoniobacter	-0	0	false	0	0	0	false
Surface	Domibacillus	Pseudomonas	0	0	false	0.215	0	0	false
Surface	Domibacillus	Lysobacter	-0	0	false	0.015	1	0	false
Surface	Domibacillus	Cytophaga	-0	0	false	0	0	0.01	false
Surface	Domibacillus	Pseudonocardia	-0.03976363604	0.03976363604	true	0.595	1	0	false
Surface	Domibacillus	Archangium	0	0	false	0.09	0	0.01	false
Surface	Domibacillus	Cellulomonas	-0	0	false	0.01	1	0	false
Surface	Domibacillus	Segetibacter	0	0	false	0.125	0	0.03	false
Surface	Domibacillus	Pirellula	-0	0	false	0.02	1	0.01	false
Surface	Domibacillus	Actinomadura	-0	0	false	0	0	0.01	false
Surface	Domibacillus	Saccharopolyspora	-0	0	false	0.02	1	0.02	false
Surface	Domibacillus	Gemmatimonas	-0	0	false	0.165	1	0.02	false
Surface	Domibacillus	Oxalophagus	0	0	false	0	0	0.01	false
Surface	Domibacillus	Devosia	-0	0	false	0.025	1	0.02	false
Surface	Domibacillus	Phenylobacterium	-0	0	false	0.03	1	0.01	false
Surface	Domibacillus	Steroidobacter	-0	0	false	0.29	1	0.02	false
Surface	Domibacillus	Gaiella	-0	0	false	0.095	1	0	false
Surface	Domibacillus	Halalkalibacter	-0	0	false	0.045	1	0	false
Surface	Domibacillus	Chelativorans	-0	0	false	0.065	1	0.01	false
Surface	Domibacillus	Cnuella	0	0	false	0	0	0.01	false
Surface	Domibacillus	Roseisolibacter	-0	0	false	0.105	1	0	false
Surface	Domibacillus	Prauserella	-0	0	false	0	0	0.03	false
Surface	Domibacillus	Azospirillum	-0	0	false	0	0	0.01	false
Surface	Domibacillus	Vallicoccus	-0	0	false	0.005	1	0	false
Surface	Domibacillus	Verrucosispora	-0.01486094586	0.01486094586	true	0.445	1	0	false
Surface	Domibacillus	Telluribacter	0	0	false	0.04	0	0.01	false
Surface	Domibacillus	Sphingomonas	-0	0	false	0.07	1	0	false
Surface	Domibacillus	Brucella	-0	0	false	0.015	1	0.02	false
Surface	Domibacillus	Mycobacterium	-0	0	false	0.11	1	0.01	false
Surface	Domibacillus	Daejeonella	0	0	false	0.005	0	0.03	false
Surface	Domibacillus	Croceibacterium	-0	0	false	0	0	0	false
Surface	Domibacillus	MND1	-0	0	false	0.005	1	0.01	false
Surface	Domibacillus	Marmoricola	-0.04601137627	0.04601137627	true	0.73	1	0.01	false
Surface	Domibacillus	Opitutus	-0.04204337359	0.04204337359	true	0.745	1	0.02	false
Surface	Domibacillus	DSSF69	-0	0	false	0.025	1	0.01	false
Surface	Domibacillus	Kallotenue	-0	0	false	0.14	1	0	false
Surface	Domibacillus	Limnobacter	-0	0	false	0.365	1	0.01	false
Surface	Domibacillus	Subgroup 10	-0	0	false	0.04	1	0	false
Surface	Domibacillus	Bryobacter	-0	0	false	0.19	1	0	false
Surface	Domibacillus	Pedomicrobium	-0.04809349413	0.04809349413	true	0.745	1	0	false
Surface	Domibacillus	Terribacillus	0	0	false	0	0	0.02	false
Surface	Domibacillus	Novosphingobium	0	0	false	0	0	0.02	false
Surface	Domibacillus	Nitrospira	-0	0	false	0	0	0.03	false
Surface	Massilia	Microvirga	-0	0	false	0.075	0.9333333333	0.01	false
Surface	Massilia	Bacillus	-0.006992084253	0.006992084253	true	0.415	1	0.01	false
Surface	Massilia	Flavisolibacter	0.09205945527	0.09205945527	true	0.695	1	0.03	false
Surface	Massilia	Herpetosiphon	-0	0	false	0.16	1	0	false
Surface	Massilia	Noviherbaspirillum	0.009981702544	0.009981702544	true	0.54	1	0	false
Surface	Massilia	Streptomyces	-0	0	false	0.01	0.5	0.01	false
Surface	Massilia	Paenibacillus	0	0	false	0.06	0	0.01	false
Surface	Massilia	Nocardioides	0	0	false	0.31	0	0	false
Surface	Massilia	Rubrobacter	0	0	false	0.035	0	0.02	false
Surface	Massilia	Lysinibacillus	0	0	false	0	0	0.01	false
Surface	Massilia	Deinococcus	0.07977476759	0.07977476759	true	0.78	1	0	false
Surface	Massilia	Rubellimicrobium	-0	0	false	0.015	0.6666666667	0	false
Surface	Massilia	Ammoniphilus	-0	0	false	0.025	1	0	false
Surface	Massilia	Geodermatophilus	-0	0	false	0.07	1	0.01	false
Surface	Massilia	Ramlibacter	0	0	false	0.215	0	0.01	false
Surface	Massilia	Nibribacter	0.2165291777	0.2165291777	true	1	1	0.01	true
Surface	Massilia	Ectobacillus	0	0	false	0.015	0	0.03	false
Surface	Massilia	Neobacillus	0	0	false	0.025	0	0	false
Surface	Massilia	Planococcus	0	0	false	0.005	0	0.02	false
Surface	Massilia	Acidiferrimicrobium	-0	0	false	0.125	1	0.02	false
Surface	Massilia	Adhaeribacter	0.02175959667	0.02175959667	true	0.58	1	0	false
Surface	Massilia	Bradyrhizobium	-0	0	false	0.035	0.8571428571	0.01	false
Surface	Massilia	Solirubrobacter	-0.001617809477	0.001617809477	true	0.41	1	0.01	false
Surface	Massilia	Metabacillus	-0	0	false	0.01	1	0.01	false
Surface	Massilia	Ellin6055	0	0	false	0	0	0.01	false
Surface	Massilia	Symbiobacterium	-0	0	false	0.035	1	0.03	false
Surface	Massilia	Halomonas	-0	0	false	0.015	1	0	false
Surface	Massilia	Sphingoaurantiacus	0	0	false	0.07	0	0	false
Surface	Massilia	Arthrobacter	0	0	false	0.195	0	0.01	false
Surface	Massilia	Pontibacter	-0	0	false	0.005	1	0.02	false
Surface	Massilia	Blastococcus	0	0	false	0.04	0.125	0.01	false
Surface	Massilia	Tumebacillus	-0	0	false	0.05	1	0	false
Surface	Massilia	Roseomonas	0	0	false	0.015	0	0	false
Surface	Massilia	Nitrolancea	0	0	false	0.02	0	0.01	false
Surface	Massilia	CSP1-2	0	0	false	0.045	0	0.01	false
Surface	Massilia	Chthoniobacter	-0	0	false	0.08	1	0.01	false
Surface	Massilia	Pseudomonas	0	0	false	0.19	0	0	false
Surface	Massilia	Lysobacter	0.1960903493	0.1960903493	true	0.97	1	0.01	true
Surface	Massilia	Cytophaga	0	0	false	0	0	0.01	false
Surface	Massilia	Pseudonocardia	-0	0	false	0.105	1	0	false
Surface	Massilia	Archangium	-0	0	false	0.01	1	0	false
Surface	Massilia	Cellulomonas	-0	0	false	0.065	1	0.01	false
Surface	Massilia	Segetibacter	0	0	false	0.245	0	0	false
Surface	Massilia	Pirellula	-0	0	false	0.005	1	0.01	false
Surface	Massilia	Actinomadura	0	0	false	0	0	0.01	false
Surface	Massilia	Saccharopolyspora	0	0	false	0.02	0.25	0.02	false
Surface	Massilia	Gemmatimonas	-0	0	false	0.295	1	0	false
Surface	Massilia	Oxalophagus	0	0	false	0	0	0.02	false
Surface	Massilia	Devosia	0	0	false	0	0	0	false
Surface	Massilia	Phenylobacterium	0	0	false	0.195	0	0.02	false
Surface	Massilia	Steroidobacter	-0	0	false	0.215	1	0	false
Surface	Massilia	Gaiella	-0	0	false	0.125	1	0.03	false
Surface	Massilia	Halalkalibacter	-0	0	false	0.255	1	0	false
Surface	Massilia	Chelativorans	-0	0	false	0.225	1	0.02	false
Surface	Massilia	Cnuella	0	0	false	0.02	0	0.02	false
Surface	Massilia	Roseisolibacter	-0	0	false	0	0	0.03	false
Surface	Massilia	Prauserella	0	0	false	0.03	0	0.02	false
Surface	Massilia	Azospirillum	0	0	false	0.005	0	0	false
Surface	Massilia	Vallicoccus	-0	0	false	0.045	1	0.01	false
Surface	Massilia	Verrucosispora	-0	0	false	0.055	1	0	false
Surface	Massilia	Telluribacter	0	0	false	0.245	0	0.04	false
Surface	Massilia	Sphingomonas	-0	0	false	0	0	0	false
Surface	Massilia	Brucella	-0	0	false	0.31	1	0.01	false
Surface	Massilia	Mycobacterium	-0.038634166	0.038634166	true	0.495	1	0	false
Surface	Massilia	Daejeonella	0	0	false	0.06	0	0	false
Surface	Massilia	Croceibacterium	-0	0	false	0.215	1	0.02	false
Surface	Massilia	MND1	-0	0	false	0.085	1	0.02	false
Surface	Massilia	Marmoricola	-0	0	false	0.01	1	0.04	false
Surface	Massilia	Opitutus	-0	0	false	0.075	1	0	false
Surface	Massilia	DSSF69	-0	0	false	0	0	0.02	false
Surface	Massilia	Kallotenue	-0.0106714089	0.0106714089	true	0.505	1	0.01	false
Surface	Massilia	Limnobacter	-0	0	false	0.04	1	0.02	false
Surface	Massilia	Subgroup 10	-0	0	false	0.015	1	0.01	false
Surface	Massilia	Bryobacter	-0	0	false	0.21	1	0	false
Surface	Massilia	Pedomicrobium	-0.003755047402	0.003755047402	true	0.365	1	0.01	false
Surface	Massilia	Terribacillus	-0	0	false	0.045	1	0.01	false
Surface	Massilia	Novosphingobium	0	0	false	0	0	0.03	false
Surface	Massilia	Nitrospira	-0	0	false	0.095	1	0	false
Surface	Microvirga	Bacillus	0.1073441407	0.1073441407	true	0.755	1	0.02	false
Surface	Microvirga	Flavisolibacter	0	0	false	0.2	0	0.03	false
Surface	Microvirga	Herpetosiphon	-0.07114009125	0.07114009125	true	0.625	1	0	false
Surface	Microvirga	Noviherbaspirillum	0.1275158396	0.1275158396	true	0.72	1	0.03	false
Surface	Microvirga	Streptomyces	0	0	false	0	0	0	false
Surface	Microvirga	Paenibacillus	0	0	false	0.225	0.06666666667	0.02	false
Surface	Microvirga	Nocardioides	0.04013385474	0.04013385474	true	0.575	1	0	false
Surface	Microvirga	Rubrobacter	-0	0	false	0.065	1	0.02	false
Surface	Microvirga	Lysinibacillus	-0	0	false	0.025	1	0.02	false
Surface	Microvirga	Deinococcus	0	0	false	0.025	0	0.02	false
Surface	Microvirga	Rubellimicrobium	0.0666082029	0.0666082029	true	0.685	1	0	false
Surface	Microvirga	Ammoniphilus	-0	0	false	0.31	1	0.03	false
Surface	Microvirga	Geodermatophilus	0	0	false	0.38	0	0.01	false
Surface	Microvirga	Ramlibacter	0	0	false	0	0	0.01	false
Surface	Microvirga	Nibribacter	-0	0	false	0.01	1	0.01	false
Surface	Microvirga	Ectobacillus	-0	0	false	0.3	1	0	false
Surface	Microvirga	Neobacillus	0	0	false	0.305	0	0.01	false
Surface	Microvirga	Planococcus	0.0865267401	0.0865267401	true	0.78	1	0.02	false
Surface	Microvirga	Acidiferrimicrobium	-0.001337540965	0.001337540965	true	0.39	1	0.02	false
Surface	Microvirga	Adhaeribacter	0	0	false	0.01	0.5	0.01	false
Surface	Microvirga	Bradyrhizobium	-0	0	false	0.175	0.9714285714	0.01	false
Surface	Microvirga	Solirubrobacter	0	0	false	0.005	0	0.01	false
Surface	Microvirga	Metabacillus	0	0	false	0.08	0	0	false
Surface	Microvirga	Ellin6055	0	0	false	0.055	0	0	false
Surface	Microvirga	Symbiobacterium	-0	0	false	0	0	0.01	false
Surface	Microvirga	Halomonas	0	0	false	0.08	0	0.01	false
Surface	Microvirga	Sphingoaurantiacus	0	0	false	0.26	0	0	false
Surface	Microvirga	Arthrobacter	0	0	false	0.01	0	0.01	false
Surface	Microvirga	Pontibacter	-0	0	false	0.08	0.8125	0	false
Surface	Microvirga	Blastococcus	0.01856984584	0.01856984584	true	0.57	1	0.01	false
Surface	Microvirga	Tumebacillus	0	0	false	0.225	0	0.02	false
Surface	Microvirga	Roseomonas	0	0	false	0.11	0	0.01	false
Surface	Microvirga	Nitrolancea	-0	0	false	0.465	1	0.02	false
Surface	Microvirga	CSP1-2	-0.08658769065	0.08658769065	true	0.93	1	0.04	true
Surface	Microvirga	Chthoniobacter	0	0	false	0.015	0	0	false
Surface	Microvirga	Pseudomonas	0	0	false	0.045	0	0	false
Surface	Microvirga	Lysobacter	-0	0	false	0.345	1	0.04	false
Surface	Microvirga	Cytophaga	-0	0	false	0.01	1	0.02	false
Surface	Microvirga	Pseudonocardia	-0	0	false	0	0	0	false
Surface	Microvirga	Archangium	0	0	false	0.38	0	0.01	false
Surface	Microvirga	Cellulomonas	0	0	false	0.305	0	0	false
Surface	Microvirga	Segetibacter	0	0	false	0.065	0	0.01	false
Surface	Microvirga	Pirellula	-0	0	false	0	0	0.03	false
Surface	Microvirga	Actinomadura	-0.1108725224	0.1108725224	true	0.99	1	0	true
Surface	Microvirga	Saccharopolyspora	-0.07128538101	0.07128538101	true	0.945	1	0.01	true
Surface	Microvirga	Gemmatimonas	0	0	false	0.005	0	0	false
Surface	Microvirga	Oxalophagus	-0.06429959793	0.06429959793	true	0.8	1	0.01	true
Surface	Microvirga	Devosia	-0	0	false	0.015	0.3333333333	0	false
Surface	Microvirga	Phenylobacterium	0	0	false	0.03	0	0.02	false
Surface	Microvirga	Steroidobacter	-0	0	false	0	0	0	false
Surface	Microvirga	Gaiella	-0.01508896111	0.01508896111	true	0.45	1	0.02	false
Surface	Microvirga	Halalkalibacter	-0	0	false	0.025	1	0.03	false
Surface	Microvirga	Chelativorans	-0	0	false	0.225	1	0	false
Surface	Microvirga	Cnuella	-0	0	false	0.005	1	0	false
Surface	Microvirga	Roseisolibacter	0	0	false	0.015	0	0.01	false
Surface	Microvirga	Prauserella	-0	0	false	0.235	1	0	false
Surface	Microvirga	Azospirillum	0	0	false	0.13	0	0.02	false
Surface	Microvirga	Vallicoccus	0.004100842332	0.004100842332	true	0.365	1	0.01	false
Surface	Microvirga	Verrucosispora	-0.05659454082	0.05659454082	true	0.76	1	0.01	false
Surface	Microvirga	Telluribacter	-0	0	false	0	0	0.01	false
Surface	Microvirga	Sphingomonas	0.08845528372	0.08845528372	true	0.88	1	0	true
Surface	Microvirga	Brucella	-0	0	false	0.115	1	0.01	false
Surface	Microvirga	Mycobacterium	0	0	false	0	0	0.01	false
Surface	Microvirga	Daejeonella	-0.06284090081	0.06284090081	true	0.74	1	0.01	false
Surface	Microvirga	Croceibacterium	0	0	false	0.005	0	0.01	false
Surface	Microvirga	MND1	-0	0	false	0.23	1	0.01	false
Surface	Microvirga	Marmoricola	0	0	false	0.025	0	0	false
Surface	Microvirga	Opitutus	-0.01246281468	0.01246281468	true	0.43	1	0.02	false
Surface	Microvirga	DSSF69	-0	0	false	0.035	1	0.02	false
Surface	Microvirga	Kallotenue	0	0	false	0.005	0	0	false
Surface	Microvirga	Limnobacter	0	0	false	0.01	0	0	false
Surface	Microvirga	Subgroup 10	-0	0	false	0.075	1	0.02	false
Surface	Microvirga	Bryobacter	0	0	false	0	0	0.01	false
Surface	Microvirga	Pedomicrobium	-0	0	false	0.035	1	0.02	false
Surface	Microvirga	Terribacillus	0	0	false	0	0	0.02	false
Surface	Microvirga	Novosphingobium	-0	0	false	0	0	0.01	false
Surface	Microvirga	Nitrospira	-0	0	false	0.085	1	0.01	false
Surface	Bacillus	Flavisolibacter	-0	0	false	0.225	1	0	false
Surface	Bacillus	Herpetosiphon	0	0	false	0.055	0.2727272727	0.01	false
Surface	Bacillus	Noviherbaspirillum	-0	0	false	0.085	0.9411764706	0	false
Surface	Bacillus	Streptomyces	0	0	false	0.045	0	0	false
Surface	Bacillus	Paenibacillus	0.1254191798	0.1254191798	true	0.845	1	0.02	true
Surface	Bacillus	Nocardioides	0	0	false	0.03	0.1666666667	0.03	false
Surface	Bacillus	Rubrobacter	0	0	false	0.345	0	0.01	false
Surface	Bacillus	Lysinibacillus	0	0	false	0.295	0	0.03	false
Surface	Bacillus	Deinococcus	-0	0	false	0.24	1	0	false
Surface	Bacillus	Rubellimicrobium	-0	0	false	0.06	1	0	false
Surface	Bacillus	Ammoniphilus	0.1694068622	0.1694068622	true	0.98	1	0.01	true
Surface	Bacillus	Geodermatophilus	0	0	false	0.145	0	0.01	false
Surface	Bacillus	Ramlibacter	-0	0	false	0.005	1	0.01	false
Surface	Bacillus	Nibribacter	-0.002154365535	0.002154365535	true	0.245	1	0.01	false
Surface	Bacillus	Ectobacillus	0.093374255	0.093374255	true	0.765	1	0	false
Surface	Bacillus	Neobacillus	0.05739198584	0.05739198584	true	0.59	1	0.01	false
Surface	Bacillus	Planococcus	0	0	false	0.005	0	0.01	false
Surface	Bacillus	Acidiferrimicrobium	-0	0	false	0.08	1	0	false
Surface	Bacillus	Adhaeribacter	0	0	false	0.07	0.1428571429	0.02	false
Surface	Bacillus	Bradyrhizobium	0	0	false	0.35	0	0.01	false
Surface	Bacillus	Solirubrobacter	0	0	false	0.02	0	0	false
Surface	Bacillus	Metabacillus	0.1873189426	0.1873189426	true	0.97	1	0	true
Surface	Bacillus	Ellin6055	-0.132214261	0.132214261	true	0.87	1	0.01	true
Surface	Bacillus	Symbiobacterium	0	0	false	0.185	0	0.01	false
Surface	Bacillus	Halomonas	0.03978587363	0.03978587363	true	0.585	1	0	false
Surface	Bacillus	Sphingoaurantiacus	-0	0	false	0.35	1	0.01	false
Surface	Bacillus	Arthrobacter	-0	0	false	0.2	1	0.03	false
Surface	Bacillus	Pontibacter	0	0	false	0.295	0	0	false
Surface	Bacillus	Blastococcus	0	0	false	0.01	0.5	0.01	false
Surface	Bacillus	Tumebacillus	0.03187608461	0.03187608461	true	0.45	1	0	false
Surface	Bacillus	Roseomonas	-0	0	false	0.255	1	0	false
Surface	Bacillus	Nitrolancea	-0	0	false	0	0	0.02	false
Surface	Bacillus	CSP1-2	-0	0	false	0	0	0.01	false
Surface	Bacillus	Chthoniobacter	-0	0	false	0.315	1	0	false
Surface	Bacillus	Pseudomonas	0	0	false	0.015	0	0.02	false
Surface	Bacillus	Lysobacter	-0.04104699791	0.04104699791	true	0.54	1	0	false
Surface	Bacillus	Cytophaga	-0	0	false	0	0	0.02	false
Surface	Bacillus	Pseudonocardia	-0	0	false	0.09	1	0	false
Surface	Bacillus	Archangium	0	0	false	0.01	0	0.01	false
Surface	Bacillus	Cellulomonas	-0	0	false	0.035	1	0.01	false
Surface	Bacillus	Segetibacter	-0	0	false	0.085	1	0.02	false
Surface	Bacillus	Pirellula	-0	0	false	0.09	1	0.01	false
Surface	Bacillus	Actinomadura	-0	0	false	0	0	0	false
Surface	Bacillus	Saccharopolyspora	-0	0	false	0.01	1	0.03	false
Surface	Bacillus	Gemmatimonas	-0	0	false	0.315	1	0.02	false
Surface	Bacillus	Oxalophagus	0	0	false	0	0	0.02	false
Surface	Bacillus	Devosia	-0	0	false	0.09	1	0.03	false
Surface	Bacillus	Phenylobacterium	-0	0	false	0.075	1	0.02	false
Surface	Bacillus	Steroidobacter	-0	0	false	0.005	1	0.01	false
Surface	Bacillus	Gaiella	-0	0	false	0.055	1	0	false
Surface	Bacillus	Halalkalibacter	0	0	false	0.035	0	0	false
Surface	Bacillus	Chelativorans	-0	0	false	0	0	0	false
Surface	Bacillus	Cnuella	-0.0239296271	0.0239296271	true	0.495	1	0	false
Surface	Bacillus	Roseisolibacter	-0	0	false	0.045	1	0.02	false
Surface	Bacillus	Prauserella	0	0	false	0	0	0	false
Surface	Bacillus	Azospirillum	-0	0	false	0.04	1	0.01	false
Surface	Bacillus	Vallicoccus	-0	0	false	0	0	0.02	false
Surface	Bacillus	Verrucosispora	0	0	false	0	0	0.01	false
Surface	Bacillus	Telluribacter	-0	0	false	0.005	1	0	false
Surface	Bacillus	Sphingomonas	-0	0	false	0.015	1	0.01	false
Surface	Bacillus	Brucella	0	0	false	0.045	0	0.02	false
Surface	Bacillus	Mycobacterium	-0	0	false	0	0	0.01	false
Surface	Bacillus	Daejeonella	-0	0	false	0.06	1	0.01	false
Surface	Bacillus	Croceibacterium	-0	0	false	0	0	0.02	false
Surface	Bacillus	MND1	0	0	false	0.075	0	0.01	false
Surface	Bacillus	Marmoricola	-0	0	false	0.11	1	0	false
Surface	Bacillus	Opitutus	-0	0	false	0.145	1	0.05	false
Surface	Bacillus	DSSF69	-0	0	false	0	0	0.02	false
Surface	Bacillus	Kallotenue	-0	0	false	0.01	1	0	false
Surface	Bacillus	Limnobacter	-0	0	false	0.09	1	0.01	false
Surface	Bacillus	Subgroup 10	0	0	false	0.005	1	0	false
Surface	Bacillus	Bryobacter	-0	0	false	0.005	1	0.01	false
Surface	Bacillus	Pedomicrobium	-0	0	false	0.02	1	0	false
Surface	Bacillus	Terribacillus	-0	0	false	0.005	0	0	false
Surface	Bacillus	Novosphingobium	-0.006046794578	0.006046794578	true	0.28	1	0.01	false
Surface	Bacillus	Nitrospira	-0	0	false	0	0	0.02	false
Surface	Flavisolibacter	Herpetosiphon	0	0	false	0.085	0	0.01	false
Surface	Flavisolibacter	Noviherbaspirillum	0.09467884447	0.09467884447	true	0.72	1	0.01	false
Surface	Flavisolibacter	Streptomyces	0	0	false	0.285	0	0.03	false
Surface	Flavisolibacter	Paenibacillus	-0	0	false	0.015	1	0	false
Surface	Flavisolibacter	Nocardioides	0.06765772297	0.06765772297	true	0.57	1	0.01	false
Surface	Flavisolibacter	Rubrobacter	0.0340934418	0.0340934418	true	0.535	1	0.04	false
Surface	Flavisolibacter	Lysinibacillus	0	0	false	0.03	0.6666666667	0.02	false
Surface	Flavisolibacter	Deinococcus	0.00213788797	0.00213788797	true	0.605	1	0	false
Surface	Flavisolibacter	Rubellimicrobium	0.05153245096	0.05153245096	true	0.65	1	0.02	false
Surface	Flavisolibacter	Ammoniphilus	-0.06088129184	0.06088129184	true	0.745	1	0.01	false
Surface	Flavisolibacter	Geodermatophilus	0.07011431546	0.07011431546	true	0.62	1	0	false
Surface	Flavisolibacter	Ramlibacter	0.0002747878673	0.0002747878673	false	0.51	1	0.01	false
Surface	Flavisolibacter	Nibribacter	0	0	false	0.01	0	0	false
Surface	Flavisolibacter	Ectobacillus	0	0	false	0.175	0	0.01	false
Surface	Flavisolibacter	Neobacillus	-0	0	false	0.04	1	0	false
Surface	Flavisolibacter	Planococcus	-0	0	false	0.025	0.8	0	false
Surface	Flavisolibacter	Acidiferrimicrobium	-0	0	false	0.055	1	0.02	false
Surface	Flavisolibacter	Adhaeribacter	0	0	false	0.115	0.04347826087	0.01	false
Surface	Flavisolibacter	Bradyrhizobium	-0	0	false	0.1	1	0.02	false
Surface	Flavisolibacter	Solirubrobacter	0	0	false	0.1	0	0	false
Surface	Flavisolibacter	Metabacillus	-0	0	false	0	0	0.01	false
Surface	Flavisolibacter	Ellin6055	0	0	false	0.24	0	0.01	false
Surface	Flavisolibacter	Symbiobacterium	0	0	false	0.225	0	0	false
Surface	Flavisolibacter	Halomonas	-0.1301972942	0.1301972942	true	0.96	1	0	true
Surface	Flavisolibacter	Sphingoaurantiacus	0.08917350891	0.08917350891	true	0.71	1	0	false
Surface	Flavisolibacter	Arthrobacter	0	0	false	0.005	1	0.01	false
Surface	Flavisolibacter	Pontibacter	-0.007937167951	0.007937167951	true	0.33	1	0.01	false
Surface	Flavisolibacter	Blastococcus	-0	0	false	0.005	1	0.01	false
Surface	Flavisolibacter	Tumebacillus	-0	0	false	0.235	1	0.02	false
Surface	Flavisolibacter	Roseomonas	0	0	false	0.02	0.25	0.01	false
Surface	Flavisolibacter	Nitrolancea	0	0	false	0.01	0	0.01	false
Surface	Flavisolibacter	CSP1-2	0	0	false	0	0	0	false
Surface	Flavisolibacter	Chthoniobacter	-0	0	false	0.015	1	0.01	false
Surface	Flavisolibacter	Pseudomonas	-0	0	false	0.25	1	0.04	false
Surface	Flavisolibacter	Lysobacter	0	0	false	0.095	0	0.01	false
Surface	Flavisolibacter	Cytophaga	0	0	false	0.4	0	0.01	false
Surface	Flavisolibacter	Pseudonocardia	0	0	false	0.11	0	0	false
Surface	Flavisolibacter	Archangium	0.01672111777	0.01672111777	true	0.44	1	0	false
Surface	Flavisolibacter	Cellulomonas	0	0	false	0.175	0	0.01	false
Surface	Flavisolibacter	Segetibacter	0.1961241663	0.1961241663	true	0.96	1	0.03	true
Surface	Flavisolibacter	Pirellula	0	0	false	0	0	0	false
Surface	Flavisolibacter	Actinomadura	-0	0	false	0	0	0.01	false
Surface	Flavisolibacter	Saccharopolyspora	0	0	false	0	0	0.03	false
Surface	Flavisolibacter	Gemmatimonas	0	0	false	0	0	0.02	false
Surface	Flavisolibacter	Oxalophagus	0	0	false	0.005	0	0.01	false
Surface	Flavisolibacter	Devosia	-0	0	false	0.315	1	0	false
Surface	Flavisolibacter	Phenylobacterium	-0	0	false	0.125	1	0.02	false
Surface	Flavisolibacter	Steroidobacter	0	0	false	0.035	0	0	false
Surface	Flavisolibacter	Gaiella	0	0	false	0	0	0.01	false
Surface	Flavisolibacter	Halalkalibacter	-0.06720545975	0.06720545975	true	0.74	1	0.03	false
Surface	Flavisolibacter	Chelativorans	-0	0	false	0.075	1	0.01	false
Surface	Flavisolibacter	Cnuella	0.169954304	0.169954304	true	0.965	1	0.02	true
Surface	Flavisolibacter	Roseisolibacter	0.08405611351	0.08405611351	true	0.82	1	0.01	true
Surface	Flavisolibacter	Prauserella	-0	0	false	0.005	1	0.01	false
Surface	Flavisolibacter	Azospirillum	-0	0	false	0.08	1	0	false
Surface	Flavisolibacter	Vallicoccus	0	0	false	0.045	0	0	false
Surface	Flavisolibacter	Verrucosispora	-0	0	false	0.015	1	0.01	false
