bootstrap_replicate	compartment	drawn_site_clusters	bootstrap_observations	edge_count	density	positive_fraction	median_absolute_partial_correlation	convergence_warnings
0	Surface	60	164	613	0.1939873418	0.5057096248	0.04852696785	0
0	Deep	60	164	583	0.1844936709	0.5145797599	0.05371556695	0
0	Rhizosphere	60	164	636	0.2012658228	0.4952830189	0.05164525697	0
1	Surface	60	168	595	0.1882911392	0.4890756303	0.04852893436	0
1	Deep	60	168	633	0.2003164557	0.5244865719	0.04872427641	0
1	Rhizosphere	60	168	584	0.1848101266	0.5342465753	0.05396999026	0
2	Surface	60	168	594	0.1879746835	0.4814814815	0.04389960154	0
2	Deep	60	168	608	0.1924050633	0.5197368421	0.04977984087	0
2	Rhizosphere	60	168	606	0.1917721519	0.5165016502	0.05171554009	0
3	Surface	60	173	598	0.1892405063	0.5033444816	0.04907277165	0
3	Deep	60	173	597	0.1889240506	0.5192629816	0.05172466448	0
3	Rhizosphere	60	173	617	0.1952531646	0.5137763371	0.04951956141	0
4	Surface	60	173	573	0.1813291139	0.5148342059	0.0526156165	0
4	Deep	60	173	620	0.1962025316	0.5193548387	0.05222540096	0
4	Rhizosphere	60	173	576	0.182278481	0.5138888889	0.05379270721	0
5	Surface	60	162	586	0.185443038	0.4863481229	0.04800468496	0
5	Deep	60	162	601	0.1901898734	0.5024958403	0.05045898551	0
5	Rhizosphere	60	162	633	0.2003164557	0.5244865719	0.04539018786	0
6	Surface	60	173	578	0.1829113924	0.4965397924	0.05138659426	0
6	Deep	60	173	620	0.1962025316	0.5	0.05007665877	0
6	Rhizosphere	60	173	630	0.1993670886	0.5031746032	0.045469233	0
7	Surface	60	168	616	0.1949367089	0.4935064935	0.04923683499	0
7	Deep	60	168	610	0.1930379747	0.5196721311	0.05575571736	0
7	Rhizosphere	60	168	610	0.1930379747	0.5049180328	0.0512399759	0
8	Surface	60	180	578	0.1829113924	0.5138408304	0.04877312681	0
8	Deep	60	180	551	0.1743670886	0.5372050817	0.05243041619	0
8	Rhizosphere	60	180	600	0.1898734177	0.485	0.04902059825	0
9	Surface	60	159	610	0.1930379747	0.4672131148	0.04977242291	0
9	Deep	60	159	617	0.1952531646	0.5170178282	0.04692400398	0
9	Rhizosphere	60	159	611	0.1933544304	0.5057283142	0.05040893757	0
10	Surface	60	169	586	0.185443038	0.4948805461	0.04718849686	0
10	Deep	60	169	608	0.1924050633	0.5016447368	0.05236971984	0
10	Rhizosphere	60	169	582	0.1841772152	0.5	0.05322488021	0
11	Surface	60	164	650	0.2056962025	0.4892307692	0.04795124457	0
11	Deep	60	164	613	0.1939873418	0.5187601958	0.05447488152	0
11	Rhizosphere	60	164	633	0.2003164557	0.5150078989	0.04968626324	0
12	Surface	60	166	611	0.1933544304	0.5122749591	0.04973600629	0
12	Deep	60	166	624	0.1974683544	0.5128205128	0.04974147882	0
12	Rhizosphere	60	166	624	0.1974683544	0.4967948718	0.05508056362	0
13	Surface	60	164	610	0.1930379747	0.5114754098	0.04791257164	0
13	Deep	60	164	611	0.1933544304	0.5204582651	0.05319597332	0
13	Rhizosphere	60	164	661	0.2091772152	0.4916792738	0.04921270546	0
14	Surface	60	170	608	0.1924050633	0.5049342105	0.04988232239	0
14	Deep	60	170	587	0.1857594937	0.5144804089	0.04872230341	0
14	Rhizosphere	60	170	626	0.1981012658	0.5095846645	0.05224377961	0
15	Surface	60	158	609	0.192721519	0.4827586207	0.04820183609	0
15	Deep	60	158	618	0.1955696203	0.5064724919	0.04885691772	0
15	Rhizosphere	60	158	631	0.1996835443	0.5071315372	0.05121583101	0
16	Surface	60	168	592	0.1873417722	0.4915540541	0.05048483747	0
16	Deep	60	168	609	0.192721519	0.5123152709	0.05320722171	0
16	Rhizosphere	60	168	611	0.1933544304	0.5204582651	0.05429437643	0
17	Surface	60	169	598	0.1892405063	0.5033444816	0.04989209066	0
17	Deep	60	169	606	0.1917721519	0.5148514851	0.05485344883	0
17	Rhizosphere	60	169	593	0.1876582278	0.5278246206	0.05309522928	0
18	Surface	60	175	620	0.1962025316	0.4935483871	0.05030249414	0
18	Deep	60	175	622	0.196835443	0.5144694534	0.0506385899	0
18	Rhizosphere	60	175	629	0.1990506329	0.5007949126	0.05081805003	0
19	Surface	60	175	593	0.1876582278	0.5126475548	0.05133765836	0
19	Deep	60	175	594	0.1879746835	0.5286195286	0.0508850463	0
19	Rhizosphere	60	175	579	0.1832278481	0.5233160622	0.0532606512	0
20	Surface	60	166	599	0.189556962	0.4941569282	0.05129742525	0
20	Deep	60	166	591	0.1870253165	0.5177664975	0.05524354123	0
20	Rhizosphere	60	166	630	0.1993670886	0.5174603175	0.05081017912	0
