model	term	estimate	std_error	z	p	ci_low	ci_high
additive_unadjusted	Intercept	5.598664508	0.1130320562	49.53165231	0	5.377125749	5.820203267
additive_unadjusted	C(Trip)[T.2]	-0.4904544189	0.2289275278	-2.142400364	0.03216127864	-0.9391441286	-0.0417647093
additive_unadjusted	C(Trip)[T.3]	-0.05742520604	0.09746426149	-0.5891924399	0.555732188	-0.2484516483	0.1336012363
additive_unadjusted	C(Trip)[T.4]	0.01317120175	0.1139572297	0.1155802207	0.9079852395	-0.2101808642	0.2365232677
additive_unadjusted	C(Trip)[T.5]	0.5982327784	0.09948136518	6.013515972	1.815420342e-09	0.4032528856	0.7932126713
additive_unadjusted	"C(Type, Treatment(reference=""Surface""))[T.Deep]"	0.07348682196	0.07281117906	1.009279384	0.3128406643	-0.06922046667	0.2161941106
additive_unadjusted	"C(Type, Treatment(reference=""Surface""))[T.Rhizosphere]"	-0.2438911141	0.08559191486	-2.849464398	0.004379290669	-0.4116481846	-0.07613404364
additive_depth_adjusted	Intercept	-0.4959332867	0.7210875206	-0.6877574116	0.4916055594	-1.909238857	0.9173722833
additive_depth_adjusted	C(Trip)[T.2]	-0.01416768205	0.1581859074	-0.08956349075	0.9286340979	-0.3242063634	0.2958709993
additive_depth_adjusted	C(Trip)[T.3]	-0.315765762	0.1101455527	-2.866804462	0.004146391133	-0.5316470783	-0.09988444559
additive_depth_adjusted	C(Trip)[T.4]	0.2130300753	0.1033767685	2.060715172	0.03933022133	0.01041533218	0.4156448184
additive_depth_adjusted	C(Trip)[T.5]	0.1544963138	0.1263190699	1.223064054	0.2213055039	-0.09308451383	0.4020771415
additive_depth_adjusted	"C(Type, Treatment(reference=""Surface""))[T.Deep]"	0.1025892271	0.05841527064	1.756205629	0.07905330398	-0.01190259951	0.2170810537
additive_depth_adjusted	"C(Type, Treatment(reference=""Surface""))[T.Rhizosphere]"	-0.1708874113	0.07680833344	-2.224855085	0.02609096803	-0.3214289785	-0.020345844
additive_depth_adjusted	log_sequencing_depth	0.4688098521	0.05169900963	9.068062531	1.211520268e-19	0.3674816552	0.570138049
depth_and_kit_as_recorded	Intercept	-0.7467766137	0.7002847787	-1.066389898	0.2862474264	-2.119309559	0.6257563316
depth_and_kit_as_recorded	C(Trip)[T.2]	-0.09785293951	0.1636576848	-0.5979122805	0.5498984653	-0.4186161074	0.2229102284
depth_and_kit_as_recorded	C(Trip)[T.3]	-0.5698316205	0.1556206416	-3.661671193	0.0002505753327	-0.8748424733	-0.2648207677
depth_and_kit_as_recorded	C(Trip)[T.4]	0.09175008257	0.372305477	0.2464376385	0.8053434731	-0.6379552437	0.8214554088
depth_and_kit_as_recorded	C(Trip)[T.5]	0.2587798326	0.34109982	0.7586630582	0.4480541408	-0.4097635297	0.9273231949
