Trip	Site	Type	n_profiles	shannon	sequencing_depth	log_sequencing_depth	dna_kit	kit_recorded
1	34	Deep	2	5.218992031	975320	13.7905209	Pro	true
1	34	Rhizosphere	2	5.498057749	710477	13.47369185	Pro	true
1	34	Surface	2	6.38675799	1259584	14.04629207	Pro	true
1	35	Deep	2	6.288225719	2113803	14.56399925	Pro	true
1	35	Rhizosphere	2	5.243250234	218183	12.29308944	PowerSoil	true
1	35	Surface	2	6.183931539	1257956	14.04499874	Pro	true
1	36	Deep	2	5.822798589	892955	13.70229147	Pro	true
1	36	Surface	3	5.31950917	181631	12.10973244	mixed_within_group	false
1	37	Deep	2	6.438586562	568081	13.25001929	Pro	true
1	37	Rhizosphere	2	5.590505003	906397	13.71723268	Pro	true
1	37	Surface	2	6.35379911	542644	13.20420877	Pro	true
1	38	Deep	2	6.45101538	615794	13.33066777	Pro	true
1	38	Rhizosphere	2	5.111158038	639094	13.36780683	mixed_within_group	false
1	38	Surface	2	6.612538871	776630	13.56271933	Pro	true
1	39	Deep	2	4.236273074	250047	12.42940418	PowerSoil	true
1	39	Rhizosphere	3	5.246925145	950659	13.76491071	mixed_within_group	false
1	39	Surface	1	5.854214328	132265	11.79256276	Pro	true
1	40	Deep	2	5.866352575	561862	13.23901155	mixed_within_group	false
1	40	Rhizosphere	2	5.676667236	606965	13.31622641	Pro	true
1	41	Deep	1	2.515991428	24318	10.0989721	PowerSoil	true
1	41	Rhizosphere	1	5.797500419	330261	12.70763853	not_recorded	false
1	42	Deep	1	6.481842446	148967	11.91148008	Pro	true
1	42	Rhizosphere	2	5.57294857	617197	13.33294354	Pro	true
1	42	Surface	3	5.778808834	713122	13.47740779	mixed_within_group	false
1	43	Deep	2	6.432742153	637091	13.36466778	Pro	true
1	43	Rhizosphere	1	6.424623085	301967	12.61807302	Pro	true
1	43	Surface	2	5.761487937	303582	12.62340703	Pro	true
1	44	Deep	1	6.261705428	737956	13.51163948	Pro	true
1	44	Rhizosphere	2	5.610178623	284076	12.55699709	Pro	true
1	45	Deep	2	5.966492897	788222	13.57753506	Pro	true
1	45	Rhizosphere	1	5.486380498	258006	12.46073812	Pro	true
1	45	Surface	1	6.127026217	512753	13.14754953	Pro	true
1	46	Deep	1	5.055741797	129263	11.76960437	Pro	true
1	46	Rhizosphere	1	4.055009166	2046	7.623641947	Pro	true
1	46	Surface	1	5.148081165	107990	11.58979391	Pro	true
1	47	Deep	2	6.407685172	309777	12.64360796	Pro	true
1	47	Rhizosphere	1	5.124237547	21560	9.978595025	Pro	true
1	47	Surface	1	6.766899015	382238	12.85379873	Pro	true
1	48	Deep	1	5.763292714	175317	12.07435104	Pro	true
1	48	Surface	1	5.589313506	300759	12.61406456	Pro	true
1	49	Deep	1	5.480517932	191915	12.16480784	Pro	true
1	49	Rhizosphere	1	5.90039227	109413	11.60288499	Pro	true
1	49	Surface	2	5.291425508	99105	11.50393517	PowerSoil	true
1	50	Deep	2	5.914031399	133535	11.80211889	Pro	true
1	50	Rhizosphere	2	6.043761744	1041074	13.85576343	Pro	true
1	50	Surface	3	5.888705785	371615	12.82561365	mixed_within_group	false
1	51	Deep	2	5.732459912	1966762	14.49189909	mixed_within_group	false
1	51	Rhizosphere	1	4.151150836	333425	12.71717323	Pro	true
