profile_id	specimen_id	Trip	Site	Type	depth	shannon	ledger_resolution	ledger_specimen_id	dna_kit
e0325_10Dr2	10Dr2	1	10	Deep	503679	6.659232385	exact	10Dr2	Pro
e0326_10PRr2	10PRr2	1	10	Rhizosphere	234734	5.869525257	exact	10PRr2	Pro
e0327_10Sr2	10Sr2	1	10	Surface	1634081	6.830716177	exact	10Sr2	Pro
e0328_10Sr3	10Sr3	1	10	Surface	1049003	6.085138437	exact	10Sr3	Pro
e0329_11Dr3	11Dr3	1	11	Deep	152441	5.840116958	exact	11Dr3	Pro
e0330_11PRr3	11PRr3	1	11	Rhizosphere	847369	5.945018617	exact	11PRr3	not_recorded
e0331_11Sr2	11Sr2	1	11	Surface	125604	5.678883274	exact	11Sr2	Pro
e0332_12PRr1	12PRr1	1	12	Rhizosphere	43484	5.547416481	exact	12PRr1	Pro
e0333_12PRr3	12PRr3	1	12	Rhizosphere	311186	6.718154739	exact	12PRr3	Pro
e0334_12Sr1	12Sr1	1	12	Surface	182291	6.387099055	exact	12Sr1	Pro
e0335_12Sr3	12Sr3	1	12	Surface	145306	5.794676556	exact	12Sr3	Pro
e0336_13Dr1	13Dr1	1	13	Deep	473455	6.952827717	exact	13Dr1	Pro
e0337_13Dr3	13Dr3	1	13	Deep	1852185	5.788141707	exact	13Dr3	Pro
e0338_13Sr2	13Sr2	1	13	Surface	357173	5.654056549	exact	13Sr2	Pro
e0339_14Dr1	14Dr1	1	14	Deep	655184	6.552933649	exact	14Dr1	Pro
e0340_14Dr3	14Dr3	1	14	Deep	1195294	6.015836096	exact	14Dr3	PowerSoil
e0341_14PRr1	14PRr1	1	14	Rhizosphere	529395	4.816850821	exact	14PRr1	Pro
e0342_14PRr2	14PRr2	1	14	Rhizosphere	458988	4.642775958	exact	14PRr2	Pro
e0343_14Sr2	14Sr2	1	14	Surface	1079644	5.893253636	exact	14Sr2	Pro
e0344_15Dr1	15Dr1	1	15	Deep	943660	7.228124543	exact	15Dr1	Pro
e0345_15Dr3	15Dr3	1	15	Deep	1181250	6.99442509	exact	15Dr3	Pro
e0346_15PRr1	15PRr1	1	15	Rhizosphere	532453	5.82319751	exact	15PRr1	PowerSoil
e0347_15PRr2	15PRr2	1	15	Rhizosphere	909284	5.897749198	exact	15PRr2	Pro
e0348_15PRr3	15PRr3	1	15	Rhizosphere	594206	6.018732396	exact	15PRr3	Pro
e0349_15Sr1	15Sr1	1	15	Surface	900509	6.420893055	exact	15Sr1	Pro
e0350_15Sr3	15Sr3	1	15	Surface	71452	5.844197927	exact	15Sr3	Pro
e0351_16Dr1	16Dr1	1	16	Deep	416803	6.438471986	exact	16Dr1	Pro
e0352_16Dr3	16Dr3	1	16	Deep	120288	6.148634225	exact	16Dr3	Pro
e0353_16PRr2	16PRr2	1	16	Rhizosphere	869078	5.606218613	exact	16PRr2	Pro
e0354_16PRr3	16PRr3	1	16	Rhizosphere	822232	5.128827924	exact	16PRr3	Pro
e0355_16Sr1	16Sr1	1	16	Surface	214146	4.805189137	exact	16Sr1	Pro
e0356_17Dr1	17Dr1	1	17	Deep	133041	6.679286079	exact	17Dr1	Pro
e0357_17Dr3	17Dr3	1	17	Deep	145553	6.685333793	exact	17Dr3	Pro
e0358_17PRr2	17PRr2	1	17	Rhizosphere	218408	4.991549886	exact	17PRr2	Pro
e0359_18PRr1	18PRr1	1	18	Rhizosphere	701029	5.215840479	exact	18PRr1	Pro
e0360_18PRr2	18PRr2	1	18	Rhizosphere	554215	3.421212613	exact	18PRr2	Pro
e0361_18Sr1	18Sr1	1	18	Surface	41294	5.204226073	exact	18Sr1	Pro
e0362_18Sr2	18Sr2	1	18	Surface	188918	5.286214099	exact	18Sr2	Pro
e0363_19Dr2	19Dr2	1	19	Deep	141570	6.134222166	exact	19Dr2	PowerSoil
e0364_1Dr1	1Dr1	1	1	Deep	80130	6.669304419	exact	1Dr1	PowerSoil
e0365_1Dr2	1Dr2	1	1	Deep	127644	6.642350414	exact	1Dr2	PowerSoil
e0366_1PRr2	1PRr2	1	1	Rhizosphere	234664	6.811057445	exact	1PRr2	PowerSoil
e0367_1PRr3	1PRr3	1	1	Rhizosphere	186884	6.715934328	exact	1PRr3	PowerSoil
e0368_1Sr1	1Sr1	1	1	Surface	466832	6.278563062	exact	1Sr1	Pro
e0369_1Sr3	1Sr3	1	1	Surface	448797	6.356868364	exact	1Sr3	PowerSoil
e0370_20Dr2	20Dr2	1	20	Deep	227053	5.444631464	exact	20Dr2	Pro
e0371_20PRr1	20PRr1	1	20	Rhizosphere	431003	5.426811829	exact	20PRr1	Pro
e0372_20PRr2	20PRr2	1	20	Rhizosphere	403872	6.178252246	exact	20PRr2	Pro
e0373_21Dr1	21Dr1	1	21	Deep	355097	6.127781068	exact	21Dr1	not_recorded
e0374_21Sr1	21Sr1	1	21	Surface	365318	6.265061806	exact	21Sr1	Pro
e0375_21Sr2	21Sr2	1	21	Surface	423925	6.293419158	exact	21Sr2	not_recorded
e0376_22Dr1	22Dr1	1	22	Deep	520766	6.156266455	exact	22Dr1	Pro
e0377_22Dr2	22Dr2	1	22	Deep	645847	6.471325298	exact	22Dr2	Pro
e0378_22PRr1	22PRr1	1	22	Rhizosphere	182436	5.857239343	exact	22PRr1	Pro
e0379_22PRr3	22PRr3	1	22	Rhizosphere	473079	5.638642378	exact	22PRr3	Pro
e0380_23Dr1	23Dr1	1	23	Deep	221753	6.069053563	exact	23Dr1	Pro
