adjustment	metric	contrast	n_sites	mean_difference	median_difference	ci_low	ci_high	wilcoxon_w	p	q_within_adjustment	fraction_positive
unadjusted	shannon	Deep-Surface	60	0.0753573674	0.09813885842	-0.09176127902	0.2346913939	700	0.113479678	0.113479678	0.5666666667
unadjusted	shannon	Rhizosphere-Surface	60	-0.1303594569	-0.2502080381	-0.3241678136	0.07151487116	568	0.01063476872	0.01809395541	0.3333333333
unadjusted	shannon	Rhizosphere-Deep	60	-0.2057168243	-0.4298408297	-0.4038598198	0.004137362448	574	0.01206263694	0.01809395541	0.3166666667
depth_adjusted	shannon_depth_adjusted	Deep-Surface	60	0.08931947558	0.1261216332	-0.02646867543	0.2026489115	621	0.03044046741	0.04217366127	0.65
depth_adjusted	shannon_depth_adjusted	Rhizosphere-Surface	60	-0.09896358796	-0.184781462	-0.2553096693	0.07199162054	639	0.04217366127	0.04217366127	0.3666666667
depth_adjusted	shannon_depth_adjusted	Rhizosphere-Deep	60	-0.1882830635	-0.2685179028	-0.3455797663	-0.02493073297	566	0.0101933771	0.03058013131	0.35
depth_adjusted_complete_kit_cases	shannon_depth_adjusted	Deep-Surface	57	0.2772039699	0.345023969	0.1119249555	0.4513358795	436	0.001918262902	0.002877394353	0.6666666667
depth_adjusted_complete_kit_cases	shannon_depth_adjusted	Rhizosphere-Surface	56	-0.09077707884	-0.04731359591	-0.2881953892	0.1093285356	719	0.5193098154	0.5193098154	0.4821428571
depth_adjusted_complete_kit_cases	shannon_depth_adjusted	Rhizosphere-Deep	57	-0.3241585603	-0.2866257004	-0.5176418338	-0.1297054387	397	0.0006437775079	0.001931332524	0.298245614
