profile	role	campaign	compartment	total_reads	removed_reads	removed_read_fraction	total_features	removed_features
e0868_T8Dr1	biological	Trip2	deep	13407	33	0.002461	177	2
e0869_T8PRr1	biological	Trip2	root-adjacent	6670	180	0.026987	247	7
e0873_F1PRr2	biological	Trip3	root-adjacent	4027	125	0.031040	59	1
e0876_S18PRr1	biological	Trip4	root-adjacent	13267	0	0.000000	206	0
e0877_S18Sr1	biological	Trip4	surface	300562	270	0.000898	1839	5
e0878_S18Dr1	biological	Trip4	deep	342752	371	0.001082	937	2
e0880_3Sr3	biological	Trip1	surface	25999	16	0.000615	437	1
e0881_4Dr2	biological	Trip1	deep	409201	3299	0.008062	2853	13
e0882_7Dr2	biological	Trip1	deep	470585	3246	0.006898	2055	10
e0883_8PRr3	biological	Trip1	root-adjacent	416315	1677	0.004028	1566	7
e0884_10PRr3	biological	Trip1	root-adjacent	507390	346	0.000682	1223	2
e0885_11Dr1	biological	Trip1	deep	487056	412	0.000846	927	1
e0886_11PRr2	biological	Trip1	root-adjacent	683083	24913	0.036471	2968	12
e0887_12Dr2	biological	Trip1	deep	362379	12683	0.034999	2401	10
e0888_12Dr3	biological	Trip1	deep	372934	2871	0.007698	1113	5
e0889_19Dr3	biological	Trip1	deep	46223	0	0.000000	562	0
e0890_19Sr1	biological	Trip1	surface	416258	756	0.001816	1003	6
e0891_19Sr3	biological	Trip1	surface	480124	618	0.001287	1380	7
e0892_20Dr1	biological	Trip1	deep	594658	554	0.000932	1643	8
e0893_20Sr1	biological	Trip1	surface	395135	55	0.000139	802	2
e0894_20Sr3	biological	Trip1	surface	486142	447	0.000919	886	6
e0895_22Sr1	biological	Trip1	surface	32727	314	0.009595	486	3
e0896_22Sr3	biological	Trip1	surface	301456	366	0.001214	673	1
e0897_23PRr2	biological	Trip1	root-adjacent	61807	20451	0.330885	505	14
e0898_23PRr3	biological	Trip1	root-adjacent	168736	885	0.005245	1068	6
e0899_23Sr1	biological	Trip1	surface	603514	1233	0.002043	1646	6
e0900_24Sr1	biological	Trip1	surface	55712	688	0.012349	607	2
