feature_id	control_profiles_present	biological_profiles_present	prevalence_score	taxon
57aefa5d0a0056772a9e3e71c4ddec1b	21	69	1.14645e-22	Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus;NA
1542e91c99d9766e4afa866f20f227e2	19	48	1.24665e-21	Bacteria;Bacillota;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus;aureus
c6cdc71a1f7376db5a843ade152ed641	17	35	4.23101e-20	Bacteria;Bacillota;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;faecalis
1cc7e5a05cf232d0e5d30035b3ab61bc	17	37	8.99277e-20	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;enterica
2f4a2b08eec8d8d5f66dc0d20552881f	18	54	4.18612e-19	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella;coli
899f472bcb20419a21a9af29154f02ea	17	43	7.14746e-19	Bacteria;Bacillota;Bacilli;Lactobacillales;Listeriaceae;Listeria;monocytogenes
9617f26f732400ce3abf7fdabe53f305	12	6	1.3516e-18	Bacteria;Actinomycetota;Actinobacteria;Kitasatosporales;Streptomycetaceae;Streptomyces;thermoatroviridis;;0.84
f6f28ee86415068e9998585aa6621fca	12	7	3.63621e-18	Bacteria;Bacillota;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus;aureus
78956d84000e0a1f1865f178d6004d82	11	7	2.21553e-16	Bacteria;Actinomycetota;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Herbihabitans;;;0.65
0577113a0b6ed7c720c43a8c18387354	13	20	3.5595e-16	Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;NA;NA
1b8f8cc60c3dd0cbae120893b3206a7b	14	32	1.20604e-15	Bacteria;Actinomycetota;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Herbihabitans;NA
2b7605935e093c2fcfc8ce4f86fd0d60	11	11	4.72689e-15	Bacteria;Actinomycetota;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Actinophytocola;NA
8aa0425d017aa74c4da559acb853bec6	12	18	5.65894e-15	Bacteria;Actinomycetota;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;NA;NA
af71139e63afbe2408046ace2a564506	14	42	2.70347e-14	Bacteria;Actinomycetota;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Saccharopolyspora;NA
96432b8d48a97273b6e2930bfd765c27	11	18	2.16771e-13	Bacteria;Cyanobacteriota;Sericytochromatia;NA;NA;NA;NA
515ccab04610bd9a691bbc07b4497db5	13	40	4.42383e-13	Bacteria;Actinomycetota;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;NA;NA
9f86595b1486625e364e8fe09b6cdb0b	11	20	5.20408e-13	Bacteria;Actinomycetota;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Herbihabitans;NA
31facb50d312b56823378d0690b666f7	11	23	1.70828e-12	Bacteria;Pseudomonadota;Gammaproteobacteria;Gammaproteobacteria Incertae Sedis;Unknown Family;Acidibacter;NA
b9ab0d4d157f7bc63823c685a0819b56	9	9	2.48828e-12	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella;NA
72bbdb94dcfbe6bc1b97ae12f1bbd75a	10	16	3.02455e-12	Bacteria;Actinomycetota;Actinobacteria;Nitriliruptorales;Nitriliruptoraceae;NA;NA
005d58f7974bd0349e35dd8468ebc9a2	11	25	3.5188e-12	Bacteria;Actinomycetota;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;NA;NA
0a362a9d299cac90fbc18e3eaa18f7ed	7	2	1.16365e-11	Bacteria;Actinomycetota;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;;;;1
4e568e44f8f6cf3d1de022e38b261338	7	3	3.83315e-11	Bacteria;Actinomycetota;Actinobacteria;Kitasatosporales;Streptomycetaceae;Streptomyces;thermoatroviridis;;0.82
5a86832c1b26a25a99272ec96f266d94	8	8	5.23193e-11	Bacteria;Actinomycetota;Thermoleophilia;Solirubrobacterales;67-14;NA;NA
7735c24df5f9f16d42220e6280c4cf33	7	4	1.04169e-10	Bacteria;Bacillota;Bacilli;Bacillales;Bacillaceae;Bacillus;intestinalis
17d8e27fe37cb64b8d2d1284401e4442	8	10	1.73883e-10	Bacteria;Actinomycetota;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Saccharopolyspora;;;0.85
342796ebfc27139dd8adadc352135dc1	14	92	3.32931e-10	Bacteria;Actinomycetota;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;NA;NA
a581610ce9051aeb9949fe15d70de845	6	2	6.35508e-10	Bacteria;Actinomycetota;Actinobacteria;0319-7L14;;;;;1
e1c5bbb2c2350eb6b116f2d4a46ffcb9	8	13	7.81438e-10	Bacteria;Actinomycetota;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;NA;NA
082380381aa344304a9e7cc48e0fa52d	7	7	1.04546e-09	Bacteria;Actinomycetota;MB-A2-108;;;;;;1
383a63879e0567741c240ebe150bf3ff	10	34	1.17362e-09	Bacteria;Actinomycetota;Actinobacteria;0319-7L14;NA;NA;NA
c56b80d9154758d0ce647fb6c5ced4e3	6	3	1.88325e-09	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;NA
8f951f7572e0f85a8225a0161b495d20	6	3	1.88325e-09	Bacteria;Actinomycetota;Actinobacteria;0319-7L14;NA;NA;NA
9441cde55941c8959f8fc81e346d7d9b	13	99	1.0776e-08	Bacteria;Actinomycetota;Actinobacteria;Kitasatosporales;Streptomycetaceae;Streptomyces;thermoatroviridis
448dbd891a66d6cbc432a90f68113186	7	13	2.19876e-08	Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;aeruginosa
