positive_profile_id	trip	product	source_reads	expected_genus_asvs_traced	expected_genus_reads_in_source	traced_asvs_detected_in_negative_controls	negative_control_profiles_with_traced_asv	traced_asv_reads_in_negative_controls	traced_asvs_detected_in_biological_profiles	biological_profiles_with_traced_asv	traced_asv_reads_in_biological_profiles	nearest_index_profiles	traced_asvs_detected_in_nearest_indices	nearest_index_profiles_with_traced_asv	traced_asv_reads_in_nearest_indices	interpretation
e0553_Ctrl_2	Trip1	D6322	294992	26	17264	14	8	72802	26	982	5962740	e0554_Ctrl_3;e0536_64PRr3	17	2	22932	overlap_requires_library_identity_and_natural_occurrence_context
e0554_Ctrl_3	Trip1	D6322	184826	22	22781	18	7	53412	22	960	4228951	e0553_Ctrl_2;e0555_PCR_Ctrl_Trip1	14	2	15491	overlap_requires_library_identity_and_natural_occurrence_context
e0872_TMC1	Trip2	D6322	57214	41	17766	38	8	164666	32	979	8836266	e0866_T6PRr2;e0861_61Sr2	5	1	163	overlap_requires_library_identity_and_natural_occurrence_context
e0874_Positive	Trip2	D6322	113753	0	0	0	0	0	0	0	0	e0868_T8Dr1;e0806_1Sr2	0	0	0	overlap_requires_library_identity_and_natural_occurrence_context
e8294_FPosCtrl1	Trip3	D6300	151408	3	76	2	7	22619	3	872	1646950	e8302_F2PRr1;e8310_F3Sr3	2	1	551	overlap_requires_library_identity_and_natural_occurrence_context
e8661_FPosCtrl2	Trip3	D6300	187278	14	187278	14	3	116350	14	741	5046855	e8660_F60Sr3;e705_T5PRr1	12	1	15741	overlap_requires_library_identity_and_natural_occurrence_context
e8665_FPosCtrl3	Trip3	D6300	375077	12	375021	12	3	115958	12	741	5018859	e8664_F60PRr1;e717_T6PRr3	12	1	19919	overlap_requires_library_identity_and_natural_occurrence_context
