profile_id	role	extraction_blank	total_reads	total_asvs	candidate_contaminant_reads	candidate_contaminant_asvs	candidate_contaminant_read_fraction	application_scope
EB10	training_extraction_blank		216668	1120	28402	89	0.13108535	characterized_not_filtered
EB11	training_extraction_blank		495356	1519	76984	110	0.15541146	characterized_not_filtered
EB12	training_extraction_blank		360779	1414	44029	153	0.12203870	characterized_not_filtered
EB13	training_extraction_blank		332474	1834	55020	174	0.16548662	characterized_not_filtered
EB14	training_extraction_blank		222312	1052	35201	89	0.15834053	characterized_not_filtered
EB15	training_extraction_blank		264450	1188	44509	109	0.16830781	characterized_not_filtered
EB16	training_extraction_blank		332021	1175	44579	93	0.13426560	characterized_not_filtered
EB17	training_extraction_blank		603911	2181	86489	137	0.14321481	characterized_not_filtered
EB18	characterization_only_extraction_blank		491118	1833	60626	77	0.12344487	characterized_not_filtered
EB1	training_extraction_blank		140243	570	2716	11	0.01936639	characterized_not_filtered
EB2	training_extraction_blank		670322	2317	95637	127	0.14267322	characterized_not_filtered
EB3	training_extraction_blank		37978	182	0	0	0.00000000	characterized_not_filtered
EB4	training_extraction_blank		17388	148	373	4	0.02145158	characterized_not_filtered
EB5	training_extraction_blank		294641	1271	43678	89	0.14824142	characterized_not_filtered
EB6	training_extraction_blank		11130	122	105	3	0.00943396	characterized_not_filtered
EB7	training_extraction_blank		16822	145	746	7	0.04434669	characterized_not_filtered
EB8	training_extraction_blank		238761	1041	35400	91	0.14826542	characterized_not_filtered
EB9	training_extraction_blank		722664	1540	102014	117	0.14116381	characterized_not_filtered
Negative1	characterization_only_extraction_blank		6206	44	136	1	0.02191428	characterized_not_filtered
Negative2	characterization_only_extraction_blank		78645	262	15	2	0.00019073	characterized_not_filtered
Negative4	characterization_only_extraction_blank		9437	100	507	7	0.05372470	characterized_not_filtered
Negative5	characterization_only_extraction_blank		5657	50	44	5	0.00777797	characterized_not_filtered
Negative6	characterization_only_extraction_blank		109605	576	810	8	0.00739017	characterized_not_filtered
Negative7	characterization_only_extraction_blank		156754	581	10220	19	0.06519770	characterized_not_filtered
V10Dr1	compatible_biological_profile	EB2	853897	3983	5692	18	0.00666591	removed_in_trip5_sensitivity_table
