profile_id	rank	taxonomy	reads	read_fraction
e0553_Ctrl_2	1	Bacteria;Bacillota;Bacilli;Paenibacillales;Paenibacillaceae;Ammoniphilus;NA	20393	0.06913069
e0553_Ctrl_2	2	Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;Subgroup 10;NA	20010	0.06783235
e0553_Ctrl_2	3	Bacteria;Actinomycetota;Actinobacteria;Mycobacteriales;Mycobacteriaceae;Mycobacterium;vaccae	16738	0.05674052
e0553_Ctrl_2	4	Bacteria;Bacillota;Bacilli;Bacillales;Bacillaceae;Metabacillus;NA	13032	0.04417747
e0553_Ctrl_2	5	Bacteria;Bacillota;Bacilli;Bacillales;Bacillaceae;Neobacillus;NA	10614	0.03598064
e0553_Ctrl_2	6	Bacteria;Bacillota;Bacilli;Bacillales;Bacillaceae;Bacillus;vireti	9958	0.03375685
e0553_Ctrl_2	7	Bacteria;Bacillota;Bacilli;Bacillales;Bacillaceae;Ectobacillus;NA	9609	0.03257376
e0553_Ctrl_2	8	Bacteria;Pseudomonadota;Alphaproteobacteria;Azospirillales;Azospirillaceae;Skermanella;NA	9545	0.03235681
e0553_Ctrl_2	9	Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Paracoccus;aminovorans	7346	0.02490237
e0553_Ctrl_2	10	Bacteria;Chloroflexota;Chloroflexia;Thermomicrobiales;JG30-KF-CM45;NA;NA	7062	0.02393963
e0553_Ctrl_2	11	Bacteria;Pseudomonadota;Alphaproteobacteria;Azospirillales;Azospirillaceae;NA;NA	6399	0.02169211
e0553_Ctrl_2	12	Bacteria;Bacillota;Bacilli;Bacillales;Bacillaceae;NA;NA	5644	0.01913272
e0553_Ctrl_2	13	Bacteria;Actinomycetota;Actinobacteria;Micrococcales;Micrococcaceae;Kocuria;NA	5094	0.01726826
e0553_Ctrl_2	14	Bacteria;Actinomycetota;Actinobacteria;Propionibacteriales;Nocardioidaceae;Nocardioides;NA	4993	0.01692588
e0553_Ctrl_2	15	Bacteria;Planctomycetota;Phycisphaerae;Tepidisphaerales;WD2101 soil group;NA;NA	4797	0.01626146
e0553_Ctrl_2	16	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Beijerinckiaceae;Microvirga;NA	4356	0.01476650
e0553_Ctrl_2	17	Bacteria;Bacillota;Bacilli;Bacillales;Planococcaceae;Domibacillus;NA	3993	0.01353596
e0553_Ctrl_2	18	Bacteria;Bacillota;Bacilli;Bacillales;Bacillaceae;Litchfieldia;NA	3797	0.01287154
e0553_Ctrl_2	19	Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Amaricoccus;NA	3730	0.01264441
e0553_Ctrl_2	20	Bacteria;Gemmatimonadota;Longimicrobiia;Longimicrobiales;Longimicrobiaceae;NA;NA	3351	0.01135963
e0554_Ctrl_3	1	Bacteria;Bacillota;Bacilli;Paenibacillales;Paenibacillaceae;Ammoniphilus;NA	20122	0.10886996
e0554_Ctrl_3	2	Bacteria;Bacillota;Bacilli;Bacillales;Bacillaceae;Bacillus;vireti	18432	0.09972623
e0554_Ctrl_3	3	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Beijerinckiaceae;Microvirga;NA	7530	0.04074102
e0554_Ctrl_3	4	Bacteria;Bacillota;Bacilli;Bacillales;Bacillaceae;Metabacillus;NA	6591	0.03566057
e0554_Ctrl_3	5	Bacteria;Gemmatimonadota;Longimicrobiia;Longimicrobiales;Longimicrobiaceae;NA;NA	6383	0.03453518
e0554_Ctrl_3	6	Bacteria;Bacillota;Bacilli;Bacillales;Bacillaceae;Neobacillus;NA	6069	0.03283629
e0554_Ctrl_3	7	Bacteria;Bacillota;Bacilli;Bacillales;Bacillaceae;NA;NA	4995	0.02702542
e0554_Ctrl_3	8	Bacteria;Chloroflexota;Chloroflexia;Kallotenuales;AKIW781;NA;NA	3928	0.02125242
e0554_Ctrl_3	9	Bacteria;Bacillota;Bacilli;Bacillales;Bacillaceae;Litchfieldia;NA	3817	0.02065186
e0554_Ctrl_3	10	Bacteria;Actinomycetota;Actinobacteria;Propionibacteriales;Nocardioidaceae;Nocardioides;NA	3603	0.01949401
e0554_Ctrl_3	11	Bacteria;Chloroflexota;Chloroflexia;Thermomicrobiales;JG30-KF-CM45;NA;NA	3151	0.01704847
e0554_Ctrl_3	12	Bacteria;Chloroflexota;Anaerolineae;Caldilineales;Caldilineaceae;NA;NA	3057	0.01653988
e0554_Ctrl_3	13	Bacteria;Planctomycetota;Planctomycetes;Planctomycetales;NA;NA;NA	2978	0.01611245
e0554_Ctrl_3	14	Bacteria;Deinococcota;Deinococci;Deinococcales;Trueperaceae;Truepera;NA	2919	0.01579323
e0554_Ctrl_3	15	Bacteria;Actinomycetota;Actinobacteria;Frankiales;Geodermatophilaceae;Geodermatophilus;NA	2908	0.01573372
e0554_Ctrl_3	16	Bacteria;Chloroflexota;Chloroflexia;Thermomicrobiales;AKYG1722;NA;NA	2788	0.01508446
e0554_Ctrl_3	17	Bacteria;Bacillota;Bacilli;Bacillales;Bacillaceae;Mesobacillus;NA	2645	0.01431076
e0554_Ctrl_3	18	Bacteria;Bacillota;Bacilli;Bacillales;Planococcaceae;Domibacillus;NA	2525	0.01366150
e0554_Ctrl_3	19	Bacteria;Actinomycetota;Actinobacteria;Propionibacteriales;Nocardioidaceae;Marmoricola;NA	2423	0.01310963
e0554_Ctrl_3	20	Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;NA;NA	2231	0.01207081
e0872_TMC1	1	Bacteria;Bacillota;Bacilli;Bacillales;Bacillaceae;Bacillus;vireti	13525	0.23639319
e0872_TMC1	2	Bacteria;Bacillota;Bacilli;Paenibacillales;Paenibacillaceae;Ammoniphilus;NA	12376	0.21631069
e0872_TMC1	3	Bacteria;Bacillota;Bacilli;Bacillales;Bacillaceae;NA;NA	5444	0.09515154
