SampleID	SoilType	Al	Al2O3	Ba	BaO	Br	Ca	CaO	Ce	CeO2	Cl	Co	CoO	Cr	Cr2O3	Cs	Cu	CuO	Diameter	Eu	Eu2O3	Fe	Fe2O3	Ga	Ga2O3	Gd	Gd2O3	K	K2O	La	La2O3	Material	Method	Mg	MgO	Mn	MnO	Mo	MoO3	Mode	Na	Na2O	Nd	Nd2O3	Ni	NiO	P	P2O5	Pr	Pr6O11	S	SO3	Sc	Sc2O3	Si	SiO2	Sm	Sm2O3	Sr	SrO	Ti	TiO2	V	V2O5	Zn	ZnO	Zr	ZrO2
1Dr1	Deep	1.5	2.9	0	0	0	5.96	8.34	0.13	0	0.45	0	0	0	0	0	0	0		0	0	1.7	2.43	0	0	0	0	0.64	0.77	0	0			0.36	0.6	0.077	0.099	0	0		0.31	0.41	0.091	0	0	0	0.055	0	0	0	0.099	0	0	0	12.9	27.7	0.054	0	0.043	0.05	0.36	0.6	0.025	0	0	0	0.277	0.374
2Dr1	Deep	1.2	2.3	0	0	0	1.9	2.6	0	0	0.1	0	0	0.023	0	0	0	0		0	0	0.657	0.939	0	0	0	0	0.66	0.79	0.11	0			0.32	0.53	0	0	0	0		0.083	0	0.21	0	0	0	0.032	0	0	0	0.12	0.31	0.018	0	19.3	41.2	0	0	0	0	0.15	0.24	0	0	0.022	0.028	0	0
3Dr1	Deep	1.8	3.3	0	0	0	0.75	1	0.32	0.4	0.095	0	0	0.022	0.033	0	0	0		0	0	0.37	0.53	0	0	0	0	0.46	0.56	0	0			0.27	0.45	0	0	0	0		0.13	0	0.005	0	0	0	0.12	0.27	0	0	0.099	0.25	0	0	21.4	45.8	0.024	0	0	0	0.11	0.18	0	0	0	0	0.027	0.036
4Dr1	Deep	1.4	2.7	0	0	0	2.1	2.94	0.27	0	0.019	0	0	0.017	0	0	0	0		0	0	0.863	1.23	0	0	0	0	0.56	0.67	0	0			0.37	0.61	0	0	0	0		0.21	0	0.2	0	0	0	0	0	0.093	0	0.064	0.16	0	0	20.1	42.9	0.19	0	0.028	0.033	0.12	0	0.021	0	0	0	0	0
5Dr1	Deep	2.2	4.2	0	0	0	6.6	9.24	0	0	0.05	0	0	0	0	0	0	0		0	0	1.89	2.7	0	0	0	0	0.99	1.2	0.11	0			0.67	1.1	0.096	0.12	0	0		0.37	0.5	0	0	0	0	0.13	0.3	0	0	0.081	0.2	0	0	17.8	38.1	0	0	0.037	0.043	0.52	0.86	0	0	0	0	0.159	0.215
6Dr1	Deep	2	3.7	0	0	0	3.61	5.05	0.17	0	0.064	0	0	0.074	0.11	0	0	0		0	0	1.08	1.55	0	0	0	0	0.59	0.71	0.1	0			0.42	0.69	0	0	0	0		0.31	0.42	0	0	0	0	0.073	0	0	0	0	0	0.029	0	19.8	42.4	0	0	0	0	0.27	0.46	0.027	0	0	0	0.078	0.11
7Dr1	Deep	1.5	2.8	0	0	0	2.43	3.41	0	0	0.18	0	0	0	0	0	0	0		0	0	1.03	1.47	0	0	0	0	0.72	0.86	0.16	0			0.41	0.68	0	0	0	0		0.25	0	0	0	0	0	0.072	0	0	0	0.068	0.17	0	0	20	42.7	0	0	0.029	0.034	0.24	0.4	0.016	0	0	0	0.048	0.065
8Dr1	Deep	1.1	2.1	0	0	0	0.95	1.3	0	0	0.028	0	0	0	0	0	0	0		0	0	0.418	0.598	0	0	0	0	0.58	0.7	0	0			0.24	0.4	0	0	0	0		0.14	0	0	0	0	0	0.042	0	0.084	0	0	0	0	0	21.9	46.9	0	0	0	0	0.095	0	0.011	0	0	0	0.032	0.043
9Dr1	Deep	1.6	3	0	0	0	1.8	2.5	0	0	0.042	0	0	0.022	0.032	0	0	0		0	0	0.763	1.09	0	0	0	0	0.61	0.74	0	0			0.33	0.55	0	0	0	0		0.45	0.61	0	0	0	0	0.043	0	0.077	0	0.063	0.16	0	0	23.4	50	0	0	0.039	0.046	0.32	0.54	0	0	0	0	0	0
10Dr1	Deep	1.5	2.9	0	0	0	1.8	2.6	0	0	0.14	0	0	0.037	0.053	0	0	0		0	0	0.58	0.829	0	0	0	0	0.54	0.66	0	0			0.28	0.47	0	0	0	0		0.35	0	0	0	0	0	0.042	0	0	0	0	0	0.059	0	21.2	45.3	0	0	0.027	0	0.18	0.29	0	0	0	0	0.025	0.034
