SampleID	SoilType	Al	Ba	Br	Ca	Ce	Cl	Co	Cr	Cs	Cu	Diameter	Eu	Fe	Ga	Gd	K	La	Material	Method	Mg	Mn	Mo	Mode	Na	Nd	Ni	P	Pr	S	Sc	Si	Sm	Sr	Ti	V	Zn	Zr
1Sr1	Surface	0.78	0.0	0.0	0.79	0.33	0.13	0.0	0.0	0.0	0.0	8mm	0.0	0.351	0.0	0.0	0.34	0.19	Oxides	Fast Screening-He8mm	0.19	0.0	0.0	He	0.08	0.084	0.0	0.048	0.0	0.053	0.0	20.1	0.0	0.0	0.14	0.0	0.0	0.055
2Sr1	Surface	1.6	0.0	0.0	1.3	0.0	0.16	0.0	0.0	0.0	0.015	8mm	0.0	0.762	0.0	0.0	0.63	0.0	Oxides	Fast Screening-He8mm	0.38	0.0	0.018	He	0.24	0.0	0.0	0.0	0.14	0.067	0.028	20.2	0.0	0.027	0.2	0.01	0.0	0.054
3Sr1	Surface	1.9	0.28	0.0	0.9	0.0	0.38	0.0	0.008	0.0	0.0	8mm	0.0	0.521	0.0	0.0	0.52	0.0	Oxides	Fast Screening-He8mm	0.24	0.0	0.0	He	0.12	0.17	0.0	0.0	0.078	0.12	0.0	18.5	0.0	0.031	0.097	0.022	0.0	0.0
4Sr1	Surface	1.2	0.36	0.0	0.76	0.0	0.049	0.0	0.029	0.0	0.0	8mm	0.0	0.468	0.0	0.0	0.57	0.0	Oxides	Fast Screening-He8mm	0.31	0.0	0.0	He	0.18	0.0	0.0	0.041	0.0	0.044	0.0	20.6	0.0	0.0	0.12	0.0	0.0	0.0
5Sr1	Surface	1.8	0.21	0.0	2.12	0.14	0.052	0.0	0.0	0.0	0.0	8mm	0.0	0.907	0.0	0.0	0.72	0.0	Oxides	Fast Screening-He8mm	0.36	0.0	0.0	He	0.31	0.0	0.0	0.064	0.0	0.036	0.0	19.2	0.0	0.028	0.34	0.004	0.0	0.0
6Sr1	Surface	1.3	0.0	0.0	2.34	0.0	0.083	0.0	0.0	0.0	0.0	8mm	0.0	0.827	0.0	0.0	0.62	0.11	Oxides	Fast Screening-He8mm	0.4	0.0	0.0	He	0.13	0.0	0.0	0.081	0.0	0.027	0.0	19.2	0.0	0.0	0.14	0.015	0.0	0.047
7Sr1	Surface	1.3	0.0	0.0	0.82	0.0	0.053	0.0	0.0	0.0	0.0	8mm	0.0	0.408	0.0	0.0	0.38	0.0	Oxides	Fast Screening-He8mm	0.2	0.0	0.0	He	0.11	0.0	0.0	0.092	0.13	0.039	0.0	21.6	0.0	0.0	0.089	0.03	0.0	0.029
8Sr1	Surface	1.2	0.0	0.0	2.63	0.0	0.042	0.0	0.0	0.0	0.0	8mm	0.0	0.888	0.0	0.0	0.69	0.1	Oxides	Fast Screening-He8mm	0.33	0.057	0.0	He	0.16	0.0	0.0	0.0	0.0	0.0	0.0	20.2	0.094	0.0	0.22	0.002	0.0	0.042
9Sr1	Surface	0.95	0.18	0.0	0.83	0.0	0.071	0.0	0.001	0.0	0.0	8mm	0.0	0.33	0.0	0.0	0.31	0.0	Oxides	Fast Screening-He8mm	0.2	0.0	0.0	He	0.17	0.1	0.0	0.0	0.13	0.093	0.0	22.1	0.0	0.0	0.082	0.042	0.0	0.0
10Sr1	Surface	1.9	0.076	0.0	2.77	0.0	0.041	0.0	0.0	0.0	0.0	8mm	0.0	1.04	0.0	0.0	0.74	0.0	Oxides	Fast Screening-He8mm	0.29	0.0	0.0	He	0.43	0.0	0.0	0.031	0.079	0.0	0.029	20.0	0.0	0.036	0.21	0.058	0.0	0.004
11Sr1	Surface	0.7	0.0	0.0	0.72	0.19	0.038	0.0	0.012	0.0	0.0	8mm	0.0	0.22	0.0	0.0	0.31	0.11	Oxides	Fast Screening-He8mm	0.16	0.0	0.0	He	0.14	0.081	0.0	0.041	0.0	0.025	0.027	20.1	0.1	0.03	0.029	0.0	0.0	0.0
12Sr1	Surface	1.0	0.0	0.0	0.71	0.0	0.042	0.0	0.026	0.0	0.0	8mm	0.0	0.33	0.0	0.0	0.46	0.097	Oxides	Fast Screening-He8mm	0.27	0.0	0.0	He	0.2	0.1	0.0	0.042	0.0	0.049	0.0	22.0	0.0	0.034	0.096	0.0	0.0	0.0
