SampleID	SoilType	Al	Ba	Br	Ca	Ce	Cl	Co	Cr	Cs	Cu	Diameter	Eu	Fe	Ga	Gd	K	La	Material	Method	Mg	Mn	Mo	Mode	Na	Nd	Ni	P	Pr	S	Sc	Si	Sm	Sr	Ti	V	Zn	Zr
13Sr1	Surface	0.75	0.0	0.0	0.39	0.0	0.042	0.0	0.0	0.0	0.0	8mm	0.0	0.29	0.0	0.0	0.39	0.0	Oxides	Fast Screening-He8mm	0.23	0.0	0.0	He	0.23	0.12	0.0	0.041	0.092	0.057	0.0	20.3	0.13	0.0	0.12	0.038	0.0	0.0
14Sr1	Surface	0.9	0.0	0.0	0.47	0.0	0.084	0.0	0.02	0.0	0.0	8mm	0.0	0.26	0.0	0.0	0.76	0.0	Oxides	Fast Screening-He8mm	0.27	0.021	0.0	He	0.27	0.087	0.0	0.041	0.087	0.042	0.043	20.7	0.0	0.0	0.036	0.0	0.0	0.0
15Sr1	Surface	0.86	0.0	0.0	1.0	0.21	0.071	0.0	0.045	0.0	0.0	8mm	0.0	0.27	0.0	0.0	0.53	0.0	Oxides	Fast Screening-He8mm	0.21	0.0	0.0	He	0.23	0.0	0.0	0.066	0.0	0.0	0.027	20.8	0.0	0.0	0.026	0.0	0.0	0.0
16Sr1	Surface	0.72	0.0	0.0	0.4	0.0	0.003	0.0	0.019	0.0	0.0	8mm	0.0	0.19	0.0	0.0	0.31	0.0	Oxides	Fast Screening-He8mm	0.17	0.014	0.0	He	0.28	0.0	0.0	0.053	0.0	0.0	0.0	21.6	0.074	0.031	0.05	0.015	0.0	0.0
17Sr1	Surface	1.3	0.13	0.0	1.2	0.0	0.0	0.0	0.0	0.0	0.0	8mm	0.0	0.463	0.0	0.0	0.82	0.0	Oxides	Fast Screening-He8mm	0.27	0.0	0.0	He	0.071	0.0	0.0	0.051	0.15	0.05	0.0	21.2	0.0	0.0	0.088	0.0	0.0	0.0
18Sr1	Surface	1.0	0.0	0.0	0.74	0.0	0.042	0.0	0.022	0.0	0.0	8mm	0.0	0.23	0.0	0.0	0.61	0.097	Oxides	Fast Screening-He8mm	0.26	0.0	0.0	He	0.27	0.21	0.0	0.042	0.0	0.07	0.0	22.3	0.0	0.0	0.084	0.038	0.0	0.0
19Sr1	Surface	0.98	0.0	0.0	0.29	0.0	0.0	0.0	0.049	0.0	0.0	8mm	0.0	0.23	0.0	0.0	0.89	0.11	Oxides	Fast Screening-He8mm	0.25	0.0	0.0	He	0.093	0.0	0.0	0.0	0.0	0.025	0.0	22.3	0.0	0.0	0.037	0.0	0.0	0.0
20Sr1	Surface	1.2	0.037	0.0	0.82	0.0	0.0	0.0	0.0	0.0	0.0	8mm	0.0	0.532	0.0	0.0	1.1	0.0	Oxides	Fast Screening-He8mm	0.28	0.0	0.0	He	0.34	0.0	0.0	0.0	0.0	0.03	0.082	20.2	0.0	0.052	0.058	0.006	0.0	0.0
21Sr1	Surface	0.99	0.2	0.0	0.34	0.0	0.0	0.0	0.014	0.0	0.0	8mm	0.0	0.27	0.0	0.0	0.65	0.2	Oxides	Fast Screening-He8mm	0.24	0.0	0.0	He	0.18	0.0	0.0	0.0	0.0	0.039	0.0	20.6	0.0	0.0	0.071	0.013	0.0	0.0
22Sr1	Surface	1.1	0.0	0.0	1.8	0.0	0.0	0.0	0.037	0.0	0.0	8mm	0.0	0.474	0.0	0.0	0.66	0.0	Oxides	Fast Screening-He8mm	0.36	0.023	0.0	He	0.14	0.0	0.0	0.0	0.1	0.0	0.028	19.8	0.0	0.038	0.092	0.0	0.0	0.0
23Sr1	Surface	0.69	0.0	0.0	1.1	0.0	0.057	0.0	0.011	0.0	0.0	8mm	0.006	0.27	0.0	0.0	0.39	0.0	Oxides	Fast Screening-He8mm	0.31	0.011	0.0	He	0.11	0.13	0.0	0.041	0.086	0.071	0.027	21.5	0.0	0.0	0.12	0.03	0.0	0.04
24Sr1	Surface	0.81	0.0	0.0	0.92	0.0	0.0	0.0	0.0	0.0	0.0	8mm	0.0	0.21	0.0	0.0	0.37	0.11	Oxides	Fast Screening-He8mm	0.15	0.0	0.0	He	0.12	0.0	0.0	0.065	0.0	0.044	0.027	19.9	0.0	0.0	0.088	0.014	0.0	0.0
25Sr1	Surface	0.96	0.069	0.0	0.32	0.045	0.009	0.0	0.0	0.0	0.0	8mm	0.0	0.22	0.0	0.0	0.69	0.0	Oxides	Fast Screening-He8mm	0.25	0.0	0.0	He	0.0	0.12	0.0	0.0	0.053	0.004	0.045	21.0	0.0	0.0	0.021	0.0	0.0	0.0
26Sr1	Surface	0.88	0.0	0.0	0.36	0.41	0.0	0.0	0.012	0.0	0.0	8mm	0.0	0.22	0.0	0.0	0.68	0.0	Oxides	Fast Screening-He8mm	0.21	0.0	0.0	He	0.13	0.13	0.0	0.0	0.0	0.072	0.0	21.8	0.0	0.031	0.035	0.0	0.0	0.0
27Sr1	Surface	0.88	0.0	0.0	0.4	0.0	0.07	0.0	0.029	0.0	0.0	8mm	0.0	0.329	0.0	0.0	0.81	0.11	Oxides	Fast Screening-He8mm	0.28	0.0	0.0	He	0.074	0.0	0.0	0.0	0.0	0.037	0.0	20.0	0.13	0.0	0.068	0.0	0.0	0.0
28Sr1	Surface	0.9	0.0	0.0	0.2	0.0	0.042	0.008	0.022	0.0	0.027	8mm	0.0	0.22	0.0	0.033	0.73	0.0	Oxides	Fast Screening-He8mm	0.24	0.023	0.0	He	0.11	0.087	0.0	0.0	0.23	0.044	0.0	21.2	0.12	0.0	0.03	0.0	0.0	0.0
29Sr1	Surface	1.2	0.0	0.0	3.94	0.0	0.041	0.0	0.02	0.0	0.0	8mm	0.0	0.668	0.0	0.0	0.8	0.18	Oxides	Fast Screening-He8mm	0.44	0.019	0.0	He	0.34	0.068	0.0	0.041	0.0	0.024	0.03	20.2	0.0	0.0	0.25	0.013	0.0	0.0
30Sr1	Surface	1.4	0.078	0.0	1.1	0.0	0.042	0.0	0.013	0.0	0.0	8mm	0.0	0.53	0.0	0.0	0.9	0.0	Oxides	Fast Screening-He8mm	0.35	0.0	0.0	He	0.15	0.083	0.0	0.041	0.15	0.025	0.0	19.5	0.0	0.0	0.12	0.045	0.0	0.0
31Sr1	Surface	1.1	0.1	0.0	2.32	0.0	0.083	0.0	0.064	0.0	0.0	8mm	0.0	0.7	0.0	0.0	1.0	0.0	Oxides	Fast Screening-He8mm	0.46	0.0	0.0	He	0.24	0.0	0.0	0.047	0.0	0.0	0.0	19.4	0.0	0.0	0.23	0.0	0.0	0.033
32Sr1	Surface	1.2	0.0	0.0	1.2	0.35	0.068	0.0	0.031	0.0	0.0	8mm	0.0	0.493	0.0	0.0	0.99	0.0	Oxides	Fast Screening-He8mm	0.31	0.0	0.0	He	0.2	0.054	0.0	0.041	0.036	0.041	0.0	19.1	0.074	0.0	0.13	0.0	0.0	0.0
33Sr1	Surface	0.98	0.12	0.0	1.5	0.0	0.068	0.0	0.0	0.0	0.0	8mm	0.0	0.473	0.0	0.0	0.69	0.0	Oxides	Fast Screening-He8mm	0.29	0.0	0.0	He	0.13	0.076	0.0	0.0	0.09	0.064	0.0	19.2	0.0	0.0	0.15	0.0	0.0	0.032
34Sr1	Surface	0.86	0.0	0.0	4.26	0.0	0.029	0.0	0.0	0.0	0.016	8mm	0.0	0.619	0.0	0.0	0.4	0.18	Oxides	Fast Screening-He8mm	0.44	0.0	0.0	He	0.34	0.0	0.0	0.04	0.0	0.028	0.0	19.1	0.0	0.0	0.24	0.012	0.0	0.0
35Sr1	Surface	0.89	0.32	0.0	0.92	0.0	0.04	0.0	0.042	0.0	0.0	8mm	0.0	0.28	0.0	0.0	0.55	0.0	Oxides	Fast Screening-He8mm	0.21	0.01	0.0	He	0.17	0.0	0.0	0.041	0.089	0.0	0.019	19.7	0.071	0.0	0.099	0.002	0.0	0.0
36Sr1	Surface	0.66	0.0	0.0	2.65	0.0	0.07	0.0	0.071	0.0	0.0	8mm	0.0	0.32	0.0	0.0	0.24	0.12	Oxides	Fast Screening-He8mm	0.29	0.0	0.0	He	0.14	0.0	0.0	0.0	0.0	0.048	0.0	18.9	0.0	0.0	0.12	0.0	0.0	0.0
37Sr1	Surface	1.5	0.18	0.0	11.7	0.24	0.039	0.0	0.072	0.0	0.0	8mm	0.0	1.4	0.0	0.0	0.76	0.0	Oxides	Fast Screening-He8mm	0.65	0.0	0.0	He	0.24	0.0	0.0	0.037	0.15	0.04	0.015	15.1	0.0	0.048	0.46	0.039	0.0	0.048
38Sr1	Surface	1.8	0.0	0.0	6.14	0.0	0.069	0.0	0.0	0.0	0.0	8mm	0.0	0.896	0.0	0.0	1.0	0.0	Oxides	Fast Screening-He8mm	0.58	0.0	0.0	He	0.35	0.0	0.0	0.04	0.0	0.042	0.063	17.8	0.0	0.034	0.27	0.027	0.0	0.006
39Sr1	Surface	1.3	0.11	0.0	4.86	0.0	0.041	0.0	0.064	0.22	0.0	8mm	0.091	0.614	0.0	0.1	0.69	0.0	Oxides	Fast Screening-He8mm	0.62	0.019	0.0	He	0.29	0.1	0.0	0.0	0.0	0.043	0.0	20.4	0.14	0.034	0.18	0.0	0.0	0.0
40Sr1	Surface	0.99	0.12	0.0	13.0	0.0	0.039	0.0	0.0	0.0	0.0	8mm	0.0	1.07	0.0	0.0	0.67	0.12	Oxides	Fast Screening-He8mm	0.66	0.0	0.0	He	0.29	0.0	0.0	0.11	0.0	0.06	0.0	13.6	0.0	0.029	0.38	0.024	0.0	0.038
41Sr1	Surface	0.68	0.0	0.0	1.5	0.21	0.43	0.0	0.042	0.0	0.0	8mm	0.0	0.21	0.0	0.0	0.57	0.0	Oxides	Fast Screening-He8mm	0.44	0.0	0.0	He	0.25	0.0	0.0	0.0	0.0	0.0	0.0	20.7	0.0	0.0	0.13	0.0	0.0	0.0
42Sr1	Surface	0.84	0.0	0.0	3.07	0.1	0.05	0.0	0.056	0.0	0.0	8mm	0.0	0.459	0.0	0.0	0.57	0.1	Oxides	Fast Screening-He8mm	0.46	0.0	0.0	He	0.25	0.0	0.0	0.04	0.0	0.066	0.0	20.8	0.0	0.0	0.12	0.018	0.0	0.0
43Sr1	Surface	0.86	0.0	0.0	2.57	0.0	0.12	0.0	0.0	0.0	0.0	8mm	0.0	0.457	0.0	0.0	0.8	0.0	Oxides	Fast Screening-He8mm	0.51	0.0	0.0	He	0.26	0.0	0.0	0.0	0.14	0.0	0.029	20.9	0.0	0.032	0.17	0.0	0.0	0.0
44Sr1	Surface	0.75	0.06	0.0	0.4	0.0	0.073	0.0	0.009	0.0	0.0	8mm	0.0	0.19	0.0	0.0	0.54	0.0	Oxides	Fast Screening-He8mm	0.26	0.0	0.0	He	0.19	0.026	0.0	0.12	0.0	0.025	0.045	21.2	0.0	0.0	0.045	0.012	0.0	0.0
45Sr1	Surface	1.1	0.0	0.0	2.86	0.0	0.066	0.0	0.0	0.0	0.0	8mm	0.0	0.448	0.0	0.0	0.86	0.0	Oxides	Fast Screening-He8mm	0.45	0.14	0.0	He	0.27	0.0	0.0	0.0	0.0	0.0	0.046	18.7	0.0	0.029	0.31	0.027	0.0	0.01
46Sr1	Surface	1.4	0.25	0.0	4.7	0.0	0.041	0.0	0.032	0.0	0.0	8mm	0.0	0.598	0.0	0.0	1.0	0.0	Oxides	Fast Screening-He8mm	0.69	0.0	0.0	He	0.18	0.0	0.0	0.072	0.0	0.039	0.0	20.0	0.085	0.0	0.1	0.065	0.0	0.0
47Sr1	Surface	1.5	0.0	0.0	4.47	0.0	0.041	0.0	0.0	0.0	0.0	8mm	0.0	0.645	0.0	0.0	0.82	0.0	Oxides	Fast Screening-He8mm	0.65	0.0	0.0	He	0.33	0.0	0.0	0.04	0.0	0.068	0.0	19.1	0.0	0.0	0.15	0.012	0.0	0.037
48Sr1	Surface	1.2	0.0	0.0	10.2	0.13	2.3	0.0	0.0	0.0	0.0	8mm	0.0	1.26	0.0	0.0	1.1	0.0	Oxides	Fast Screening-He8mm	1.2	0.0	0.0	He	0.92	0.0	0.0	0.028	0.094	0.76	0.036	11.1	0.0	0.068	0.31	0.0	0.0	0.035
49Sr1	Surface	0.75	0.2	0.0	0.37	0.0	0.19	0.0	0.022	0.0	0.0	8mm	0.0	0.29	0.0	0.0	0.59	0.0	Oxides	Fast Screening-He8mm	0.33	0.02	0.0	He	0.048	0.077	0.0	0.042	0.14	0.064	0.0	21.3	0.0	0.0	0.034	0.0	0.0	0.0
50Sr1	Surface	0.74	0.13	0.0	0.2	0.0	0.11	0.0	0.011	0.0	0.0	8mm	0.0	0.28	0.0	0.0	0.64	0.0	Oxides	Fast Screening-He8mm	0.26	0.0	0.0	He	0.12	0.093	0.0	0.0	0.17	0.07	0.0	20.5	0.0	0.0	0.061	0.0	0.0	0.0
51Sr1	Surface	0.83	0.17	0.0	5.42	0.0	0.71	0.0	0.018	0.0	0.0	8mm	0.0	0.743	0.0	0.0	0.6	0.11	Oxides	Fast Screening-He8mm	0.76	0.0	0.0	He	0.42	0.0	0.0	0.081	0.0	0.39	0.031	17.7	0.0	0.0	0.16	0.028	0.0	0.0
52Sr1	Surface	1.0	0.0	0.0	8.41	0.0	6.71	0.0	0.16	0.0	0.0	8mm	0.0	0.99	0.0	0.0	0.73	0.0	Oxides	Fast Screening-He8mm	1.0	0.0	0.0	He	2.2	0.0	0.0	0.035	0.17	0.52	0.0	10.2	0.0	0.046	0.084	0.015	0.0	0.041
53Sr1	Surface	0.89	0.0	0.0	0.59	0.12	0.55	0.0	0.0	0.0	0.0	8mm	0.0	0.22	0.0	0.0	0.9	0.0	Oxides	Fast Screening-He8mm	0.32	0.0	0.0	He	0.25	0.0	0.0	0.0	0.098	0.0	0.0	21.6	0.0	0.0	0.051	0.015	0.0	0.037
54Sr1	Surface	0.67	0.078	0.0	1.6	0.3	0.76	0.0	0.017	0.0	0.0	8mm	0.0	0.33	0.0	0.0	0.74	0.19	Oxides	Fast Screening-He8mm	0.54	0.021	0.0	He	0.53	0.074	0.0	0.04	0.0	0.24	0.028	18.5	0.2	0.042	0.12	0.018	0.0	0.0
55Sr1	Surface	1.1	0.0	0.0	12.8	0.0	2.3	0.0	0.0	0.0	0.0	8mm	0.0	1.12	0.0	0.0	1.1	0.0	Oxides	Fast Screening-He8mm	1.1	0.0	0.0	He	0.95	0.0	0.0	0.064	0.095	0.71	0.0	11.7	0.0	0.378	0.2	0.019	0.0	0.0
56Sr1	Surface	0.75	0.0	0.0	2.76	0.0	2.8	0.0	0.0	0.0	0.0	8mm	0.0	0.396	0.0	0.0	0.72	0.0	Oxides	Fast Screening-He8mm	0.65	0.0	0.0	He	0.84	0.0	0.0	0.039	0.0	0.16	0.0	16.9	0.0	0.046	0.055	0.0	0.0	0.0
57Sr1	Surface	0.57	0.0	0.0	1.8	0.0	1.5	0.0	0.027	0.0	0.0	8mm	0.0	0.24	0.0	0.0	0.44	0.0	Oxides	Fast Screening-He8mm	0.65	0.027	0.0	He	0.7	0.12	0.0	0.041	0.0	0.11	0.0	19.9	0.0	0.028	0.039	0.007	0.0	0.0
58Sr1	Surface	1.1	0.075	0.0	3.86	0.24	0.45	0.0	0.053	0.0	0.0	8mm	0.0	0.565	0.0	0.0	0.92	0.18	Oxides	Fast Screening-He8mm	1.3	0.0	0.0	He	0.5	0.0	0.0	0.052	0.0	0.33	0.037	19.3	0.0	0.027	0.18	0.0	0.0	0.0
59Sr1	Surface	0.87	0.09	0.0	5.11	0.12	4.58	0.0	0.035	0.0	0.0	8mm	0.0	0.66	0.0	0.0	0.89	0.0	Oxides	Fast Screening-He8mm	1.2	0.0	0.0	He	1.4	0.0	0.0	0.037	0.087	0.96	0.033	13.4	0.0	0.08	0.18	0.027	0.0	0.0
60Sr1	Surface	0.59	0.0	0.0	1.8	0.25	0.22	0.0	0.019	0.0	0.0	8mm	0.0	0.25	0.0	0.0	0.63	0.11	Oxides	Fast Screening-He8mm	0.47	0.0	0.0	He	0.15	0.0	0.0	0.0	0.0	0.45	0.0	18.9	0.0	0.0	0.028	0.016	0.0	0.0
42Dr1	Deep	1.3	0.0	0.0	1.7	0.0	0.059	0.007	0.009	0.0	0.0	8mm	0.0	0.316	0.0	0.009	0.71	0.0	Oxides	Fast Screening-He8mm	0.76	0.012	0.0	He	0.65	0.13	0.019	0.11	0.04	0.0	0.028	27.3	0.077	0.0	0.072	0.027	0.0	0.0
39Dr1	Deep	2.2	0.0	0.0	3.38	0.0	0.0	0.0	0.032	0.0	0.0	8mm	0.0	0.58	0.0	0.0	0.71	0.0	Oxides	Fast Screening-He8mm	0.98	0.036	0.0	He	0.65	0.0	0.0	0.0	0.0	0.036	0.0	26.8	0.0	0.032	0.13	0.049	0.0	0.0
37Dr1	Deep	1.8	0.078	0.0	1.9	0.0	0.0	0.0	0.026	0.0	0.0	8mm	0.0	0.31	0.0	0.0	0.76	0.09	Oxides	Fast Screening-He8mm	0.7	0.0	0.0	He	0.39	0.13	0.0	0.022	0.026	0.0	0.028	27.9	0.0	0.0	0.057	0.016	0.0	0.0
35Dr1	Deep	1.5	0.076	0.0	0.54	0.14	0.073	0.0	0.009	0.0	0.0	8mm	0.0	0.336	0.0	0.0	0.72	0.091	Oxides	Fast Screening-He8mm	0.56	0.0	0.0	He	0.49	0.0	0.0	0.0	0.0	0.0	0.027	26.7	0.0	0.0	0.072	0.008	0.0	0.0
34Dr1	Deep	1.8	0.0	0.0	6.49	0.0	0.09	0.0	0.097	0.0	0.0	8mm	0.0	1.08	0.0	0.0	0.94	0.0	Oxides	Fast Screening-He8mm	0.62	0.0	0.0	He	0.32	0.0	0.0	0.16	0.081	0.12	0.0	19.2	0.0	0.026	0.38	0.028	0.0	0.0
33Dr1	Deep	1.5	0.0	0.0	1.7	0.0	0.01	0.0	0.063	0.0	0.019	8mm	0.0	0.611	0.0	0.0	1.2	0.2	Oxides	Fast Screening-He8mm	0.31	0.04	0.0	He	0.46	0.055	0.0	0.17	0.0	0.11	0.0	21.6	0.0	0.042	0.15	0.0	0.012	0.027
32Dr1	Deep	1.4	0.0	0.0	5.2	0.17	0.088	0.0	0.044	0.0	0.0	8mm	0.0	1.19	0.0	0.0	1.1	0.0	Oxides	Fast Screening-He8mm	0.59	0.0	0.0	He	0.2	0.31	0.0	0.21	0.16	0.024	0.0	19.8	0.0	0.044	0.3	0.028	0.0	0.027
31Dr1	Deep	1.6	0.056	0.0	5.15	0.0	0.069	0.0	0.099	0.0	0.0	8mm	0.0	1.29	0.0	0.0	1.1	0.17	Oxides	Fast Screening-He8mm	0.5	0.0	0.0	He	0.015	0.0	0.0	0.06	0.0	0.045	0.063	19.0	0.0	0.0	0.2	0.0	0.0	0.037
30Dr1	Deep	1.5	0.0	0.0	1.4	0.22	0.058	0.0	0.0	0.0	0.0	8mm	0.0	0.463	0.0	0.0	1.1	0.1	Oxides	Fast Screening-He8mm	0.25	0.0	0.0	He	0.17	0.0	0.0	0.12	0.0	0.029	0.0	20.1	0.0	0.0	0.13	0.0	0.0	0.0
29Dr1	Deep	1.3	0.0	0.0	6.82	0.19	0.12	0.0	0.0	0.0	0.0	8mm	0.0	1.27	0.0	0.0	0.94	0.11	Oxides	Fast Screening-He8mm	0.75	0.0	0.0	He	0.18	0.0	0.0	0.17	0.0	0.048	0.032	18.3	0.0	0.03	0.35	0.0	0.0	0.079
28Dr1	Deep	1.2	0.0	0.0	0.51	0.0	0.046	0.0	0.034	0.0	0.0	8mm	0.0	0.336	0.0	0.0	0.85	0.3	Oxides	Fast Screening-He8mm	0.29	0.0	0.0	He	0.14	0.071	0.0	0.16	0.0	0.077	0.0	21.1	0.0	0.0	0.1	0.026	0.0	0.0
27Dr1	Deep	1.2	0.0	0.0	0.96	0.0	0.11	0.0	0.036	0.0	0.0	8mm	0.0	0.412	0.0	0.0	0.99	0.0	Oxides	Fast Screening-He8mm	0.36	0.0	0.0	He	0.4	0.11	0.0	0.24	0.071	0.048	0.039	23.6	0.0	0.03	0.092	0.0	0.0	0.0
25Dr1	Deep	1.1	0.076	0.0	1.1	0.0	0.13	0.0	0.009	0.0	0.0	8mm	0.0	0.406	0.0	0.0	0.86	0.1	Oxides	Fast Screening-He8mm	0.24	0.0	0.0	He	0.43	0.096	0.0	0.16	0.0	0.009	0.028	20.8	0.0	0.0	0.12	0.016	0.0	0.0
24Dr1	Deep	1.1	0.0	0.0	2.39	0.0	0.0	0.0	0.0	0.0	0.0	8mm	0.0	0.665	0.0	0.0	1.1	0.29	Oxides	Fast Screening-He8mm	0.48	0.0	0.0	He	0.37	0.0	0.0	0.29	0.0	0.028	0.0	20.5	0.0	0.0	0.19	0.018	0.0	0.0
23Dr1	Deep	1.1	0.0	0.0	4.74	0.0	0.044	0.0	0.064	0.0	0.0	8mm	0.0	1.15	0.0	0.0	1.0	0.22	Oxides	Fast Screening-He8mm	0.56	0.0	0.0	He	0.49	0.12	0.0	0.16	0.0	0.063	0.052	17.3	0.035	0.032	0.35	0.015	0.0	0.06
60Dr1	Deep	1.3	0.064	0.0	1.1	0.0	0.26	0.0	0.027	0.0	0.0	8mm	0.0	0.31	0.0	0.0	0.62	0.0	Oxides	Fast Screening-He8mm	1.0	0.0	0.0	He	0.73	0.0	0.0	0.0	0.043	0.31	0.044	26.6	0.0	0.0	0.063	0.015	0.0	0.0
57Dr1	Deep	1.0	0.0	0.0	2.49	0.17	1.9	0.0	0.0	0.0	0.0	8mm	0.0	0.464	0.0	0.0	0.71	0.092	Oxides	Fast Screening-He8mm	1.1	0.0	0.0	He	1.8	0.0	0.0	0.052	0.0	0.16	0.0	26.5	0.0	0.0	0.024	0.022	0.0	0.027
55Dr1	Deep	0.96	0.099	0.027	8.12	0.0	6.79	0.0	0.087	0.0	0.0	8mm	0.0	0.845	0.0	0.0	0.87	0.0	Oxides	Fast Screening-He8mm	2.5	0.0	0.0	He	5.1	0.0	0.0	0.034	0.0	2.31	0.036	8.25	0.0	0.554	0.17	0.035	0.0	0.0
53Dr1	Deep	1.7	0.0	0.0	0.92	0.0	0.2	0.0	0.0	0.0	0.0	8mm	0.0	0.32	0.0	0.0	1.1	0.0	Oxides	Fast Screening-He8mm	1.1	0.0	0.0	He	0.83	0.0	0.0	0.0	0.0	0.24	0.0	27.5	0.0	0.0	0.067	0.032	0.0	0.028
50Dr1	Deep	0.77	0.0	0.0	0.59	0.0	0.039	0.0	0.03	0.0	0.0	8mm	0.0	0.23	0.0	0.0	0.55	0.0	Oxides	Fast Screening-He8mm	0.6	0.0	0.0	He	0.51	0.13	0.0	0.0	0.064	0.032	0.0	29.5	0.0	0.0	0.038	0.02	0.0	0.0
49Dr1	Deep	2.2	0.0	0.0	2.83	0.0	0.0	0.0	0.0	0.0	0.0	8mm	0.0	0.474	0.0	0.0	0.7	0.0	Oxides	Fast Screening-He8mm	0.86	0.0	0.0	He	0.66	0.0	0.0	0.11	0.0	0.049	0.029	27.9	0.0	0.024	0.15	0.0	0.0	0.0
47Dr1	Deep	1.6	0.0	0.0	3.76	0.0	0.073	0.0	0.0	0.0	0.0	8mm	0.0	0.526	0.0	0.0	0.72	0.0	Oxides	Fast Screening-He8mm	0.93	0.0	0.0	He	0.57	0.0	0.0	0.053	0.0	0.029	0.059	27.2	0.0	0.033	0.21	0.024	0.0	0.009
46Dr1	Deep	1.9	0.0	0.0	4.31	0.0	0.041	0.0	0.0	0.0	0.0	8mm	0.0	0.539	0.0	0.0	0.66	0.093	Oxides	Fast Screening-He8mm	1.1	0.023	0.0	He	1.2	0.0	0.0	0.0	0.001	0.05	0.03	26.1	0.0	0.0	0.11	0.022	0.0	0.0
