soil_position	soil_position_label	n_analysis_units	nuisance_rank	endpoint	cluster_definition	n_clusters	estimate_per_mm_at_kernel_peak	standard_error	t	p_two_sided	ci_low	ci_high
Surface	surface	196	81	richness_hurlbert_25000	site	60	105.39489730163491	87.43261448017286	1.2054414468588879	0.22803292929634889	-65.96987815367912	276.75967275694893
Surface	surface	196	81	richness_hurlbert_25000	campaign_rain_grid	74	105.39489730163491	46.42492792748803	2.2702220984866837	0.02319411085482525	14.403710578890639	196.3860840243792
Surface	surface	196	81	shannon	site	60	0.057326394204138306	0.09153860645770528	0.6262537351453512	0.5311485267372027	-0.12208597764794966	0.2367387660562263
Surface	surface	196	81	shannon	campaign_rain_grid	74	0.057326394204138306	0.05038139809007642	1.1378484198005978	0.2551837824882921	-0.04141933154318654	0.15607211995146314
Surface	surface	196	81	evenness_h_over_log_hurlbert	site	60	0.0004367951979684197	0.009646795850116354	0.04527878528321415	0.9638850969841852	-0.018470577234470088	0.019344167630406927
Surface	surface	196	81	evenness_h_over_log_hurlbert	campaign_rain_grid	74	0.0004367951979684197	0.006133469511920317	0.0712150271749968	0.943226621826598	-0.011584584145669865	0.012458174541606705
Deep	shallow-subsurface	203	79	richness_hurlbert_25000	site	60	127.52130805547901	71.33176906067507	1.787721091664065	0.07382101712938284	-12.286390256972652	267.3290063679307
Deep	shallow-subsurface	203	79	richness_hurlbert_25000	campaign_rain_grid	76	127.52130805547901	68.68461401254639	1.856621164562199	0.06336507065011841	-7.0980617011470315	262.1406778121051
Deep	shallow-subsurface	203	79	shannon	site	60	0.16174851622701186	0.14554975077092927	1.111293666737889	0.2664419645841868	-0.12352375324279047	0.4470207856968142
Deep	shallow-subsurface	203	79	shannon	campaign_rain_grid	76	0.16174851622701186	0.08021608670025746	2.016409960653101	0.04375712480679389	0.004527875313764834	0.31896915714025886
Deep	shallow-subsurface	203	79	evenness_h_over_log_hurlbert	site	60	0.0046842510366886594	0.006742090258103318	0.6947772660056958	0.4871948974497249	-0.008530003049712201	0.01789850512308952
Deep	shallow-subsurface	203	79	evenness_h_over_log_hurlbert	campaign_rain_grid	76	0.0046842510366886594	0.007028871679598946	0.666430011844509	0.5051362848421639	-0.009092084307278833	0.018460586380656153
Rhizosphere	root-adjacent	218	80	richness_hurlbert_25000	site	60	93.49903851380986	85.5265318060536	1.0932167660654746	0.27429863739519245	-74.1298835486746	261.1279605762943
Rhizosphere	root-adjacent	218	80	richness_hurlbert_25000	campaign_rain_grid	79	93.49903851380986	55.46201511840379	1.6858211573128428	0.09183025139162032	-15.204513628277553	202.20259065589727
Rhizosphere	root-adjacent	218	80	shannon	site	60	0.0897663282885393	0.13162968601178202	0.6819611214487317	0.4952635350292478	-0.16822311559086917	0.3477557721679478
Rhizosphere	root-adjacent	218	80	shannon	campaign_rain_grid	79	0.0897663282885393	0.06135802308794991	1.4629925113439401	0.14346942808624724	-0.030493187126419644	0.21002584370349825
Rhizosphere	root-adjacent	218	80	evenness_h_over_log_hurlbert	site	60	0.0030794230045276504	0.010349223291461897	0.29755112222461877	0.7660457843673718	-0.01720468191470074	0.023363527923756042
Rhizosphere	root-adjacent	218	80	evenness_h_over_log_hurlbert	campaign_rain_grid	79	0.0030794230045276504	0.007591855187579322	0.4056219367257887	0.6850204080571303	-0.011800339738971396	0.0179591857480267
