trip	n_sampled_sites	n_sites_with_kernel_exposure_at_least_0_01_mm	kernel_weighted_rain_mm_minimum	kernel_weighted_rain_mm_median	kernel_weighted_rain_mm_maximum	rain_1_to_4_complete_days_mm_maximum	rain_1_to_60_complete_days_mm_maximum
1	54	50	6.35198594580685e-08	2.880014807135093	17.389149854756557	17.24	20.330000000000002
2	6	0	4.738763851301734e-06	7.651231846314603e-06	1.862302852794254e-05	0.0	32.99
3	51	51	0.11725466478337632	1.4875446039789493	2.6717501039720233	0.4	20.150000000000002
4	55	55	0.11068700177743872	0.5400158025716576	1.4384634099703013	1.3900000000000001	10.100000000000001
5	56	11	2.149806496842749e-07	0.00010107422144036232	0.1105740905525827	0.0	27.83
