soil_position	soil_position_label	n_analysis_units	nuisance_rank	endpoint	cluster_definition	n_clusters	estimate_per_mm_at_kernel_peak	standard_error	t	p_two_sided	ci_low	ci_high
Surface	surface	168	74	richness_hurlbert_25000	site	60	175.22133542366697	95.46996909569194	1.8353555268048558	0.06645302869638436	-11.896365609041226	362.3390364563752
Surface	surface	168	74	richness_hurlbert_25000	campaign_rain_grid	72	175.22133542366697	68.71655492734789	2.5499144363235855	0.010774936002451697	40.539362624396716	309.9033082229372
Surface	surface	168	74	shannon	site	60	0.10148194351308132	0.099614642314998	1.0187452482354813	0.308323925029958	-0.09375916775715445	0.29672305478331706
Surface	surface	168	74	shannon	campaign_rain_grid	72	0.10148194351308132	0.09003575980219329	1.1271293065781314	0.2596878141376432	-0.07498490301991667	0.2779487900460793
Surface	surface	168	74	evenness_h_over_log_hurlbert	site	60	-0.001552562202686819	0.012241475277387993	-0.126828030732101	0.8990765095659153	-0.025545412864004753	0.022440288458631115
Surface	surface	168	74	evenness_h_over_log_hurlbert	campaign_rain_grid	72	-0.001552562202686819	0.011068172842330842	-0.1402726741625283	0.8884445536977894	-0.02324578234831959	0.020140657942945953
Deep	shallow-subsurface	181	72	richness_hurlbert_25000	site	59	260.7859557649758	97.72024591452401	2.6686993398797374	0.007614557870629122	69.25779321211141	452.3141183178402
Deep	shallow-subsurface	181	72	richness_hurlbert_25000	campaign_rain_grid	73	260.7859557649758	80.03291394647366	3.258483827533639	0.0011200926039616093	103.92432685209405	417.6475846778576
Deep	shallow-subsurface	181	72	shannon	site	59	0.2988726544383018	0.1041495644110059	2.869648626266542	0.004109281596859098	0.09474325918719567	0.5030020496894079
Deep	shallow-subsurface	181	72	shannon	campaign_rain_grid	73	0.2988726544383018	0.08564294267034836	3.4897522798662393	0.00048346848110646155	0.13101557127439042	0.46672973760221315
Deep	shallow-subsurface	181	72	evenness_h_over_log_hurlbert	site	59	0.025086279906746597	0.00924930347966597	2.712234490077794	0.006683129723579915	0.006957978204520297	0.0432145816089729
Deep	shallow-subsurface	181	72	evenness_h_over_log_hurlbert	campaign_rain_grid	73	0.025086279906746597	0.007444978075486844	3.3695572575754227	0.0007528904733367621	0.01049439101310206	0.039678168800391135
Rhizosphere	root-adjacent	198	73	richness_hurlbert_25000	site	60	139.52053730384415	95.1722558568339	1.4659790928327123	0.14265398270988386	-47.01365650298152	326.0547311106698
Rhizosphere	root-adjacent	198	73	richness_hurlbert_25000	campaign_rain_grid	76	139.52053730384415	50.3217768241332	2.7725677849462027	0.005561593498364582	40.891667090480695	238.1494075172076
Rhizosphere	root-adjacent	198	73	shannon	site	60	0.12030370348539192	0.14074691090045297	0.8547519992852983	0.3926884567390363	-0.15555517281476383	0.3961625797855477
Rhizosphere	root-adjacent	198	73	shannon	campaign_rain_grid	76	0.12030370348539192	0.060316536279349395	1.9945393238135984	0.04609314697760143	0.0020854647056635506	0.2385219422651203
Rhizosphere	root-adjacent	198	73	evenness_h_over_log_hurlbert	site	60	0.0076769407441131254	0.011707939556928072	0.6557038244675907	0.5120147076538277	-0.015270199120637734	0.030624080608863985
Rhizosphere	root-adjacent	198	73	evenness_h_over_log_hurlbert	campaign_rain_grid	76	0.0076769407441131254	0.007730908158314471	0.9930192659004358	0.32070056573284844	-0.007475360813970116	0.022829242302196365
