ASV_ID	iDNA_AC18_PP_10_1	iDNA_AC18_PP_10_2	iDNA_AC18_PP_10_3	iDNA_AC18_PP_200_1	iDNA_AC18_PP_200_2	iDNA_AC18_PP_200_3	iDNA_AC18_PP_20_1	iDNA_AC18_PP_20_2	iDNA_AC18_PP_20_3	iDNA_AC18_PP_210_1	iDNA_AC18_PP_210_2	iDNA_AC18_PP_210_3	iDNA_AC18_PP_220_1	iDNA_AC18_PP_220_2	iDNA_AC18_PP_220_3	iDNA_AC18_PP_230_2	iDNA_AC18_PP_230_3	iDNA_AC18_PP_240_1	iDNA_AC18_PP_240_2	iDNA_AC18_PP_260_1	iDNA_AC18_PP_260_3	iDNA_AC18_PP_270_1	iDNA_AC18_PP_270_2	iDNA_AC18_PP_270_3	iDNA_AC18_PP_280_1	iDNA_AC18_PP_280_2	iDNA_AC18_PP_280_3	iDNA_AC18_PP_2_5_1	iDNA_AC18_PP_2_5_2	iDNA_AC18_PP_2_5_3	iDNA_AC18_PP_300_1	iDNA_AC18_PP_300_2	iDNA_AC18_PP_300_3	iDNA_AC18_PP_30_1	iDNA_AC18_PP_30_2	iDNA_AC18_PP_30_3	iDNA_AC18_PP_330_1	iDNA_AC18_PP_330_2	iDNA_AC18_PP_330_3	iDNA_AC18_PP_360_1	iDNA_AC18_PP_360_2	iDNA_AC18_PP_360_3	iDNA_AC18_PP_390_1	iDNA_AC18_PP_390_2	iDNA_AC18_PP_40_1	iDNA_AC18_PP_40_2	iDNA_AC18_PP_420_1	iDNA_AC18_PP_420_2	iDNA_AC18_PP_420_3	iDNA_AC18_PP_50_1	iDNA_AC18_PP_50_2	iDNA_AC18_PP_60_2	iDNA_AC18_PP_60_3	iDNA_AC18_PP_70_1	iDNA_AC18_PP_70_2	iDNA_AC18_PP_70_3	iDNA_AC18_PP_80_1	iDNA_AC18_PP_80_2	iDNA_AC18_PP_80_3	iDNA_AC18_PP_90_1	iDNA_AC18_PP_90_2	iDNA_AC18_PP_90_3
5804c7b6f67dd7ae18c3fd05e8999add	0	0	0	4602	6993	11917	0	0	201	6521	8821	1427	11134	10935	7189	26967	3426	6260	13342	16329	24381	19967	13045	10640	4462	4206	10005	0	0	0	4601	2086	727	0	0	0	10656	13572	7267	17813	10972	13125	37	0	0	0	4364	2455	695	0	0	0	0	0	0	0	0	0	0	0	0	0
89993149a5807a1be56d1d1c4b574533	0	0	0	2854	4835	7355	0	105	411	3224	4152	1157	5143	5158	5905	22568	4652	8720	11312	15787	17545	14736	17211	7982	3317	5544	7863	0	0	0	2936	2433	824	0	0	0	13236	10100	7385	13214	11796	10255	0	0	0	0	3285	2771	548	0	0	0	0	0	0	0	0	0	0	0	0	0
8f7e6c9d6fe8a004c352ec3135249f67	0	0	0	0	0	0	15058	21947	23650	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20619	24250	23189	0	0	0	0	0	0	0	0	6563	2838	0	0	0	627	16644	0	0	2253	446	0	19981	10531	27746	1785	1616	2430
83c0778688b23134207e79500869ab33	0	0	0	0	0	0	13290	17264	11912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28469	17891	15194	0	0	0	0	0	0	0	0	7779	2038	0	0	0	1124	29656	0	0	1450	263	0	12645	6535	22385	2344	2221	1798
a5bcbca0f3d3c2e45edb48623d5a1eb1	0	0	0	2353	1583	5965	0	0	71	3769	4868	265	5941	5943	1244	4509	2015	3775	2615	5056	8190	5970	5040	3100	1222	1606	2943	0	0	0	1097	720	258	0	0	0	2701	4863	1977	4075	4869	3395	0	0	0	0	1032	1093	173	0	0	0	0	0	0	0	0	0	0	0	0	0
a31f8ec272f33f8dfc4362f68e8f42c9	0	0	0	1488	1215	3991	0	0	154	1869	2445	247	2753	2771	1240	4790	2922	5193	2405	5199	6611	4589	7167	2592	1010	2275	2316	0	0	0	713	871	262	0	0	0	3350	4420	2335	3295	5321	2708	0	0	0	0	856	1288	138	0	0	0	0	0	0	0	0	0	0	0	0	0
cfb5e8d04f338c5ea073ba6c58fca364	0	0	0	0	0	0	7492	10862	9441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5497	12205	10743	0	0	0	0	0	0	0	0	4398	1753	0	0	0	177	4620	0	0	945	188	0	8432	4395	5661	367	389	1310
38223a9c8e4b65cbefe36599e7d4afc4	150	0	773	0	0	0	388	612	0	689	0	0	1378	422	0	1113	87	2605	5038	1529	3114	387	96	97	0	77	188	0	0	0	1898	0	1773	579	0	495	590	1060	2466	960	1677	733	87	0	0	0	440	141	250	12678	1932	16956	2493	1039	402	301	200	0	1556	836	1981	2744
739bc7563dede602c19484d45bd02206	99	0	1045	0	0	0	414	785	110	353	0	0	678	199	0	973	116	3447	4285	1442	2428	275	118	0	0	94	155	0	0	0	1154	0	1898	420	102	765	718	860	2373	781	1699	571	116	0	0	0	332	149	258	6698	1103	24439	2251	1691	626	418	304	0	1942	608	1393	3638
17842e7dd44f6763bb78cd3019829052	0	0	0	0	0	0	6288	8277	3668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7085	7929	6682	0	0	0	0	0	0	0	0	4759	1032	0	0	0	272	7954	0	0	541	117	0	4788	2669	4527	414	470	855
