trip	n_sampled_sites	n_sites_with_kernel_exposure_at_least_0_01_mm	kernel_weighted_rain_mm_minimum	kernel_weighted_rain_mm_median	kernel_weighted_rain_mm_maximum	rain_1_to_4_complete_days_mm_maximum	rain_1_to_60_complete_days_mm_maximum
1	52	49	4.6436177226487936e-10	4.014603712194447	15.006617651015937	17.24	20.330000000000002
2	1	0	1.2324056654375836e-07	1.2324056654375836e-07	1.2324056654375836e-07	0.0	9.78
3	53	53	0.12	0.36311573342351344	1.4634902843645599	0.4	19.790000000000003
4	56	56	0.03335302908974527	0.3708391934552535	4.641161669694273	2.75	25.779999999999998
5	17	1	3.277328308031616e-09	7.695571263631538e-06	0.04783358764837791	0.0	27.83
