reflected	route_shift	max_positive_t_all_endpoints	max_absolute_t_all_endpoints	max_positive_t_richness_hurlbert_25000	max_positive_t_shannon	max_positive_t_evenness_h_over_log_hurlbert
False	0	3.3091252856137308	3.3091252856137308	3.266299555994736	3.3091252856137308	2.0425540614520146
False	1	0.3436414470991797	3.2751716147122893	0.3436414470991797	-1.6124998063709952	-0.15003252711178516
False	2	-0.2126596477349993	3.8002996379354177	-1.3718227658452922	-1.3280243431082122	-0.2126596477349993
False	3	-0.10828147885044098	3.9644061330660167	-0.10828147885044098	-0.9192011613683038	-0.5528993180896661
False	4	-0.2285462289683048	3.7044168057821416	-0.816979499007442	-0.8159373879175718	-0.2285462289683048
False	5	0.817450618138567	3.254793434493341	-0.34147298370723533	0.5895997557057296	0.817450618138567
False	6	0.7124478170946293	3.5136966693718135	-0.7511280537244307	0.3210390986794076	0.7124478170946293
False	7	0.06984710460555522	2.709434488507636	-1.3504844619234946	-0.3869773360372558	0.06984710460555522
False	8	-0.13939490111220965	2.3269223829010284	-1.0298258824822273	-0.30379605882533556	-0.13939490111220965
False	9	0.12409363948289698	2.6724921380078213	-0.5574020749681615	0.12409363948289698	-0.021464328848042735
False	10	0.08430957083576895	3.8134271202421415	-0.6458961004556066	0.08430957083576895	-0.021313893229686354
False	11	-0.0507941857750505	3.710783454230116	-0.7307499037304392	-0.14667628930427618	-0.0507941857750505
False	12	0.1547221740944456	2.427084105973635	-0.8168866420117707	-0.1676042005070926	0.1547221740944456
False	13	0.903443144333274	2.2148608222850377	0.903443144333274	0.6217601760317182	0.5229581938658617
False	14	0.8914691937725789	2.056670602790768	0.8914691937725789	0.7282859326121102	0.7801629409805573
False	15	0.6502540081960154	2.5340499213763605	-0.3951561600006004	-0.20147543267862397	0.6502540081960154
False	16	0.4032232320306239	2.5751731095801214	0.054498839367226035	-0.12731630142379244	0.4032232320306239
False	17	0.5130095643339142	2.775164114567425	0.455525093789071	0.046536818298412816	0.5130095643339142
False	18	0.6397180867131623	2.029822106390199	0.6397180867131623	0.31959242885446104	-0.0059444993851947665
False	19	0.8724234142563303	1.218228685050421	0.8724234142563303	0.8324906845696207	0.22591202294127752
False	20	1.5890723038118117	1.6130534413228603	1.5890723038118117	0.6555176370985856	0.5301899613702696
False	21	1.7364407265627293	1.7364407265627293	1.7364407265627293	0.4907689918143919	0.03136686680309559
False	22	1.8987555116988868	1.9587840461094574	1.8987555116988868	0.45710969635362253	0.6511925037424118
False	23	2.0105521691412065	2.0105521691412065	2.0105521691412065	1.5269408861488747	1.6048098767909178
False	24	2.1903212372648935	2.1903212372648935	2.1903212372648935	1.494702225122411	1.665246259092945
False	25	2.602923536745849	2.602923536745849	2.602923536745849	1.2823027640847091	1.2461704644135496
False	26	2.5535784886343587	2.5535784886343587	2.5535784886343587	1.3261302045986403	1.3297945828285405
False	27	2.9547223121572204	2.9547223121572204	2.9547223121572204	1.8094226982099288	1.050552930700771
False	28	3.0698762643728057	3.0698762643728057	3.0698762643728057	2.441365108259522	1.914203236254193
False	29	3.472182009884922	3.472182009884922	3.472182009884922	2.856080780162944	2.2897334814521604
