Trip	Site	richness_hurlbert_25000	shannon	evenness_h_over_log_hurlbert	n_surface_profiles	n_deep_profiles	Date	Latitude	Longitude	sampling_day	longitude_z	sampling_day_z	selected_kernel_weighted_rain_mm	rain_1_to_4_complete_days_mm	rain_1_to_60_complete_days_mm
1	1	1616.8856919349992	6.411613052845398	0.8687786055050756	3.0	2.0	2023-03-17	19.14977055555556	45.166511388888885	0.0	-1.6559376602858693	-1.2279463091673153	15.006617651015937	17.24	20.330000000000002
1	2	3644.817069421849	6.55029924897142	0.8755005072581163	2.0	3.0	2023-03-17	19.203468333333333	45.2447675	0.0	-1.629187161156378	-1.2279463091673153	15.006617651015937	17.24	20.330000000000002
1	3	1622.2882116494463	6.212402258470085	0.8738879021973041	2.0	2.0	2023-03-17	19.301079444444444	45.384414166666666	0.0	-1.5814513615866965	-1.2279463091673153	10.027898138097665	10.6	14.3
1	4	2160.57848446533	6.269979287861883	0.8469100717475815	1.0	3.0	2023-03-17	19.379571666666667	45.55182694444444	0.0	-1.524224196798872	-1.2279463091673153	10.027898138097665	10.6	14.3
1	5	1539.8152287273078	5.7870803057369145	0.8668091334040855	3.0	2.0	2023-03-17	19.407155277777772	45.65950138888888	0.0	-1.4874175488389512	-1.2279463091673153	10.027898138097665	10.6	14.3
1	6	2247.005095046061	6.138216541100034	0.8594873824330491	2.0	2.0	2023-03-17	19.405739166666667	45.8161425	0.0	-1.4338724921408121	-1.2279463091673153	10.027898138097665	10.6	14.3
1	7	1244.371127621761	5.324001068026968	0.7506385744182587	2.0	2.0	2023-03-17	19.407005277777778	45.95394361111112	0.0	-1.3867675638421528	-1.2279463091673153	7.346678006925193	8.45	10.389999999999999
1	9	1778.5546941664156	6.362938007142328	0.8523368247314421	3.0	2.0	2023-03-17	19.411200277777777	46.30267361111111	0.0	-1.2675602402354207	-1.2279463091673153	7.346678006925193	8.45	10.389999999999999
1	10	2281.693832190266	6.558579845841139	0.8488182432607803	2.0	1.0	2023-03-17	19.420469722222222	46.46079527777778	0.0	-1.21350908120818	-1.2279463091673153	7.346678006925193	8.45	10.389999999999999
1	11	997.0224133504405	5.783991821775822	0.8395080576092182	1.0	2.0	2023-03-17	19.44435222222222	46.6356325	0.0	-1.153743998399281	-1.2279463091673153	7.419751632618889	8.08	10.620000000000001
1	12	1395.3956431507825	5.729780773253998	0.7950582640006618	3.0	2.0	2023-03-17	19.47793361111111	46.83437333333334	0.0	-1.0858078792439467	-1.2279463091673153	7.419751632618889	8.08	10.620000000000001
1	13	1747.5116746770593	6.012270630413271	0.8076268556187007	1.0	2.0	2023-03-17	19.52934611111111	47.05328444444445	0.0	-1.0109768992212003	-1.2279463091673153	7.419751632618889	8.08	10.620000000000001
1	14	1727.616615059757	5.79902251191905	0.7818616008368313	1.0	3.0	2023-03-17	19.581338055555555	47.2920225	0.0	-0.9293684208974154	-1.2279463091673153	5.846521499066268	7.25	8.1
1	15	2283.4045246606156	6.621910153574985	0.8670690944368409	2.0	2.0	2023-03-17	19.613749722222224	47.47587194444445	0.0	-0.8665226656747277	-1.2279463091673153	5.846521499066268	7.25	8.1
1	16	1158.55318906127	5.5493711212417125	0.790508883858283	1.0	2.0	2023-03-17	19.64445583333333	47.62611861111111	0.0	-0.8151634392985456	-1.2279463091673153	5.846521499066268	7.25	8.1
1	17	1593.1853312143508	6.2559778635127286	0.8627769108408594	3.0	3.0	2023-03-17	19.67646	47.82730555555556	0.0	-0.7463911593345617	-1.2279463091673153	4.683044299226107	5.96	6.3
1	18	710.0192286367128	5.499235989970067	0.8446480472081637	2.0	1.0	2023-03-18	19.732518055555555	48.046860555555554	1.0	-0.6713400770231002	-0.29532885916682267	5.8483157671007575	3.57	8.66
1	19	999.1617032144354	5.071030151330723	0.7396572730585083	2.0	2.0	2023-03-18	19.81231916666667	48.24049472222222	1.0	-0.605149583612283	-0.29532885916682267	5.83544609571601	2.63	9.219999999999999
1	20	1054.6420284280275	4.948498958258215	0.7124853005309635	2.0	2.0	2023-03-18	19.869310833333333	48.42464444444444	1.0	-0.5422011836207875	-0.29532885916682267	5.83544609571601	2.63	9.219999999999999
1	21	1705.4044792204536	6.14998967395831	0.8276707847705038	3.0	1.0	2023-03-18	19.9011325	48.48646388888889	1.0	-0.5210692749261571	-0.29532885916682267	4.948977572404103	1.7999999999999998	8.04
1	22	1103.4120727224272	5.966129121952266	0.8725618914882061	2.0	3.0	2023-03-18	19.97866972222222	48.63943555555556	1.0	-0.4687785543945281	-0.29532885916682267	4.948977572404103	1.7999999999999998	8.04
1	23	1369.945261711091	5.68653742337843	0.7873797310766943	3.0	2.0	2023-03-18	20.04926555555556	48.77333138888888	1.0	-0.42300857781161694	-0.29532885916682267	4.948977572404103	1.7999999999999998	8.04
1	24	1117.6678478214199	5.641814841318705	0.8152658203320959	2.0	2.0	2023-03-18	20.09273861111111	48.89939527777778	1.0	-0.3799158160821909	-0.29532885916682267	4.948977572404103	1.7999999999999998	8.04
1	25	1922.5885344059914	6.237538523404629	0.8272137738075429	2.0	2.0	2023-03-18	20.100259722222223	48.95421972222223	1.0	-0.3611750272471352	-0.29532885916682267	4.948977572404103	1.7999999999999998	8.04
1	26	1572.6486573980224	5.8983144874834785	0.801898884289717	3.0	3.0	2023-03-18	20.148753888888887	49.07873861111111	1.0	-0.31861039706639754	-0.29532885916682267	3.7429454460710536	1.69	5.9
1	27	2109.9079303001736	6.183005883218103	0.8095142088515557	2.0	3.0	2023-03-18	20.2038574	49.1959834	1.0	-0.278532292256713	-0.29532885916682267	3.7429454460710536	1.69	5.9
1	28	1381.508425683107	6.034706809768542	0.8397538369131284	3.0	2.0	2023-03-18	20.24376861111111	49.37088472222222	1.0	-0.21874529797061765	-0.29532885916682267	3.7429454460710536	1.69	5.9
1	29	1117.6033907214214	5.955773413392392	0.8595385333201484	2.0	3.0	2023-03-18	20.2597976	49.5675445	1.0	-0.15152055169130707	-0.29532885916682267	4.286261978317839	2.06	8.31
1	30	1195.2471045004363	5.92845186114997	0.8396869466903534	3.0	1.0	2023-03-18	20.269303055555557	49.68367333333333	1.0	-0.11182391700189259	-0.29532885916682267	4.286261978317839	2.06	8.31
1	31	1082.0701547901217	6.0009428339084225	0.8635364201299738	2.0	1.0	2023-03-18	20.29462333333333	49.891405	1.0	-0.040814436854787334	-0.29532885916682267	2.4390119682814606	1.2399999999999998	9.079999999999998
1	33	1227.9989798194458	5.952535919496121	0.8415691909638643	2.0	3.0	2023-03-18	20.317507777777777	50.30307027777778	1.0	0.09990622378729241	-0.29532885916682267	2.4390119682814606	1.2399999999999998	9.079999999999998
1	34	1586.4565041397054	5.802875010485928	0.7875605257993967	2.0	2.0	2023-03-18	20.344394444444443	50.5153725	1.0	0.17247806936086904	-0.29532885916682267	1.4244625124345633	0.8200000000000001	8.8
1	35	1786.881722250492	6.2360786289266255	0.8358974903892719	2.0	2.0	2023-03-18	20.371795833333334	50.72999222222222	1.0	0.2458421122574722	-0.29532885916682267	1.4244625124345633	0.8200000000000001	8.8
