site_a	site_b	geographic_distance_km	compartment	compartment_label	aitchison_dissimilarity
2	59	994.506205	Surface	Surface	40.1671952
2	60	1005.334166	Surface	Surface	37.41059234
3	4	19.5304485	Surface	Surface	21.23520334
3	5	31.04949852	Surface	Surface	20.76040281
3	6	46.57962419	Surface	Surface	20.29746317
3	7	60.66194235	Surface	Surface	24.19033308
3	8	76.58614031	Surface	Surface	25.23371367
3	9	96.73500037	Surface	Surface	26.47494406
3	10	113.2625709	Surface	Surface	24.89284963
3	11	131.7186662	Surface	Surface	24.0953711
3	12	152.7891493	Surface	Surface	23.60515323
3	13	176.2274267	Surface	Surface	25.07862448
3	14	201.7547597	Surface	Surface	32.70266353
3	15	221.2917862	Surface	Surface	25.31898023
3	16	237.3331344	Surface	Surface	27.53935815
3	17	258.654176	Surface	Surface	29.13332469
3	18	282.3073104	Surface	Surface	27.06042763
3	19	303.8129465	Surface	Surface	29.87338645
3	20	323.8817721	Surface	Surface	24.32067662
3	21	330.9095758	Surface	Surface	26.38993289
3	22	348.3295069	Surface	Surface	23.8818769
3	23	363.7034797	Surface	Surface	26.35512526
3	24	377.6300017	Surface	Surface	28.08990271
3	25	383.39667	Surface	Surface	33.67142338
3	26	397.301644	Surface	Surface	29.33436918
3	27	410.6574455	Surface	Surface	33.75406283
3	28	429.4605894	Surface	Surface	29.53549521
3	29	449.8406274	Surface	Surface	35.30605935
3	30	461.8865721	Surface	Surface	29.4907747
3	31	483.6594461	Surface	Surface	37.3230861
3	32	504.5918862	Surface	Surface	41.58470241
3	33	526.1827887	Surface	Surface	33.28872485
3	34	548.4961436	Surface	Surface	35.86296569
3	35	571.0638912	Surface	Surface	33.05858567
3	36	614.6636024	Surface	Surface	32.66683417
3	37	635.832055	Surface	Surface	33.49656582
3	38	638.5791672	Surface	Surface	32.06640081
3	39	662.9320384	Surface	Surface	35.28316369
3	40	687.112147	Surface	Surface	34.84800418
3	41	699.294973	Surface	Surface	41.04545804
3	42	717.8652031	Surface	Surface	33.53652078
3	43	728.3952216	Surface	Surface	34.0730783
3	44	747.5090295	Surface	Surface	33.58731511
3	45	753.312693	Surface	Surface	33.69771586
3	46	773.8178889	Surface	Surface	32.82170745
3	47	794.1183585	Surface	Surface	29.60066309
3	48	817.8195269	Surface	Surface	38.66469926
3	49	839.2372512	Surface	Surface	31.24123714
3	50	853.3989402	Surface	Surface	30.40745724
3	51	862.8264222	Surface	Surface	32.82819692
3	52	882.2727498	Surface	Surface	38.33147365
3	53	891.7306307	Surface	Surface	32.83178861
3	54	914.1512086	Surface	Surface	39.09453949
3	55	917.8908769	Surface	Surface	43.48207051
3	56	938.9686929	Surface	Surface	33.47108185
3	57	957.2676898	Surface	Surface	40.65640369
3	58	974.1527769	Surface	Surface	38.60883069
3	59	978.3953824	Surface	Surface	36.68395361
3	60	989.1908481	Surface	Surface	31.97939399
4	5	11.65887821	Surface	Surface	17.02936741
4	6	27.77425278	Surface	Surface	19.44758292
4	7	42.13380236	Surface	Surface	23.56323474
4	8	58.42971527	Surface	Surface	24.90960328
4	9	78.54748239	Surface	Surface	24.8118545
4	10	95.10216756	Surface	Surface	20.22104878
4	11	113.4927702	Surface	Surface	22.64308063
4	12	134.4770813	Surface	Surface	17.52065301
4	13	157.7860579	Surface	Surface	23.09474351
4	14	183.2279232	Surface	Surface	27.7878787
4	15	202.7387605	Surface	Surface	19.0937205
4	16	218.7500534	Surface	Surface	20.26004391
4	17	240.0612282	Surface	Surface	25.6254867
4	18	263.6557029	Surface	Surface	23.39256383
4	19	285.0534315	Surface	Surface	23.16163062
4	20	305.0774	Surface	Surface	19.84559397
4	21	312.0686086	Surface	Surface	21.85002869
4	22	329.4098983	Surface	Surface	23.31080063
4	23	344.7209102	Surface	Surface	23.16572322
4	24	358.6255041	Surface	Surface	24.43368121
4	25	364.3980167	Surface	Surface	25.41209085
4	26	378.2764414	Surface	Surface	24.01769878
4	27	391.5986264	Surface	Surface	25.82260409
4	28	410.4024053	Surface	Surface	21.76828907
4	29	430.8136326	Surface	Surface	28.8550998
4	30	442.8770482	Surface	Surface	25.84184477
4	31	464.6709274	Surface	Surface	34.13051327
4	32	485.6309864	Surface	Surface	38.92578401
4	33	507.2588839	Surface	Surface	26.35517305
4	34	529.5878432	Surface	Surface	29.11681377
4	35	552.1700687	Surface	Surface	26.20099826
4	36	595.7965051	Surface	Surface	25.88076276
4	37	616.9712507	Surface	Surface	25.88692522
4	38	619.7165502	Surface	Surface	27.60333472
4	39	644.064327	Surface	Surface	28.23809703
4	40	668.2497625	Surface	Surface	29.32927876
4	41	680.4568983	Surface	Surface	41.25619461
4	42	699.0410547	Surface	Surface	28.16982697
4	43	709.575679	Surface	Surface	28.62524867
4	44	728.7155019	Surface	Surface	29.13796892
4	45	734.53048	Surface	Surface	29.57719779
4	46	755.0702605	Surface	Surface	29.15743824
4	47	775.4056959	Surface	Surface	24.31176341
4	48	799.114215	Surface	Surface	32.80906516
4	49	820.4992152	Surface	Surface	25.80371702
4	50	834.6268466	Surface	Surface	26.07665804
4	51	844.0057008	Surface	Surface	31.06109224
4	52	863.446817	Surface	Surface	35.07271271
4	53	872.9076266	Surface	Surface	30.54129826
4	54	895.3086938	Surface	Surface	36.6041232
4	55	899.0640275	Surface	Surface	39.33998733
4	56	920.2172685	Surface	Surface	28.39450462
4	57	938.5928892	Surface	Surface	37.5211573
4	58	955.5417755	Surface	Surface	34.21885827
4	59	959.7946442	Surface	Surface	33.59115861
4	60	970.5661461	Surface	Surface	29.97145175
5	6	16.37101943	Surface	Surface	18.6481883
5	7	30.7716123	Surface	Surface	23.52909479
5	8	47.18296041	Surface	Surface	23.87910738
5	9	67.21821823	Surface	Surface	25.25751793
5	10	83.75467116	Surface	Surface	22.4820248
5	11	102.0965242	Surface	Surface	23.94173854
5	12	123.032847	Surface	Surface	20.20428315
5	13	146.2869526	Surface	Surface	21.95823723
5	14	171.695417	Surface	Surface	30.97338624
5	15	191.1951047	Surface	Surface	21.26257311
5	16	207.1956871	Surface	Surface	24.83752397
5	17	228.5018061	Surface	Surface	27.05721833
5	18	252.0789563	Surface	Surface	24.18204556
5	19	273.4499091	Surface	Surface	26.68915329
5	20	293.4635646	Surface	Surface	20.56525289
5	21	300.4473249	Surface	Surface	23.69117484
5	22	317.7743952	Surface	Surface	20.55121105
5	23	333.0760374	Surface	Surface	23.14834662
5	24	346.9777571	Surface	Surface	26.40643626
5	25	352.75091	Surface	Surface	29.08315729
5	26	366.626205	Surface	Surface	27.1147702
5	27	379.9450767	Surface	Surface	29.0158339
5	28	398.7488154	Surface	Surface	26.01379075
5	29	419.162866	Surface	Surface	33.71920727
5	30	431.2280742	Surface	Surface	29.30334218
5	31	453.0242522	Surface	Surface	36.74543334
5	32	473.9876753	Surface	Surface	42.49276566
5	33	495.6206138	Surface	Surface	32.70271138
5	34	517.9517591	Surface	Surface	33.49247331
5	35	540.5360778	Surface	Surface	29.48614099
5	36	584.1665563	Surface	Surface	30.14728767
5	37	605.3422171	Surface	Surface	29.48965083
5	38	608.0871942	Surface	Surface	31.11029668
5	39	632.4339752	Surface	Surface	32.63226325
5	40	656.6201604	Surface	Surface	32.51556469
5	41	668.8313814	Surface	Surface	41.41368603
5	42	687.4178959	Surface	Surface	32.69950595
5	43	697.9532882	Surface	Surface	30.64157503
5	44	717.0977949	Surface	Surface	31.36506988
5	45	722.9148856	Surface	Surface	31.44457096
5	46	743.4613272	Surface	Surface	32.13318613
5	47	763.8038188	Surface	Surface	28.24650649
5	48	787.513737	Surface	Surface	35.89793949
5	49	808.8918398	Surface	Surface	29.88445485
5	50	823.012669	Surface	Surface	29.36456603
5	51	832.3824689	Surface	Surface	33.74070463
5	52	851.8225901	Surface	Surface	39.46067686
5	53	861.2838813	Surface	Surface	34.0877408
5	54	883.6814897	Surface	Surface	42.17284308
5	55	887.4395145	Surface	Surface	43.72132171
5	56	908.6067493	Surface	Surface	33.02369387
5	57	926.9981896	Surface	Surface	42.59712307
5	58	943.9613111	Surface	Surface	38.18012743
5	59	948.2165446	Surface	Surface	37.63421703
5	60	958.9824526	Surface	Surface	33.8002233
6	7	14.40201774	Surface	Surface	17.34882175
6	8	30.81871732	Surface	Surface	20.64963853
6	9	50.85004518	Surface	Surface	23.19867257
6	10	67.39114702	Surface	Surface	21.04690858
6	11	85.74973311	Surface	Surface	20.09332829
6	12	106.7124109	Surface	Surface	21.10167004
6	13	130.0118156	Surface	Surface	21.13508461
6	14	155.458797	Surface	Surface	31.38315835
6	15	174.9735488	Surface	Surface	21.3153494
6	16	190.990049	Surface	Surface	21.83727676
6	17	212.3038808	Surface	Surface	28.95551612
6	18	235.9117692	Surface	Surface	24.89019916
6	19	257.3438444	Surface	Surface	28.94739259
6	20	277.3869462	Surface	Surface	21.47521138
6	21	284.3955458	Surface	Surface	23.832939
6	22	301.7814884	Surface	Surface	19.50472334
6	23	317.136322	Surface	Surface	24.79702812
6	24	331.058186	Surface	Surface	26.35708631
6	25	336.8261173	Surface	Surface	33.00472323
6	26	350.7264202	Surface	Surface	29.61203425
6	27	364.0786263	Surface	Surface	32.84585973
6	28	382.8818788	Surface	Surface	26.74698831
6	29	403.2655168	Surface	Surface	32.06009899
6	30	415.3145764	Surface	Surface	27.72601719
6	31	437.092221	Surface	Surface	36.48905607
6	32	458.0323654	Surface	Surface	40.22634731
6	33	479.6359517	Surface	Surface	31.05067543
6	34	501.9555604	Surface	Surface	33.82390135
6	35	524.5295091	Surface	Surface	30.46511823
6	36	568.1415922	Surface	Surface	31.30781336
6	37	589.3132122	Surface	Surface	30.92956458
6	38	592.0594791	Surface	Surface	29.27318988
6	39	616.4101268	Surface	Surface	32.62763601
6	40	640.5929343	Surface	Surface	31.46782044
6	41	652.7879207	Surface	Surface	39.90609574
6	42	671.3655891	Surface	Surface	30.74304336
6	43	681.8981568	Surface	Surface	33.94010223
6	44	701.0266436	Surface	Surface	31.53173137
6	45	706.836958	Surface	Surface	31.99100504
6	46	727.3635114	Surface	Surface	31.50402863
6	47	747.6870376	Surface	Surface	27.62205375
6	48	771.3933353	Surface	Surface	35.54408893
6	49	792.7893809	Surface	Surface	28.56153135
6	50	806.929815	Surface	Surface	27.23969287
6	51	816.3294606	Surface	Surface	33.52757177
6	52	835.7730777	Surface	Surface	38.67336793
6	53	845.2325682	Surface	Surface	33.26932787
6	54	867.6430205	Surface	Surface	39.36329859
6	55	871.3908674	Surface	Surface	42.047609
6	56	892.5127196	Surface	Surface	34.26692927
6	57	910.8634982	Surface	Surface	39.15824034
6	58	927.796458	Surface	Surface	35.95896606
6	59	932.0471388	Surface	Surface	37.44942998
6	60	942.8239719	Surface	Surface	31.62096559
7	8	16.45736817	Surface	Surface	18.52145254
7	9	36.44807407	Surface	Surface	22.45826012
7	10	52.99104173	Surface	Surface	20.42230311
7	11	71.3616226	Surface	Surface	19.14386211
7	12	92.34571381	Surface	Surface	21.26466537
7	13	115.6837296	Surface	Surface	21.36930479
7	14	141.1625029	Surface	Surface	30.52177163
7	15	160.6883512	Surface	Surface	23.59525612
7	16	176.7172658	Surface	Surface	24.29868188
7	17	198.0357153	Surface	Surface	28.32549928
7	18	221.6685554	Surface	Surface	24.30066709
7	19	243.1526686	Surface	Surface	29.05530702
7	20	263.2198622	Surface	Surface	22.59754629
7	21	270.2497653	Surface	Surface	23.65088209
7	22	287.6861365	Surface	Surface	23.14436149
7	23	303.0865648	Surface	Surface	25.14077156
7	24	317.0248081	Surface	Surface	27.13558565
7	25	322.7875138	Surface	Surface	33.75170729
7	26	336.7085538	Surface	Surface	28.78624105
7	27	350.0889148	Surface	Surface	34.87005383
7	28	368.8899926	Surface	Surface	29.00442398
7	29	389.2453032	Surface	Surface	32.36661863
7	30	401.2794177	Surface	Surface	26.17247751
7	31	423.0396003	Surface	Surface	33.8833281
7	32	443.9585071	Surface	Surface	36.99990303
7	33	465.5358978	Surface	Surface	30.54986774
7	34	487.8447748	Surface	Surface	33.45539171
7	35	510.4091177	Surface	Surface	32.70941789
7	36	554.0043594	Surface	Surface	32.80739986
7	37	575.1720452	Surface	Surface	32.98898486
7	38	577.9193308	Surface	Surface	29.59945698
7	39	602.2726655	Surface	Surface	34.56571756
7	40	626.452125	Surface	Surface	31.29449665
7	41	638.6332984	Surface	Surface	38.62704826
7	42	657.203261	Surface	Surface	31.89349733
7	43	667.7333024	Surface	Surface	35.03322136
7	44	686.8481994	Surface	Surface	30.36439204
7	45	692.6528235	Surface	Surface	34.80148806
7	46	713.1627068	Surface	Surface	36.09986261
7	47	733.4704436	Surface	Surface	27.35678917
7	48	757.173538	Surface	Surface	40.77284594
7	49	778.5840365	Surface	Surface	31.60232319
7	50	792.7404027	Surface	Surface	27.71224615
7	51	802.1645251	Surface	Surface	36.48021916
7	52	821.6108096	Surface	Surface	41.54253108
7	53	831.0687115	Surface	Surface	36.47063619
7	54	853.489524	Surface	Surface	42.5801005
7	55	857.2289358	Surface	Surface	46.17057999
7	56	878.3133571	Surface	Surface	35.9393568
7	57	896.6309608	Surface	Surface	42.8068375
7	58	913.5395556	Surface	Surface	39.90737783
7	59	917.7865724	Surface	Surface	41.3458669
7	60	928.572091	Surface	Surface	33.93699942
8	9	20.15818112	Surface	Surface	19.48143683
8	10	36.70864618	Surface	Surface	20.09018351
8	11	55.1474326	Surface	Surface	22.07085821
8	12	76.20491989	Surface	Surface	21.31046246
8	13	99.64859637	Surface	Surface	19.13464869
8	14	125.1955214	Surface	Surface	27.82468396
8	15	144.7381053	Surface	Surface	22.74537151
8	16	160.789244	Surface	Surface	23.95535424
8	17	182.1101929	Surface	Surface	27.0884361
8	18	205.791042	Surface	Surface	20.84243183
8	19	227.3779183	Surface	Surface	25.63908103
8	20	247.4876754	Surface	Surface	19.04704386
8	21	254.5573416	Surface	Surface	22.04762823
8	22	272.0848446	Surface	Surface	23.66616277
8	23	287.5650233	Surface	Surface	22.7821439
8	24	301.5292198	Surface	Surface	25.63682497
8	25	307.2811385	Surface	Surface	32.17593772
8	26	321.235935	Surface	Surface	25.8548466
8	27	334.6628642	Surface	Surface	33.27239199
8	28	353.4562271	Surface	Surface	26.81511539
8	29	373.7583003	Surface	Surface	28.68733949
8	30	385.7642007	Surface	Surface	23.18663271
8	31	407.4904425	Surface	Surface	29.72553779
8	32	428.3690362	Surface	Surface	32.44243999
8	33	449.8971615	Surface	Surface	29.07429281
8	34	472.1845979	Surface	Surface	31.06329137
8	35	494.729685	Surface	Surface	31.22268113
8	36	538.2912235	Surface	Surface	31.51166224
8	37	559.450454	Surface	Surface	30.32183647
8	38	562.1994474	Surface	Surface	27.6993911
8	39	586.5563627	Surface	Surface	31.47120223
8	40	610.7285133	Surface	Surface	28.69426225
8	41	622.8838384	Surface	Surface	37.81014425
8	42	641.4388086	Surface	Surface	30.23440659
8	43	651.9637584	Surface	Surface	32.03395881
8	44	671.0526799	Surface	Surface	30.99077823
8	45	676.8464471	Surface	Surface	34.26813607
8	46	697.3241648	Surface	Surface	34.18100055
8	47	717.6010413	Surface	Surface	25.41969389
8	48	741.2973153	Surface	Surface	41.13904499
8	49	762.7350299	Surface	Surface	32.52293372
8	50	776.9211543	Surface	Surface	26.24685791
8	51	786.3904604	Surface	Surface	35.06162434
8	52	805.8411249	Surface	Surface	40.00133517
8	53	815.2958741	Surface	Surface	34.34563861
8	54	837.7350428	Surface	Surface	41.39649195
8	55	841.4589842	Surface	Surface	44.92997112
8	56	862.4734449	Surface	Surface	33.15677378
8	57	880.7270518	Surface	Surface	40.57486611
8	58	897.5870373	Surface	Surface	38.99826692
8	59	901.8265832	Surface	Surface	38.47092094
8	60	912.6294369	Surface	Surface	32.75911524
9	10	16.55675659	Surface	Surface	17.48809527
9	11	34.98946725	Surface	Surface	21.02239293
9	12	56.05474836	Surface	Surface	19.0896073
9	13	79.52529688	Surface	Surface	22.60792897
9	14	105.092577	Surface	Surface	28.05744794
9	15	124.6375666	Surface	Surface	24.76743858
9	16	140.6950475	Surface	Surface	24.80401419
9	17	162.0135781	Surface	Surface	23.03819806
9	18	185.71205	Surface	Surface	19.22776405
9	19	207.3457709	Surface	Surface	22.76188329
9	20	227.4749768	Surface	Surface	18.54292845
9	21	234.5653924	Surface	Surface	21.39048579
9	22	252.1429483	Surface	Surface	24.5070882
