family	response	slope_per_km	slope_per_100km	null_mean_slope_per_100km	null_sd_slope_per_100km	two_sided_p	standardized_statistic	max_t_adjusted_p	permutations
aitchison	Surface	0.01350932334	1.350932334	0.0007476177157	0.1229931331	0.0001			9999
aitchison	Deep	0.01510361214	1.510361214	0.0006540523402	0.1276163328	0.0001			9999
aitchison	Rhizosphere	0.01180072518	1.180072518	0.0003834392411	0.1368980563	0.0001			9999
contrast	Surface-Rhizosphere	0.001708598153	0.1708598153	0.0003641784746	0.1047287728	0.1064	1.627973213	0.1822	9999
contrast	Deep-Rhizosphere	0.00330288696	0.330288696	0.0002706130991	0.1072970995	0.002	3.07574095	0.0041	9999
sorensen	Surface	0.0001876037095	0.01876037095	2.688272189e-05	0.002951466033	0.0001			9999
simpson_turnover	Surface	7.47152606e-05	0.00747152606	-1.710092827e-06	0.001968316763	0.0001			9999
nestedness	Surface	0.0001128884489	0.01128884489	2.859281472e-05	0.002535395857	0.0001			9999
sorensen	Deep	0.0002615649274	0.02615649274	8.214264456e-06	0.003405739921	0.0001			9999
simpson_turnover	Deep	9.687207033e-05	0.009687207033	-5.178258482e-07	0.001796147185	0.0001			9999
nestedness	Deep	0.0001646928571	0.01646928571	8.732090304e-06	0.002919094956	0.0001			9999
sorensen	Rhizosphere	0.0001721936162	0.01721936162	-1.003420682e-06	0.00206613175	0.0001			9999
simpson_turnover	Rhizosphere	0.0001171577781	0.01171577781	-7.656648933e-06	0.001900502166	0.0001			9999
nestedness	Rhizosphere	5.503583808e-05	0.005503583808	6.653228251e-06	0.002012479854	0.0058			9999
