analyte	formula	entity_type	chebi	chebi_label	chebi_formula	chebi_charge	chebi_status	pubchem	pubchem_label	pubchem_formula	pubchem_charge	pubchem_status	status	evidence_url	reviewed_by	reviewed_date	notes
LE		instrument_pseudoanalyte					not_mapped					not_mapped	verified		automated pinned-source audit	2026-07-23	
Si	Si	neutral atom	CHEBI:27573	silicon atom	Si	0	verified	CID:5461123	Silicon	Si	0	verified	verified	http://purl.obolibrary.org/obo/CHEBI_27573; https://pubchem.ncbi.nlm.nih.gov/compound/5461123	automated pinned-source audit	2026-07-23	
Fe	Fe	neutral atom	CHEBI:18248	iron atom	Fe	0	verified	CID:23925	Iron	Fe	0	verified	verified	http://purl.obolibrary.org/obo/CHEBI_18248; https://pubchem.ncbi.nlm.nih.gov/compound/23925	automated pinned-source audit	2026-07-23	
Ca	Ca	neutral atom	CHEBI:22984	calcium atom	Ca	0	verified	CID:5460341	Calcium	Ca	0	verified	verified	http://purl.obolibrary.org/obo/CHEBI_22984; https://pubchem.ncbi.nlm.nih.gov/compound/5460341	automated pinned-source audit	2026-07-23	
K	K	neutral atom	CHEBI:26216	potassium atom	K	0	verified	CID:5462222	Potassium	K	0	verified	verified	http://purl.obolibrary.org/obo/CHEBI_26216; https://pubchem.ncbi.nlm.nih.gov/compound/5462222	automated pinned-source audit	2026-07-23	
S	S	neutral atom	CHEBI:26833	sulfur atom	S	0	verified	CID:5362487	Sulfur	S	0	verified	verified	http://purl.obolibrary.org/obo/CHEBI_26833; https://pubchem.ncbi.nlm.nih.gov/compound/5362487	automated pinned-source audit	2026-07-23	
P	P	neutral atom	CHEBI:28659	phosphorus atom	P	0	verified	CID:5462309	Phosphorus	P	0	verified	verified	http://purl.obolibrary.org/obo/CHEBI_28659; https://pubchem.ncbi.nlm.nih.gov/compound/5462309	automated pinned-source audit	2026-07-23	
Ti	Ti	neutral atom	CHEBI:33341	titanium atom	Ti	0	verified	CID:23963	Titanium	Ti	0	verified	verified	http://purl.obolibrary.org/obo/CHEBI_33341; https://pubchem.ncbi.nlm.nih.gov/compound/23963	automated pinned-source audit	2026-07-23	
Al	Al	neutral atom	CHEBI:28984	aluminium atom	Al	0	verified	CID:5359268	Aluminum	Al	0	verified	verified	http://purl.obolibrary.org/obo/CHEBI_28984; https://pubchem.ncbi.nlm.nih.gov/compound/5359268	automated pinned-source audit	2026-07-23	
Mg	Mg	neutral atom	CHEBI:25107	magnesium atom	Mg	0	verified	CID:5462224	Magnesium	Mg	0	verified	verified	http://purl.obolibrary.org/obo/CHEBI_25107; https://pubchem.ncbi.nlm.nih.gov/compound/5462224	automated pinned-source audit	2026-07-23	
Na	Na	neutral atom	CHEBI:26708	sodium atom	Na	0	verified	CID:5360545	Sodium	Na	0	verified	verified	http://purl.obolibrary.org/obo/CHEBI_26708; https://pubchem.ncbi.nlm.nih.gov/compound/5360545	automated pinned-source audit	2026-07-23	
Cl	Cl	neutral atom	CHEBI:23116	chlorine atom	Cl	0	verified	CID:5360523	Atomic chlorine	Cl	0	verified	verified	http://purl.obolibrary.org/obo/CHEBI_23116; https://pubchem.ncbi.nlm.nih.gov/compound/5360523	automated pinned-source audit	2026-07-23	
Mn	Mn	neutral atom	CHEBI:18291	manganese atom	Mn	0	verified	CID:23930	Manganese	Mn	0	verified	verified	http://purl.obolibrary.org/obo/CHEBI_18291; https://pubchem.ncbi.nlm.nih.gov/compound/23930	automated pinned-source audit	2026-07-23	
Sr	Sr	neutral atom	CHEBI:33324	strontium atom	Sr	0	verified	CID:5359327	Strontium	Sr	0	verified	verified	http://purl.obolibrary.org/obo/CHEBI_33324; https://pubchem.ncbi.nlm.nih.gov/compound/5359327	automated pinned-source audit	2026-07-23	
Zr	Zr	neutral atom	CHEBI:33342	zirconium atom	Zr	0	verified	CID:23995	Zirconium	Zr	0	verified	verified	http://purl.obolibrary.org/obo/CHEBI_33342; https://pubchem.ncbi.nlm.nih.gov/compound/23995	automated pinned-source audit	2026-07-23	
V	V	neutral atom	CHEBI:27698	vanadium atom	V	0	verified	CID:23990	Vanadium	V	0	verified	verified	http://purl.obolibrary.org/obo/CHEBI_27698; https://pubchem.ncbi.nlm.nih.gov/compound/23990	automated pinned-source audit	2026-07-23	
Cr	Cr	neutral atom	CHEBI:28073	chromium atom	Cr	0	verified	CID:23976	Chromium	Cr	0	verified	verified	http://purl.obolibrary.org/obo/CHEBI_28073; https://pubchem.ncbi.nlm.nih.gov/compound/23976	automated pinned-source audit	2026-07-23	
Ba	Ba	neutral atom	CHEBI:32594	barium atom	Ba	0	verified	CID:5355457	Barium	Ba	0	verified	verified	http://purl.obolibrary.org/obo/CHEBI_32594; https://pubchem.ncbi.nlm.nih.gov/compound/5355457	automated pinned-source audit	2026-07-23	
Pb	Pb	neutral atom	CHEBI:25016	lead atom	Pb	0	verified	CID:5352425	Lead	Pb	0	verified	verified	http://purl.obolibrary.org/obo/CHEBI_25016; https://pubchem.ncbi.nlm.nih.gov/compound/5352425	automated pinned-source audit	2026-07-23	
Zn	Zn	neutral atom	CHEBI:27363	zinc atom	Zn	0	verified	CID:23994	Zinc	Zn	0	verified	verified	http://purl.obolibrary.org/obo/CHEBI_27363; https://pubchem.ncbi.nlm.nih.gov/compound/23994	automated pinned-source audit	2026-07-23	
Cu	Cu	neutral atom	CHEBI:28694	copper atom	Cu	0	verified	CID:23978	Copper	Cu	0	verified	verified	http://purl.obolibrary.org/obo/CHEBI_28694; https://pubchem.ncbi.nlm.nih.gov/compound/23978	automated pinned-source audit	2026-07-23	
Ni	Ni	neutral atom	CHEBI:28112	nickel atom	Ni	0	verified	CID:935	Nickel	Ni	0	verified	verified	http://purl.obolibrary.org/obo/CHEBI_28112; https://pubchem.ncbi.nlm.nih.gov/compound/935	automated pinned-source audit	2026-07-23	
Co	Co	neutral atom	CHEBI:27638	cobalt atom	Co	0	verified	CID:104730	Cobalt	Co	0	verified	verified	http://purl.obolibrary.org/obo/CHEBI_27638; https://pubchem.ncbi.nlm.nih.gov/compound/104730	automated pinned-source audit	2026-07-23	
As	As	neutral atom	CHEBI:27563	arsenic atom	As	0	verified	CID:5359596	Arsenic	As	0	verified	verified	http://purl.obolibrary.org/obo/CHEBI_27563; https://pubchem.ncbi.nlm.nih.gov/compound/5359596	automated pinned-source audit	2026-07-23	
U	U	neutral atom	CHEBI:27214	uranium atom	U	0	verified	CID:23989	Uranium	U	0	verified	verified	http://purl.obolibrary.org/obo/CHEBI_27214; https://pubchem.ncbi.nlm.nih.gov/compound/23989	automated pinned-source audit	2026-07-23	
Th	Th	neutral atom	CHEBI:33385	thorium	Th	0	verified	CID:23960	Thorium	Th	0	verified	verified	http://purl.obolibrary.org/obo/CHEBI_33385; https://pubchem.ncbi.nlm.nih.gov/compound/23960	automated pinned-source audit	2026-07-23	
