Formula	Z	Concentration	Status	Line 1	Net int.	Calc. concentration	Stat. error	LLD	Analyzed layer	Foil correction	D.C. Factor	Line 2	Net int.	Calc. concentration	Stat. error	LLD	Analyzed layer	Foil correction	D.C. Factor	Line 3	Net int.	Calc. concentration	Stat. error	LLD	Analyzed layer	Foil correction	D.C. Factor
Si	14	21.6	XRF 0	Si KA1-HR-Tr	20.99	21.6	0.0247		27.4 um	1.27	24.16	Si KB1-HR-Tr/Ox	0.2572	7.8	0.223		32 um	1.23	24.16								
Ca	20	1.7	XRF 0	Ca KA1-HR-Tr	3.274	1.7	0.0625		73 um	1.02	20	Ca KB1-HR-Tr	0.4231	1	0.174		91 um	1.02	20								
Al	13	1.5	XRF 0	Al KA1-HR-Tr	1.313	1.5	0.0988		19.6 um	1.43	23.44	Al KB1-HR-Tr/Ox	0.04884	4.8	1.28		22.0 um	1.38	23.44								
K	19	1.2	XRF 0	K  KA1-HR-Tr	2.351	1.2	0.0738		58 um	1.03	19.06	K  KB1-HR-Tr	0.2374	0.61	0.581		72 um	1.02	19.06								
Fe	26	0.611	XRF 0	Fe KA1-HR-Tr	6.957	0.611	0.0436	29.9 PPM	291 um	1	21.51	Fe KB1-HR-Tr	1.377	0.24	0.108	191.2 PPM	0.38 mm	1	21.51								
Na	11	0.46	XRF 0	Na KA1-HR-Tr	0.07299	0.46	0.419		7.9 um	2.5	32.61																
Mg	12	0.31	XRF 0	Mg KA1-HR-Tr	0.26	0.31	0.555		12.7 um	1.75	23.78																
La	57	0.2	XRF 0	La LA1-HR-Tr	0.09905	0.2	0.359		123 um	1.01	21.32	La LB1-HR-Tr	0.07883	0.073	0.403		152 um	1.01	21.32	La KA1-HR-Tr	-0.03916	-0.026		323.7 PPM	3.6 cm	1	11.39
P	15	0.17	XRF 0	P  KA1-HR-Tr	0.175	0.17	0.27		15.5 um	1.18	22.22																
Ti	22	0.15	XRF 0	Ti KA1-HR-Tr	0.3267	0.15	0.198		113 um	1.01	21.32	Ti KB1-HR-Tr	0.175	0.26	0.27		145 um	1.01	21.32								
S	16	0.11	XRF 0	S  KA1-HR-Tr	0.1905	0.11	0.259		21.3 um	1.12	22.22																
Cr	24	0.063	XRF 0	Cr KA1-HR-Tr	0.3487	0.063	0.192		187 um	1.01	21.23	Cr KB1-HR-Tr	0.06985	0.027	1.07		239 um	1	21.23								
Nd	60	0.055	XRF 0	Nd LA1-HR-Tr	0.04742	0.055	1.3		169 um	1.01	21.23	Nd LB1-HR-Tr	0.08056	0.03	0.997		215 um	1.01	21.23	Nd MA1-HR-Tr	0	-0.008			6.8 um	2.93	32.61
Sr	38	0.042	XRF 0	Sr KA1-HR-Tr	1.523	0.042	0.142	10.3 PPM	2.71 mm	1	18.25	Sr KB1-HR-Tr	2.559	-0.16	0.102	77.1 PPM	3.8 mm	1	17.3	Sr LA1-HR	0.08381	0.061	0.391		30 um	1.24	24.16
Mn	25	0.04	XRF 0	Mn KA1-HR-Tr	0.3487	0.04	0.192		234 um	1	21.23	Mn KB1-HR-Tr	0.00217	-0.007	65.82	259.2 PPM	0.30 mm	1	21.23								
Zr	40	0.027	XRF 0	Zr KA1-HR-Tr	2.559	0.027	0.102	11.6 PPM	3.7 mm	1	17.3	Zr KB1-HR-Tr	0.5109	0.081	1.15	60.6 PPM	5.2 mm	1	17.3	Zr LA1-HR	0.04952	0.18	0.508		16.0 um	1.17	22.22
Cu	29	0.019	XRF 0	Cu KA1-HR-Tr	0.4769	0.019	0.224	19.2 PPM	0.52 mm	1	21.56	Cu KB1-HR-Tr	0.06287	0.004	3.11	99.5 PPM	0.70 mm	1	21.56	Cu LA1-HR	0.02105	0.69	0.78		6.1 um	3.4	32.61
