Formula	Z	Concentration	Status	Line 1	Net int.	Calc. concentration	Stat. error	LLD	Analyzed layer	Foil correction	D.C. Factor	Line 2	Net int.	Calc. concentration	Stat. error	LLD	Analyzed layer	Foil correction	D.C. Factor	Line 3	Net int.	Calc. concentration	Stat. error	LLD	Analyzed layer	Foil correction	D.C. Factor
Si	14	18.3	XRF 0	Si KA1-HR-Tr	17.59	18.3	0.027		23.4 um	1.27	24.16	Si KB1-HR-Tr/Ox	0.5304	17	0.155		27.0 um	1.23	24.16								
Ca	20	6.82	XRF 0	Ca KA1-HR-Tr	13.02	6.82	0.0314		73 um	1.02	20	Ca KB1-HR-Tr	1.963	4.7	0.0808		92 um	1.02	20								
Al	13	1.3	XRF 0	Al KA1-HR-Tr	1.096	1.3	0.108		16.5 um	1.43	23.44	Al KB1-HR-Tr/Ox	0.06689	6.8	1.09		18.5 um	1.38	23.44								
Fe	26	1.27	XRF 0	Fe KA1-HR-Tr	12.07	1.27	0.033	45.8 PPM	216 um	1	21.51	Fe KB1-HR-Tr	1.815	0.46	0.0929	264.4 PPM	283 um	1	21.51								
K	19	0.94	XRF 0	K  KA1-HR-Tr	1.857	0.94	0.083		57 um	1.03	19.06	K  KB1-HR-Tr	0.1942	0.49	0.642		72 um	1.02	19.06								
Mg	12	0.75	XRF 0	Mg KA1-HR-Tr	0.6057	0.75	0.145		10.9 um	1.75	23.78																
Ti	22	0.35	XRF 0	Ti KA1-HR-Tr	0.6635	0.35	0.139		86 um	1.01	21.32	Ti KB1-HR-Tr	0.281	0.55	0.213		109 um	1.01	21.32								
Ce	58	0.19	XRF 0	Ce LA1-HR-Tr	0.04953	0.043	0.508		104 um	1.01	21.32	Ce LB1-HR-Tr	0.0774	0.19	0.407		128 um	1.01	21.23								
Na	11	0.18	XRF 0	Na KA1-HR-Tr	0.02647	0.18	1.74		6.8 um	2.5	32.61																
P	15	0.17	XRF 0	P  KA1-HR-Tr	0.1802	0.17	0.666		15.4 um	1.18	22.22																
Cl	17	0.12	XRF 0	Cl KA1-HR-Tr	0.134	0.12	0.773		30 um	1.08	22.22																
