Formula	Z	Concentration	Status	Line 1	Net int.	Calc. concentration	Stat. error	LLD	Analyzed layer	Foil correction	D.C. Factor	Line 2	Net int.	Calc. concentration	Stat. error	LLD	Analyzed layer	Foil correction	D.C. Factor	Line 3	Net int.	Calc. concentration	Stat. error	LLD	Analyzed layer	Foil correction	D.C. Factor
Si	14	16.1	XRF 0	Si KA1-HR-Tr	14.38	16.1	0.0298		19.6 um	1.27	24.16	Si KB1-HR-Tr/Ox	0.5563	31	0.152		22.6 um	1.23	24.16								
Ca	20	5.77	XRF 0	Ca KA1-HR-Tr	10.71	5.77	0.0346		65 um	1.02	20	Ca KB1-HR-Tr	1.332	3.9	0.098		82 um	1.02	20								
Mg	12	4.8	XRF 0	Mg KA1-HR-Tr	3.631	4.8	0.0607	402.3 PPM	10.5 um	1.75	23.78																
S	16	3.24	XRF 0	S  KA1-HR-Tr	6.18	3.24	0.0455		22.4 um	1.12	22.22																
Na	11	1.8	XRF 0	Na KA1-HR-Tr	0.2556	1.8	0.224		6.8 um	2.5	32.61																
Cl	17	1.8	XRF 0	Cl KA1-HR-Tr	1.953	1.8	0.081		28.4 um	1.08	22.22																
Al	13	1.2	XRF 0	Al KA1-HR-Tr	0.879	1.2	0.121		13.6 um	1.43	23.44	Al KB1-HR-Tr/Ox	0.07134	8.2	0.424		15.2 um	1.38	23.44								
Fe	26	0.905	XRF 0	Fe KA1-HR-Tr	8.91	0.905	0.0384	41.6 PPM	221 um	1	21.51	Fe KB1-HR-Tr	1.835	0.54	0.0913	272.9 PPM	288 um	1	21.51								
K	19	0.8	XRF 0	K  KA1-HR-Tr	1.507	0.8	0.0922		50 um	1.03	19.06	K  KB1-HR-Tr	0.2972	0.95	0.208		63 um	1.02	19.06								
Ti	22	0.2	XRF 0	Ti KA1-HR-Tr	0.3969	0.2	0.18		86 um	1.01	21.32	Ti KB1-HR-Tr	0.1367	0.26	0.765		110 um	1.01	21.32								
Nd	60	0.14	XRF 0	Nd LA1-HR-Tr	0.1138	0.14	0.335		127 um	1.01	21.23	Nd LB1-HR-Tr	0.06192	0.037	0.455		163 um	1.01	21.23	Nd MA1-HR-Tr	0.0637	3.8	0.448		5.9 um	2.93	32.61
Pr	59	0.12	XRF 0	Pr LA1-HR-Tr	0.07883	0.12	0.403		115 um	1.01	21.32	Pr LB1-HR-Tr	0	0			146 um	1.01	21.23	Pr MA1-HR-Tr	0.01677	2.3	2.18		5.2 um	3.43	32.61
Sr	38	0.049	XRF 0	Sr KA1-HR-Tr	2.064	0.049	0.11	14.1 PPM	2.01 mm	1	18.25	Sr KB1-HR-Tr	1.465	0.005	0.387	93.7 PPM	2.79 mm	1	17.3	Sr LA1-HR	0.08762	0.22	0.382		21.7 um	1.24	24.16
Cr	24	0.044	XRF 0	Cr KA1-HR-Tr	0.2412	0.044	0.23		140 um	1.01	21.23	Cr KB1-HR-Tr	0.1095	0.071	0.855		182 um	1	21.23								
V	23	0.031	XRF 0	V  KA1-HR-Tr	0.0863	0.031	0.963		111 um	1.01	21.32																
Zr	40	0.014	XRF 0	Zr KA1-HR-Tr	1.927	0.014	0.124	15.5 PPM	2.76 mm	1	17.3	Zr KB1-HR-Tr	0.476	0.062	1.15	78.4 PPM	3.8 mm	1	17.3	Zr LA1-HR	0.04952	0.16	0.508		16.5 um	1.17	22.22
Material		Oxides	Input																								
Mode		He	Input																								
Diameter		8mm	Input																								
Method		Fast Screening-He8mm	Input																								
																											
																											
																											
																											
Formula	Z	Concentration	Status	Line 1	Net int.	Calc. concentration	Stat. error	LLD	Analyzed layer	Foil correction	D.C. Factor	Line 2	Net int.	Calc. concentration	Stat. error	LLD	Analyzed layer	Foil correction	D.C. Factor	Line 3	Net int.	Calc. concentration	Stat. error	LLD	Analyzed layer	Foil correction	D.C. Factor
SiO2	14	34.4	XRF 1	Si KA1-HR-Tr	14.38	34.4	0.0298		19.6 um	1.27	24.16	Si KB1-HR-Tr/Ox	0.5563	67	0.152		22.6 um	1.23	24.16								
CaO	20	8.08	XRF 1	Ca KA1-HR-Tr	10.71	8.08	0.0346		65 um	1.02	20	Ca KB1-HR-Tr	1.332	5.5	0.098		82 um	1.02	20								
SO3	16	8.08	XRF 1	S  KA1-HR-Tr	6.18	8.08	0.0455		22.4 um	1.12	22.22																
MgO	12	7.9	XRF 1	Mg KA1-HR-Tr	3.631	7.9	0.0607	667.1 PPM	10.5 um	1.75	23.78																
Na2O	11	2.5	XRF 1	Na KA1-HR-Tr	0.2556	2.5	0.224		6.8 um	2.5	32.61																
Al2O3	13	2.3	XRF 1	Al KA1-HR-Tr	0.879	2.3	0.121		13.6 um	1.43	23.44	Al KB1-HR-Tr/Ox	0.07134	16	0.424		15.2 um	1.38	23.44								
Cl	17	1.8	XRF 1	Cl KA1-HR-Tr	1.953	1.8	0.081		28.4 um	1.08	22.22																
Fe2O3	26	1.29	XRF 1	Fe KA1-HR-Tr	8.91	1.29	0.0384	59.5 PPM	221 um	1	21.51	Fe KB1-HR-Tr	1.835	0.77	0.0913	390.2 PPM	288 um	1	21.51								
K2O	19	0.97	XRF 1	K  KA1-HR-Tr	1.507	0.97	0.0922		50 um	1.03	19.06	K  KB1-HR-Tr	0.2972	1.1	0.208		63 um	1.02	19.06								
TiO2	22	0.34	XRF 1	Ti KA1-HR-Tr	0.3969	0.34	0.18		86 um	1.01	21.32	Ti KB1-HR-Tr	0.1367	0.44	0.765		110 um	1.01	21.32								
Cr2O3	24	0.064	XRF 1	Cr KA1-HR-Tr	0.2412	0.064	0.23		140 um	1.01	21.23	Cr KB1-HR-Tr	0.1095	0.1	0.855		182 um	1	21.23								
SrO	38	0.058	XRF 1	Sr KA1-HR-Tr	2.064	0.058	0.11	16.7 PPM	2.01 mm	1	18.25	Sr KB1-HR-Tr	1.465	0.006	0.387	110.8 PPM	2.79 mm	1	17.3	Sr LA1-HR	0.08762	0.26	0.382		21.7 um	1.24	24.16
ZrO2	40	0.019	XRF 1	Zr KA1-HR-Tr	1.927	0.019	0.124	20.9 PPM	2.76 mm	1	17.3	Zr KB1-HR-Tr	0.476	0.084	1.15	105.9 PPM	3.8 mm	1	17.3	Zr LA1-HR	0.04952	0.22	0.508		16.5 um	1.17	22.22
Material		Oxides	Input																								
Mode		He	Input																								
Diameter		8mm	Input																								
Method		Fast Screening-He8mm	Input																								
