Formula	Z	Concentration	Status	Line 1	Net int.	Calc. concentration	Stat. error	LLD	Analyzed layer	Foil correction	D.C. Factor	Line 2	Net int.	Calc. concentration	Stat. error	LLD	Analyzed layer	Foil correction	D.C. Factor	Line 3	Net int.	Calc. concentration	Stat. error	LLD	Analyzed layer	Foil correction	D.C. Factor
Si	14	23.1	XRF 0	Si KA1-HR-Tr	21.54	23.1	0.0244		19.9 um	1.27	24.16	Si KB1-HR-Tr/Ox	0.4363	24	0.428		23.0 um	1.23	24.16								
Ca	20	7.92	XRF 0	Ca KA1-HR-Tr	15.18	7.92	0.029		64 um	1.02	20	Ca KB1-HR-Tr	2.098	6.2	0.0781		80 um	1.02	20								
Al	13	2.2	XRF 0	Al KA1-HR-Tr	1.772	2.2	0.085		14.4 um	1.43	23.44	Al KB1-HR-Tr/Ox	0.05265	5.6	1.23		16.1 um	1.38	23.44								
Mg	12	1.4	XRF 0	Mg KA1-HR-Tr	1.037	1.4	0.111		9.7 um	1.75	23.78																
Na	11	0.91	XRF 0	Na KA1-HR-Tr	0.121	0.91	0.813		6.1 um	2.5	32.61																
K	19	0.86	XRF 0	K  KA1-HR-Tr	1.687	0.86	0.0871		49 um	1.03	19.06	K  KB1-HR-Tr	0.2247	0.71	0.597		62 um	1.02	19.06								
Fe	26	0.712	XRF 0	Fe KA1-HR-Tr	6.872	0.712	0.0441	51.4 PPM	197 um	1	21.51	Fe KB1-HR-Tr	1.342	0.44	0.111	309.6 PPM	257 um	1	21.51								
Ti	22	0.22	XRF 0	Ti KA1-HR-Tr	0.424	0.22	0.174		77 um	1.01	21.32	Ti KB1-HR-Tr	0.03286	-0.003	1.56		98 um	1.01	21.32								
Cl	17	0.1	XRF 0	Cl KA1-HR-Tr	0.1139	0.1	0.335		25.8 um	1.08	22.22																
Ba	56	0.084	XRF 0	Ba LA1-HR-Tr	0.04953	0.084	0.508		75 um	1.01	21.32	Ba LB1-HR-Tr	0.1088	0.2	0.343		92 um	1.01	21.32	Ba KA1-HR-Tr	0.3081	0.072	2.34	203.2 PPM	21.3 mm	1	11.39
P	15	0.078	XRF 0	P  KA1-HR-Tr	0.0769	0.078	1.02		13.1 um	1.18	22.22																
Nd	60	0.077	XRF 0	Nd LA1-HR-Tr	0.06501	0.077	0.444		113 um	1.01	21.23	Nd LB1-HR-Tr	0	0			144 um	1.01	21.23	Nd MA1-HR-Tr	0	0			5.3 um	2.93	32.61
Zr	40	0.072	XRF 0	Zr KA1-HR-Tr	3.936	0.072	0.0735	15.1 PPM	2.51 mm	1	17.3	Zr KB1-HR-Tr	0.9212	0.11	0.267	88.3 PPM	3.5 mm	1	17.3	Zr LA1-HR	0.04952	0.17	0.508		13.5 um	1.17	22.22
Pr	59	0.071	XRF 0	Pr LA1-HR-Tr	0.04743	0.071	1.3		102 um	1.01	21.32	Pr LB1-HR-Tr	0.1169	0.084	0.827		129 um	1.01	21.23	Pr MA1-HR-Tr	0	0			4.6 um	3.43	32.61
V	23	0.047	XRF 0	V  KA1-HR-Tr	0.1278	0.047	0.316		99 um	1.01	21.32																
Sc	21	0.033	XRF 0	Sc KA1-HR-Tr	0.04953	0.033	0.508		59 um	1.02	21.32																
S	16	0.015	XRF 0	S  KA1-HR-Tr	0.02736	0.015	1.71		18.2 um	1.12	22.22																
Sr	38	0.014	XRF 0	Sr KA1-HR-Tr	1.435	0.014	0.143	14.3 PPM	1.83 mm	1	18.25	Sr KB1-HR-Tr	3.936	-0.037	0.0735	123.2 PPM	2.54 mm	1	17.3	Sr LA1-HR	0.07496	0.13	1.03		22.0 um	1.24	24.16
Material		Oxides	Input																								
Mode		He	Input																								
Diameter		8mm	Input																								
Method		Fast Screening-He8mm	Input																								
																											
																											
